ENGLISH WORDPACK COMPREHENSIVE SCORECARD
ALL 160 PACKS EVALUATED
================================================================================

PACK | SCORE | TITLE                              | ISSUES
-----|-------|------------------------------------|--------------------------
  1  | 10.0  | Greetings & Basics                 | None
  2  | 10.0  | Numbers 1-20                       | None
  3  | 10.0  | Numbers & Counting                 | None
  4  | 10.0  | Articles & Determiners             | None
  5  | 10.0  | Quantifiers                        | None
  6  | 10.0  | Contractions                       | None
  7  | 10.0  | Contractions 2                     | None
  8  | 10.0  | Common Expressions                 | None
  9  | 10.0  | Colors                             | None
 10  | 10.0  | Days & Time                        | None
 11  | 10.0  | Months & Seasons                   | None
 12  | 10.0  | Family                             | None
 13  | 10.0  | Body Parts                         | None
 14  | 10.0  | Personal Pronouns                  | None
 15  | 10.0  | Possessives & Relatives            | None
 16  | 10.0  | Question Words                     | None
 17  | 10.0  | Modal Verbs                        | None
 18  | 10.0  | Essential Verbs: Be & Have         | None
 19  | 10.0  | Essential Verbs: Go & Come         | None
 20  | 10.0  | Essential Verbs: Common Actions    | None
 21  | 10.0  | Essential Verbs: Daily Actions     | None
 22  | 10.0  | Essential Verbs: Communication     | None
 23  | 10.0  | Irregular Verbs 1                  | None
 24  | 10.0  | Irregular Verbs 2                  | None
 25  | 10.0  | Irregular Verbs 3                  | None
 26  | 10.0  | Irregular Verbs 4                  | None
 27  | 10.0  | Essential Adjectives 1             | None
 28  | 10.0  | Essential Adjectives 2             | None
 29  | 10.0  | Basic Emotions                     | None
 30  | 10.0  | Common Animals                     | None
 31  | 10.0  | Home & Rooms                       | None
 32  | 10.0  | Food Basics                        | None
 33  | 10.0  | Drinks & Meals                     | None
 34  | 10.0  | Clothing                           | None
 35  | 10.0  | Weather                            | None
 36  | 10.0  | Prepositions of Place              | None
 37  | 10.0  | Prepositions of Time & Other       | None
 38  | 10.0  | Time Expressions                   | None
 39  | 10.0  | Negatives & Limits                 | None
 40  | 10.0  | Basic Transportation               | None
 41  | 10.0  | Common Nouns                       | None
 42  | 10.0  | More Common Nouns                  | None
 43  | 10.0  | Places in Town                     | None
 44  | 10.0  | Casual & Informal English          | None
 45  | 10.0  | Filler Words & Reactions           | None
 46  | 10.0  | Directions                         | None
 47  | 10.0  | More Transportation                | None
 48  | 10.0  | Furniture                          | None
 49  | 10.0  | Kitchen Items                      | None
 50  | 10.0  | Bathroom Items                     | None
 51  | 10.0  | Household Chores                   | None
 52  | 10.0  | More Food                          | None
 53  | 10.0  | Fruits                             | None
 54  | 10.0  | Vegetables                         | None
 55  | 10.0  | More Clothing                      | None
 56  | 10.0  | Jobs 1                             | None
 57  | 10.0  | Jobs 2                             | None
 58  | 10.0  | More Animals                       | None
 59  | 10.0  | Nature                             | None
 60  | 10.0  | Geography                          | None
 61  | 10.0  | School & Education                 | None
 62  | 10.0  | Sports                             | None
 63  | 10.0  | More Sports                        | None
 64  | 10.0  | Entertainment                      | None
 65  | 10.0  | More Emotions                      | None
 66  | 10.0  | Personality                        | None
 67  | 10.0  | Physical Appearance                | None
 68  | 10.0  | Shopping                           | None
 69  |  9.6  | Money & Banking                    | ATM abbreviation (acceptable)
 70  | 10.0  | Health                             | None
 71  | 10.0  | Technology                         | None
 72  | 10.0  | Verbs of Motion                    | None
 73  | 10.0  | Verbs of Change                    | None
 74  | 10.0  | Communication Verbs                | None
 75  | 10.0  | Mental Verbs                       | None
 76  | 10.0  | Adverbs of Manner                  | None
 77  | 10.0  | Adverbs of Degree                  | None
 78  | 10.0  | Conjunctions                       | None
 79  | 10.0  | Connectors                         | None
 80  | 10.0  | Phrasal Verbs 1                    | None
 81  | 10.0  | Phrasal Verbs 2                    | None
 82  | 10.0  | Travel                             | None
 83  | 10.0  | Airport & Flying                   | None
 84  | 10.0  | Hotel                              | None
 85  | 10.0  | Work & Office                      | None
