Pack_Number,Pack_Title,Difficulty_Act,Total_Issues,Pinyin_Errors,Bracket_Errors,Empty_Cells
1,Greetings & Goodbyes,Act I: Foundation,0,,,
2,Personal Pronouns,Act I: Foundation,0,,,
3,Demonstratives & Pointers,Act I: Foundation,0,,,
4,Yes No & Responses,Act I: Foundation,0,,,
5,Essential Verbs I,Act I: Foundation,0,,,
6,Essential Verbs II,Act I: Foundation,0,,,
7,Numbers 0-10,Act I: Foundation,0,,,
8,Core Measure Words,Act I: Foundation,0,,,
9,Basic Question Words,Act I: Foundation,0,,,
10,Time Essentials,Act I: Foundation,0,,,
11,Basic Adjectives I,Act I: Foundation,0,,,
12,Basic Adjectives II,Act I: Foundation,0,,,
13,Core Radicals & Components,Act I: Foundation,0,,,
14,Emergency & Survival,Act I: Foundation,0,,,
15,Family Members,Act II: Development,0,,,
16,Days of Week,Act II: Development,0,,,
17,Months & Seasons,Act II: Development,0,,,
18,Years & Calendar,Act II: Development,0,,,
19,Telling Time,Act II: Development,0,,,
20,Numbers 11-100,Act II: Development,0,,,
21,More Measure Words,Act II: Development,0,,,
22,More Action Verbs,Act II: Development,0,,,
23,Daily Actions,Act II: Development,0,,,
24,Places & Locations,Act II: Development,0,,,
25,Directions & Positions,Act II: Development,0,,,
26,Basic Transportation,Act II: Development,0,,,
27,Colors,Act II: Development,0,,,
28,Body Parts,Act III: Expansion,0,,,
29,Food Basics,Act III: Expansion,0,,,
30,Drinks & Beverages,Act III: Expansion,0,,,
31,Common Foods,Act III: Expansion,0,,,
32,Eating & Drinking,Act III: Expansion,0,,,
33,Clothing Items,Act III: Expansion,0,,,
34,Weather Words,Act III: Expansion,0,,,
35,Shopping Basics,Act III: Expansion,0,,,
36,Around the House,Act III: Expansion,0,,,
37,Furniture & Objects,Act III: Expansion,0,,,
38,Describing People,Act III: Expansion,0,,,
39,Emotions & Feelings,Act III: Expansion,0,,,
40,Health & Sickness,Act III: Expansion,0,,,
41,School Life,Act III: Expansion,0,,,
42,Work & Office,Act III: Expansion,0,,,
43,Communication Verbs,Act III: Expansion,0,,,
44,Phone & Internet,Act III: Expansion,0,,,
45,Getting Around,Act III: Expansion,0,,,
46,Daily Routines,Act III: Expansion,0,,,
47,Hobbies & Leisure,Act III: Expansion,0,,,
48,Sports & Exercise,Act III: Expansion,0,,,
49,Nature & Environment,Act III: Expansion,0,,,
50,Animals,Act III: Expansion,0,,,
51,Numbers & Math,Act III: Expansion,0,,,
52,Time Words Advanced,Act III: Expansion,0,,,
53,Location Words,Act III: Expansion,0,,,
54,Opinions & Views,Act IV: Mastery,0,,,
55,Making Plans,Act IV: Mastery,0,,,
56,Expressing Needs,Act IV: Mastery,0,,,
57,Asking for Help,Act IV: Mastery,0,,,
58,Giving Directions,Act IV: Mastery,0,,,
59,Describing Situations,Act IV: Mastery,0,,,
60,Talking About Problems,Act IV: Mastery,0,,,
61,Money & Payments,Act IV: Mastery,0,,,
62,At the Restaurant,Act IV: Mastery,0,,,
63,At the Hotel,Act IV: Mastery,0,,,
64,At the Airport,Act IV: Mastery,0,,,
65,At the Doctor,Act IV: Mastery,0,,,
66,Making Appointments,Act IV: Mastery,0,,,
67,Weather Conversations,Act IV: Mastery,0,,,
68,Phone Conversations,Act IV: Mastery,0,,,
69,Social Situations,Act IV: Mastery,0,,,
70,Invitations & Offers,Act IV: Mastery,0,,,
71,Agreeing & Disagreeing,Act IV: Mastery,0,,,
72,Expressing Certainty,Act IV: Mastery,0,,,
73,Time Expressions,Act IV: Mastery,0,,,
74,Frequency Expressions,Act IV: Mastery,0,,,
75,Describing Amounts,Act IV: Mastery,0,,,
76,Quality Descriptions,Act IV: Mastery,0,,,
77,Making Comparisons,Act IV: Mastery,0,,,
78,Expressing Preferences,Act IV: Mastery,0,,,
79,Giving Reasons,Act IV: Mastery,0,,,
80,Personality Traits,Act V: Refinement,0,,,
81,Culture & Traditions,Act V: Refinement,0,,,
82,Chinese Arts & Heritage,Act V: Refinement,0,,,
83,Time Expressions Advanced,Act V: Refinement,0,,,
84,Frequency & Duration,Act V: Refinement,0,,,
85,Comparison & Degree,Act V: Refinement,0,,,
86,Cause & Effect,Act V: Refinement,0,,,
87,Conditions & Assumptions,Act V: Refinement,0,,,
88,Conjunctions & Connectors,Act V: Refinement,0,,,
89,Modal Particles & Mood,Act V: Refinement,0,,,
90,Structural Particles,Act V: Refinement,0,,,
91,Common Sentence Patterns,Act V: Refinement,0,,,
92,Describing Things,Act V: Refinement,0,,,
93,Quantities & Amounts,Act V: Refinement,0,,,
94,Extent & Degree,Act V: Refinement,0,,,
95,Emphasis & Intensifiers,Act V: Refinement,0,,,
96,Describing Problems,Act V: Refinement,0,,,
97,Solutions & Methods,Act V: Refinement,0,,,
98,Education & Learning,Act V: Refinement,0,,,
99,Career Development,Act V: Refinement,0,,,
100,Banking & Finance,Act V: Refinement,0,,,
101,Government & Society,Act V: Refinement,0,,,
102,Describing Processes,Act V: Refinement,0,,,
103,Logical Relations,Act V: Refinement,0,,,
104,Quality & Standards,Act V: Refinement,0,,,
105,Evaluation & Assessment,Act V: Refinement,0,,,
106,Abstract Concepts,Act V: Refinement,0,,,
107,Success & Achievement,Act V: Refinement,0,,,
