Pack_Number,Pack_Title,Difficulty_Act,Issue_Count,Issues
1,Greetings & Goodbyes,Act I: Foundation,,
2,Personal Pronouns,Act I: Foundation,,
3,Demonstratives & Pointers,Act I: Foundation,,
4,Yes No & Responses,Act I: Foundation,,
5,Essential Verbs I,Act I: Foundation,,
6,Essential Verbs II,Act I: Foundation,,
7,Numbers 0-10,Act I: Foundation,,
8,Core Measure Words,Act I: Foundation,,
9,Basic Question Words,Act I: Foundation,,
10,Time Essentials,Act I: Foundation,,
11,Basic Adjectives I,Act I: Foundation,,
12,Basic Adjectives II,Act I: Foundation,,
13,Core Radicals & Components,Act I: Foundation,,
14,Emergency & Survival,Act I: Foundation,,
15,Family Members,Act II: Development,,
16,Days of Week,Act II: Development,,
17,Months & Seasons,Act II: Development,,
18,Years & Calendar,Act II: Development,,
19,Telling Time,Act II: Development,,
20,Numbers 11-100,Act II: Development,,
21,More Measure Words,Act II: Development,,
22,More Action Verbs,Act II: Development,,
23,Daily Actions,Act II: Development,,
24,Places & Locations,Act II: Development,,
25,Directions & Positions,Act II: Development,,
26,Basic Transportation,Act II: Development,,
27,Colors,Act II: Development,,
28,Body Parts,Act III: Expansion,,
29,Food Basics,Act III: Expansion,,
30,Drinks & Beverages,Act III: Expansion,,
31,Common Foods,Act III: Expansion,,
32,Eating & Drinking,Act III: Expansion,,
33,Clothing Items,Act III: Expansion,,
34,Weather Words,Act III: Expansion,,
35,Shopping Basics,Act III: Expansion,,
36,Around the House,Act III: Expansion,,
37,Furniture & Objects,Act III: Expansion,,
38,Describing People,Act III: Expansion,,
39,Emotions & Feelings,Act III: Expansion,,
40,Health & Sickness,Act III: Expansion,,
41,School Life,Act III: Expansion,,
42,Work & Office,Act III: Expansion,,
43,Communication Verbs,Act III: Expansion,,
44,Phone & Internet,Act III: Expansion,,
45,Getting Around,Act III: Expansion,,
46,Daily Routines,Act III: Expansion,,
47,Hobbies & Leisure,Act III: Expansion,,
48,Sports & Exercise,Act III: Expansion,,
49,Nature & Environment,Act III: Expansion,,
50,Animals,Act III: Expansion,,
51,Numbers & Math,Act III: Expansion,,
52,Time Words Advanced,Act III: Expansion,,
53,Location Words,Act III: Expansion,,
54,Opinions & Views,Act IV: Mastery,,
55,Making Plans,Act IV: Mastery,,
56,Expressing Needs,Act IV: Mastery,,
57,Asking for Help,Act IV: Mastery,,
58,Giving Directions,Act IV: Mastery,,
59,Describing Situations,Act IV: Mastery,,
60,Talking About Problems,Act IV: Mastery,,
61,Money & Payments,Act IV: Mastery,,
62,At the Restaurant,Act IV: Mastery,,
63,At the Hotel,Act IV: Mastery,,
64,At the Airport,Act IV: Mastery,,
65,At the Doctor,Act IV: Mastery,,
66,Making Appointments,Act IV: Mastery,,
67,Weather Conversations,Act IV: Mastery,,
68,Phone Conversations,Act IV: Mastery,,
69,Social Situations,Act IV: Mastery,,
70,Invitations & Offers,Act IV: Mastery,,
71,Agreeing & Disagreeing,Act IV: Mastery,,
72,Expressing Certainty,Act IV: Mastery,,
73,Time Expressions,Act IV: Mastery,,
74,Frequency Expressions,Act IV: Mastery,,
75,Describing Amounts,Act IV: Mastery,,
76,Quality Descriptions,Act IV: Mastery,,
77,Making Comparisons,Act IV: Mastery,,
78,Expressing Preferences,Act IV: Mastery,,
79,Giving Reasons,Act IV: Mastery,,
80,Personality Traits,Act V: Refinement,,
81,Culture & Traditions,Act V: Refinement,,
82,Chinese Arts & Heritage,Act V: Refinement,,
83,Time Expressions Advanced,Act V: Refinement,,
84,Frequency & Duration,Act V: Refinement,,
85,Comparison & Degree,Act V: Refinement,,
86,Cause & Effect,Act V: Refinement,,
87,Conditions & Assumptions,Act V: Refinement,,
88,Conjunctions & Connectors,Act V: Refinement,,
89,Modal Particles & Mood,Act V: Refinement,,
90,Structural Particles,Act V: Refinement,,
91,Common Sentence Patterns,Act V: Refinement,,
92,Describing Things,Act V: Refinement,,
93,Quantities & Amounts,Act V: Refinement,,
94,Extent & Degree,Act V: Refinement,,
95,Emphasis & Intensifiers,Act V: Refinement,,
96,Describing Problems,Act V: Refinement,,
97,Solutions & Methods,Act V: Refinement,,
98,Education & Learning,Act V: Refinement,,
99,Career Development,Act V: Refinement,,
100,Banking & Finance,Act V: Refinement,,
101,Government & Society,Act V: Refinement,,
102,Describing Processes,Act V: Refinement,,
103,Logical Relations,Act V: Refinement,,
104,Quality & Standards,Act V: Refinement,,
105,Evaluation & Assessment,Act V: Refinement,,
106,Abstract Concepts,Act V: Refinement,,
107,Success & Achievement,Act V: Refinement,,
