Function Name,What It Does,Reusability Score (1-10)
saveState,"Saves current test state (selected language, act, pack, enabled modes) to localStorage for persistence across page reloads - DecoderTest-specific state keys",7
loadState,Loads and parses saved test state from localStorage - returns null if not found or parse fails,7
restoreSavedState,"Restores test configuration from saved state - sets language selection, dropdown values, mode checkboxes based on localStorage",7
decodeObfuscatedModule,"Decodes 3-layer obfuscated module (base64 + zlib + reversed JSON) using pako library, returns original data structure with all packs and metadata",10
initialize,"Main initialization for decoder test page - sets up language selector, loads modules in parallel, populates dropdowns, restores saved state, initializes test interface",5
syncUIToState,"Syncs UI elements (dropdowns, checkboxes) to match current state object after state changes - ensures UI reflects data model",6
setupLanguageRadioButtons,"Sets up event handlers for language radio buttons (Chinese/Spanish/English), updates state on change, switches modules, and repopulates act/pack dropdowns",7
setupModeCheckboxes,"Sets up event handlers for mode checkboxes (plain text, multiple choice, typing practice, pronunciation, flashcard), updates state, refreshes vocabulary display",7
updatePronunciationDisplay,"Updates pronunciation score cell in vocabulary table row after speech recognition completes - shows similarity percentage and color-coded feedback",6
coupleChineseWithPinyinDebug,"Debug version of Chinese+pinyin coupling that returns detailed step-by-step mapping information for troubleshooting character-syllable pairing issues",5
renderChineseWithPinyin,"Renders coupled Chinese+pinyin array as HTML with vertical flex layout - characters on top, pinyin below, each pair in inline-flex container",10
renderChineseText,"Creates HTML element with Chinese characters and pinyin in coupled vertical layout, handles both Chinese chars and Latin letter sequences (ATM, DNA)",10
setupChineseDisplayOptions,"Sets up event handlers for Chinese display checkboxes (show characters, show pinyin) and updates visibility based on checkbox state",7
updateChineseOptionsVisibility,"Shows or hides the Chinese display options panel based on whether current native language is Chinese - only visible when relevant",7
populateActDropdown,"Populates act selector dropdown from loaded metadata for current language, sorts by act number, sets saved value or defaults to first act",8
populatePackDropdown,"Populates pack selector dropdown from selected act data, sorts by wordpack number, sets saved value or defaults to first pack",8
populateNativeLanguageDropdown,"Populates 'I speak' language dropdown from translations config in __actMeta with display labels, sets saved value or defaults",8
updateTypingDisplay,"Updates typing input element to show typed characters in black and underscores for remaining untyped characters based on current typing state",6
displayAllEdgeCases,"Displays comprehensive edge case tests for Chinese+pinyin coupling including Latin letters (ATM, DNA), mixed content, single letters, punctuation, multi-word",6
displayVocabulary,"Core test function - renders vocabulary table with multiple display modes (plain text, multiple choice, typing, pronunciation, flashcard) based on enabled mode checkboxes",6
updateDebugInfo,"Appends debug message with timestamp to debug info panel for tracking module loading progress and troubleshooting decoder issues",6
handleFlashcardModeChange,"Handles flashcard checkbox toggle - shows/hides flashcard area, initializes deck when enabled, calls updateFlashcardDisplay",7
updateFlashcardDisplay,"Updates flashcard UI to show current card's front or back, handles Chinese rendering with pinyin coupling, updates card counter and debug view",6
