Pack_Number,Pack_Title,Difficulty_Act,Total_Issues,Pinyin_Errors,Bracket_Errors,Empty_Cells
1,Greetings & Basics,Act I: Foundation,0,,,
2,Numbers 1-20,Act I: Foundation,0,,,
3,Numbers & Counting,Act I: Foundation,0,,,
4,Articles & Determiners,Act I: Foundation,0,,,
5,Quantifiers,Act I: Foundation,0,,,
6,Contractions,Act I: Foundation,0,,,
7,Contractions 2,Act I: Foundation,0,,,
8,Common Expressions,Act I: Foundation,0,,,
9,Colors,Act I: Foundation,0,,,
10,Days & Time,Act I: Foundation,0,,,
11,Months & Seasons,Act I: Foundation,0,,,
12,Family,Act I: Foundation,0,,,
13,Body Parts,Act I: Foundation,0,,,
14,Personal Pronouns,Act I: Foundation,0,,,
15,Possessives & Relatives,Act I: Foundation,0,,,
16,Question Words,Act I: Foundation,0,,,
17,Modal Verbs,Act I: Foundation,0,,,
18,Essential Verbs: Be & Have,Act I: Foundation,0,,,
19,Essential Verbs: Go & Come,Act I: Foundation,0,,,
20,Essential Verbs: Common Actions,Act I: Foundation,0,,,
21,Essential Verbs: Daily Actions,Act I: Foundation,0,,,
22,Essential Verbs: Communication,Act I: Foundation,0,,,
23,Irregular Verbs 1,Act I: Foundation,0,,,
24,Irregular Verbs 2,Act I: Foundation,0,,,
25,Irregular Verbs 3,Act I: Foundation,0,,,
26,Irregular Verbs 4,Act I: Foundation,0,,,
27,Essential Adjectives 1,Act I: Foundation,0,,,
28,Essential Adjectives 2,Act I: Foundation,0,,,
29,Basic Emotions,Act I: Foundation,0,,,
30,Common Animals,Act I: Foundation,0,,,
31,Home & Rooms,Act I: Foundation,0,,,
32,Food Basics,Act I: Foundation,0,,,
33,Drinks & Meals,Act I: Foundation,0,,,
34,Clothing,Act I: Foundation,0,,,
35,Weather,Act I: Foundation,0,,,
36,Prepositions of Place,Act I: Foundation,0,,,
37,Prepositions of Time & Other,Act I: Foundation,0,,,
38,Time Expressions,Act I: Foundation,0,,,
39,Negatives & Limits,Act I: Foundation,0,,,
40,Basic Transportation,Act I: Foundation,0,,,
41,Common Nouns,Act I: Foundation,0,,,
42,More Common Nouns,Act I: Foundation,0,,,
43,Places in Town,Act I: Foundation,0,,,
44,Casual & Informal English,Act I: Foundation,0,,,
45,Filler Words & Reactions,Act I: Foundation,0,,,
46,Directions,Act II: Building Blocks,0,,,
47,More Transportation,Act II: Building Blocks,0,,,
48,Furniture,Act II: Building Blocks,0,,,
49,Kitchen Items,Act II: Building Blocks,0,,,
50,Bathroom Items,Act II: Building Blocks,0,,,
51,Household Chores,Act II: Building Blocks,0,,,
52,More Food,Act II: Building Blocks,0,,,
53,Fruits,Act II: Building Blocks,0,,,
54,Vegetables,Act II: Building Blocks,0,,,
55,More Clothing,Act II: Building Blocks,0,,,
56,Jobs 1,Act II: Building Blocks,0,,,
57,Jobs 2,Act II: Building Blocks,0,,,
58,More Animals,Act II: Building Blocks,0,,,
59,Nature,Act II: Building Blocks,0,,,
60,Geography,Act II: Building Blocks,0,,,
61,School & Education,Act II: Building Blocks,0,,,
62,Sports,Act II: Building Blocks,0,,,
63,More Sports,Act II: Building Blocks,0,,,
