Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
english,152,Business Idioms,8,portuguese,no preto,no azul,Portuguese uses no azul (in blue) for profitable - not no preto
english,152,Business Idioms,14,portuguese,à frente da curva,à frente do seu tempo,literal English calque - more natural Portuguese
english,152,Business Idioms,15,portuguese,trazer para a mesa,contribuir com,literal English calque - contribuir is more natural
english,152,Business Idioms,16,portuguese,mova a agulha,fazer diferença,literal English calque - fazer diferença is natural Portuguese
english,152,Business Idioms,29,portuguese,finalmente no preto,finalmente no azul,Portuguese uses no azul (in blue) for profitable
english,152,Business Idioms,41,portuguese,fique à frente da curva,fique à frente do seu tempo,literal English calque - more natural Portuguese
english,152,Business Idioms,42,portuguese,sempre à frente da curva,sempre à frente do seu tempo,literal English calque - more natural Portuguese
english,152,Business Idioms,43,portuguese,o que você traz para a mesa,o que você contribui,literal English calque - contribuir is natural
english,152,Business Idioms,44,portuguese,trazer algo para a mesa,contribuir com algo,literal English calque - contribuir is natural
english,152,Business Idioms,45,portuguese,realmente mova a agulha,realmente fazer diferença,literal English calque - fazer diferença is natural
english,152,Business Idioms,46,portuguese,mova a agulha,fazer diferença,literal English calque - fazer diferença is natural
english,151,Advanced Idioms,14,portuguese,elevar a fasquia,elevar o nível,fasquia is European Portuguese - elevar o nível is more universal
english,151,Advanced Idioms,19,portuguese,apenas morda a bala e,apenas enfrente e,literal translation - enfrente is natural Portuguese
english,151,Advanced Idioms,21,portuguese,queime o óleo da meia-noite estudando,vire a noite estudando,literal translation - virar a noite is natural Portuguese
english,151,Advanced Idioms,22,portuguese,Eu queimo o óleo da meia-noite,Eu viro a noite,literal translation - virar a noite is natural Portuguese
english,151,Advanced Idioms,41,portuguese,elevar a fasquia mais alto,elevar o nível ainda mais,fasquia is European Portuguese - elevar o nível is universal
english,151,Advanced Idioms,42,portuguese,você eleva a fasquia,você eleva o nível,fasquia is European Portuguese - elevar o nível is universal
