Pack_Number,Pack_Title,Difficulty_Act,Score,Issues
1,Greetings & Basics,Act I: Foundation,10.0,No major issues detected in automated review
2,Numbers 1-20,Act I: Foundation,10.0,No major issues detected in automated review
3,Numbers & Counting,Act I: Foundation,10.0,No major issues detected in automated review
4,Articles & Determiners,Act I: Foundation,10.0,No major issues detected in automated review
5,Quantifiers,Act I: Foundation,10.0,No major issues detected in automated review
6,Contractions,Act I: Foundation,10.0,No major issues detected in automated review
7,Contractions 2,Act I: Foundation,10.0,No major issues detected in automated review
8,Common Expressions,Act I: Foundation,10.0,No major issues detected in automated review
9,Colors,Act I: Foundation,10.0,No major issues detected in automated review
10,Days & Time,Act I: Foundation,10.0,No major issues detected in automated review
11,Months & Seasons,Act I: Foundation,10.0,No major issues detected in automated review
12,Family,Act I: Foundation,10.0,No major issues detected in automated review
13,Body Parts,Act I: Foundation,10.0,No major issues detected in automated review
14,Personal Pronouns,Act I: Foundation,10.0,No major issues detected in automated review
15,Possessives & Relatives,Act I: Foundation,10.0,No major issues detected in automated review
16,Question Words,Act I: Foundation,10.0,No major issues detected in automated review
17,Modal Verbs,Act I: Foundation,10.0,No major issues detected in automated review
18,Essential Verbs: Be & Have,Act I: Foundation,10.0,No major issues detected in automated review
19,Essential Verbs: Go & Come,Act I: Foundation,10.0,No major issues detected in automated review
20,Essential Verbs: Common Actions,Act I: Foundation,10.0,No major issues detected in automated review
21,Essential Verbs: Daily Actions,Act I: Foundation,10.0,No major issues detected in automated review
22,Essential Verbs: Communication,Act I: Foundation,10.0,No major issues detected in automated review
23,Irregular Verbs 1,Act I: Foundation,10.0,No major issues detected in automated review
24,Irregular Verbs 2,Act I: Foundation,10.0,No major issues detected in automated review
25,Irregular Verbs 3,Act I: Foundation,10.0,No major issues detected in automated review
26,Irregular Verbs 4,Act I: Foundation,10.0,No major issues detected in automated review
27,Essential Adjectives 1,Act I: Foundation,10.0,No major issues detected in automated review
28,Essential Adjectives 2,Act I: Foundation,10.0,No major issues detected in automated review
29,Basic Emotions,Act I: Foundation,10.0,No major issues detected in automated review
30,Common Animals,Act I: Foundation,10.0,No major issues detected in automated review
31,Home & Rooms,Act I: Foundation,10.0,No major issues detected in automated review
32,Food Basics,Act I: Foundation,10.0,No major issues detected in automated review
33,Drinks & Meals,Act I: Foundation,10.0,No major issues detected in automated review
34,Clothing,Act I: Foundation,10.0,No major issues detected in automated review
35,Weather,Act I: Foundation,10.0,No major issues detected in automated review
36,Prepositions of Place,Act I: Foundation,10.0,No major issues detected in automated review
37,Prepositions of Time & Other,Act I: Foundation,10.0,No major issues detected in automated review
38,Time Expressions,Act I: Foundation,10.0,No major issues detected in automated review
39,Negatives & Limits,Act I: Foundation,10.0,No major issues detected in automated review
40,Basic Transportation,Act I: Foundation,10.0,No major issues detected in automated review
41,Common Nouns,Act I: Foundation,10.0,No major issues detected in automated review
42,More Common Nouns,Act I: Foundation,10.0,No major issues detected in automated review
43,Places in Town,Act I: Foundation,9.8,"Row 26 ""cafe"": Portuguese missing accent - should be ""café"""
44,Casual & Informal English,Act I: Foundation,10.0,No major issues detected in automated review
45,Filler Words & Reactions,Act I: Foundation,10.0,No major issues detected in automated review
46,Directions,Act II: Building Blocks,10.0,No major issues detected in automated review
47,More Transportation,Act II: Building Blocks,10.0,No major issues detected in automated review
48,Furniture,Act II: Building Blocks,10.0,No major issues detected in automated review
49,Kitchen Items,Act II: Building Blocks,10.0,No major issues detected in automated review
50,Bathroom Items,Act II: Building Blocks,9.0,"Row 21 ""hamper"": Chinese translation 礼篮 (gift basket) is WRONG - should be 洗衣篮 (laundry hamper). Portuguese ""dificultar"" (to hinder) is WRONG - should be ""cesto"" (basket). Correct translation appears later in row 60."
51,Household Chores,Act II: Building Blocks,10.0,No major issues detected in automated review
52,More Food,Act II: Building Blocks,10.0,No major issues detected in automated review
53,Fruits,Act II: Building Blocks,10.0,No major issues detected in automated review
54,Vegetables,Act II: Building Blocks,10.0,No major issues detected in automated review
55,More Clothing,Act II: Building Blocks,10.0,No major issues detected in automated review
56,Jobs 1,Act II: Building Blocks,10.0,No major issues detected in automated review
57,Jobs 2,Act II: Building Blocks,10.0,No major issues detected in automated review
58,More Animals,Act II: Building Blocks,10.0,No major issues detected in automated review
59,Nature,Act II: Building Blocks,10.0,No major issues detected in automated review
60,Geography,Act II: Building Blocks,10.0,No major issues detected in automated review
61,School & Education,Act II: Building Blocks,10.0,No major issues detected in automated review
62,Sports,Act II: Building Blocks,10.0,No major issues detected in automated review
63,More Sports,Act II: Building Blocks,10.0,No major issues detected in automated review
64,Entertainment,Act II: Building Blocks,10.0,No major issues detected in automated review
65,More Emotions,Act II: Building Blocks,10.0,No major issues detected in automated review
66,Personality,Act II: Building Blocks,10.0,No major issues detected in automated review
67,Physical Appearance,Act II: Building Blocks,10.0,No major issues detected in automated review
68,Shopping,Act II: Building Blocks,10.0,No major issues detected in automated review
69,Money & Banking,Act II: Building Blocks,9.0,"Row 13 ""interest"": Chinese 兴趣 means hobby/interest (personal) - in banking context should be 利息 (financial interest). Row 45 ""no interest"": Correctly translates as没有兴趣 (no personal interest) but creates ambiguity with row 44 ""interest free"" (无息)."
70,Health,Act II: Building Blocks,10.0,No major issues detected in automated review
71,Technology,Act II: Building Blocks,10.0,No major issues detected in automated review
72,Verbs of Motion,Act II: Building Blocks,10.0,No major issues detected in automated review
73,Verbs of Change,Act II: Building Blocks,10.0,No major issues detected in automated review
74,Communication Verbs,Act II: Building Blocks,10.0,No major issues detected in automated review
75,Mental Verbs,Act II: Building Blocks,10.0,No major issues detected in automated review
76,Adverbs of Manner,Act II: Building Blocks,10.0,No major issues detected in automated review
77,Adverbs of Degree,Act II: Building Blocks,10.0,No major issues detected in automated review
78,Conjunctions,Act II: Building Blocks,10.0,No major issues detected in automated review
79,Connectors,Act II: Building Blocks,10.0,No major issues detected in automated review
80,Phrasal Verbs 1,Act II: Building Blocks,10.0,No major issues detected in automated review
81,Phrasal Verbs 2,Act II: Building Blocks,10.0,No major issues detected in automated review
82,Travel,Act III: Everyday Life,10.0,No major issues detected in automated review
83,Airport & Flying,Act III: Everyday Life,10.0,No major issues detected in automated review
84,Hotel,Act III: Everyday Life,10.0,No major issues detected in automated review
85,Work & Office,Act III: Everyday Life,10.0,No major issues detected in automated review
86,Workplace Actions,Act III: Everyday Life,10.0,No major issues detected in automated review
87,Business Communication,Act III: Everyday Life,10.0,No major issues detected in automated review
88,Internet & Social Media,Act III: Everyday Life,10.0,No major issues detected in automated review
89,Relationships,Act III: Everyday Life,10.0,No major issues detected in automated review
90,Social Interactions,Act III: Everyday Life,10.0,No major issues detected in automated review
91,Life Events,Act III: Everyday Life,10.0,No major issues detected in automated review
92,Housing,Act III: Everyday Life,10.0,No major issues detected in automated review
93,News & Media,Act III: Everyday Life,10.0,No major issues detected in automated review
94,Environment,Act III: Everyday Life,10.0,No major issues detected in automated review
95,Cooking Methods,Act III: Everyday Life,10.0,No major issues detected in automated review
96,Food Preparation,Act III: Everyday Life,10.0,No major issues detected in automated review
97,Restaurant,Act III: Everyday Life,10.0,No major issues detected in automated review
98,Movies & TV,Act III: Everyday Life,10.0,No major issues detected in automated review
99,Books & Reading,Act III: Everyday Life,10.0,No major issues detected in automated review
100,Music & Art,Act III: Everyday Life,8.5,"Row 13 ""beat"": Chinese 击败 means ""to defeat"" - WRONG for music context. Should be 节拍 (beat/rhythm). Row 45 ""beat drop"" translation 击败下降 is nonsensical (defeat descending)."
101,Basic Law & Rules,Act III: Everyday Life,10.0,No major issues detected in automated review
102,Government & Citizenship,Act III: Everyday Life,10.0,No major issues detected in automated review
103,Opinions & Arguments,Act III: Everyday Life,10.0,No major issues detected in automated review
104,Problems & Solutions,Act III: Everyday Life,10.0,No major issues detected in automated review
105,Describing Trends,Act III: Everyday Life,10.0,No major issues detected in automated review
106,Common Idioms 1,Act III: Everyday Life,10.0,No major issues detected in automated review
107,Common Idioms 2,Act III: Everyday Life,8.5,"Row 2 ""cold feet"": Chinese 手脚冰冷 (cold hands and feet) is TOO LITERAL - idiom should be 临阵退缩 (which appears correctly in row 17-18). Row 6 ""pain in the neck"": 颈部疼痛 is LITERAL (neck pain) not idiomatic - should be 麻烦事/讨厌的事."
108,Phrasal Verbs 3,Act III: Everyday Life,10.0,No major issues detected in automated review
109,Phrasal Verbs 4,Act III: Everyday Life,10.0,No major issues detected in automated review
110,Collocations - Make & Do,Act III: Everyday Life,10.0,No major issues detected in automated review
111,Collocations - Have & Take,Act III: Everyday Life,10.0,No major issues detected in automated review
112,Collocations - Other,Act III: Everyday Life,10.0,No major issues detected in automated review
113,Business Basics,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
114,Finance Basics,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
115,Marketing & Sales,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
116,Science Basics,Act IV: Expanding Horizons,10.0,No major issues detected in automated review
