function,description,reusability
loadAct,Loads and caches an act using shared decoder metadata and updates global caches,10
populateActSelector,Builds the act dropdown from loaded metadata for user selection,6
populateLanguageSelector,Populates the native-language selector based on translations in metadata,7
initializeTypingDisplay,Prepares typing placeholders and spacing for the current target word,8
handleTypingInput,Processes key input for typing mode and updates progress/errors,8
renderTypingDisplay,Renders the typing UI for the current card including progress markers,7
renderTargetWord,Renders the front-side target word with optional Chinese formatting,6
renderTranslation,Renders the translation/backside content with optional coupling,6
updateDisplay,Central rendering orchestrator for card face/back based on mode,7
flipCard,Flips the card UI and syncs audio/tooltip state,5
startGame,Starts gameplay from the selected pack and mode,6
updateDebugTable,Builds the live debug table showing deck status and states,4
