Function Name,What It Does (Detailed),How It Works (Detailed Implementation),Reusability Score (1-10)
switchLanguage,"Switches the active target language between Spanish Chinese and English across all language learning games. Updates localStorage preference and reloads the page to reinitialize with new language modules. This enables a single game to support multiple target languages without code duplication.","Validates the requested language exists in MODULE_SETS object. Saves the language preference to localStorage under 'selected_language' key. Updates window.currentLanguage and window.MODULE_URLS to point to the new language's module paths. Logs the switch to console and calls window.location.reload() to reinitialize the entire game with new data.",10
getTargetLanguage,"Determines which language the user is currently learning (the target language) by inspecting the loaded module metadata. Returns the language code string (e.g. 'spanish' 'chinese' 'english'). This is critical for determining which column in word arrays contains the target vocabulary.","Iterates through window.loadedActMeta object checking each act's metadata. Extracts wordColumns[0] from __actMeta (column 0 is always the target language by convention). Returns the lowercase language name or null if no metadata found.",10
toTitleCase,"Converts a string to title case format where the first letter is capitalized and remaining letters are lowercase. Used for displaying language names and act names in UI elements.","Checks if string is empty/null and returns empty string if so. Takes first character with charAt(0) and converts to uppercase. Takes remaining characters with slice(1) and converts to lowercase. Concatenates and returns the result.",8
validateTargetLanguageConsistency,"Validates that all loaded act modules have the same target language (wordColumns[0] value). This prevents bugs where different acts accidentally use different target languages which would break the game logic.","Creates a Set to track unique target languages. Iterates through all loaded acts in window.loadedActMeta. Extracts wordColumns[0] from each act's metadata and adds to Set. If Set size > 1 multiple languages were found - logs error with list of conflicting languages and returns false. Returns true if consistent.",9
isChineseMode,"Checks if the current target language is Chinese. Chinese requires special handling throughout the codebase (pinyin rendering character-by-character coupling special typing validation TTS voice selection). This function is called frequently to branch logic appropriately.","Calls getTargetLanguage() to get current target language string. Compares result === 'chinese' (case-sensitive). Returns boolean true if Chinese false otherwise.",10
updateChineseModeClass,"Applies or removes the 'chinese-mode' CSS class on document.body based on whether Chinese is the target language. This CSS class triggers special styling rules for Chinese text rendering (larger font sizes pinyin positioning flex layouts for character grouping).","Calls isChineseMode() to check target language. If true adds 'chinese-mode' class to document.body.classList. If false removes 'chinese-mode' class from document.body.classList. CSS rules defined elsewhere use this class as a selector.",9
getTranslationsConfig,"Retrieves the translations configuration object from loaded module metadata. This object maps available 'I speak' languages to their column indices and display names. For example: {english: {index: 1 display: 'English'} chinese: {index: 2 display: '中文'}}.","Checks if window.loadedActMeta exists. Iterates through all loaded acts looking for first act that has a 'translations' property in its __actMeta. Returns that translations object or null if not found. All acts should have identical translations config so first match is sufficient.",10
getDefaultTranslation,"Returns the default 'I speak' language code for the current target language. This is used when no saved preference exists or when validating saved state. Usually returns 'english' as the default translation language.","Checks if window.loadedActMeta exists and returns 'english' if not. Iterates through loaded acts looking for __actMeta.defaultTranslation property. Returns that value or falls back to 'english' if not found.",9
getWordColumns,"Returns the array of column names from module metadata showing the structure of word arrays. For example Spanish returns ['spanish' 'english' 'chinese' 'pinyin' 'portuguese']. This is critical for understanding which array index corresponds to which language.","Checks if window.loadedActMeta exists. Iterates through loaded acts looking for first act with __actMeta.wordColumns property. Returns that array or null if not found. All acts should have identical column structure so first match is sufficient.",10
getValidLanguages,"Returns an array of valid 'I speak' language codes that the user can select for translations. These are extracted from the translations config object keys. Used for validating saved state and populating language selector dropdowns.","Calls getTranslationsConfig() to get translations object. If translations exist returns Object.keys(translations) as an array. If translations is null returns empty array [].",9
