PACK 2: Numbers 1-20
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | one                  | 一               | yī                 | uno                | um                
  3 | two                  | 二               | èr                 | dos                | dois              
  4 | three                | 三               | sān                | tres               | três              
  5 | four                 | 四               | sì                 | cuatro             | quatro            
  6 | five                 | 五               | wǔ                 | cinco              | cinco             
  7 | six                  | 六               | liù                | seis               | seis              
  8 | seven                | 七               | qī                 | Siete              | Sete              
  9 | eight                | 八               | bā                 | ocho               | oito              
 10 | nine                 | 九               | jiǔ                | nueve              | nove              
 11 | ten                  | 十               | shí                | diez               | dez               
 12 | eleven               | 十一              | shí yī             | once               | onze              
 13 | twelve               | 十二              | shí èr             | doce               | doze              
 14 | thirteen             | 十三              | shí sān            | trece              | treze             
 15 | fourteen             | 十四              | shí sì             | catorce            | catorze           
 16 | fifteen              | 十五              | shí wǔ             | quince             | quinze            
 17 | sixteen              | 十六              | shí liù            | dieciséis          | dezesseis         
 18 | seventeen            | 十七              | shí qī             | diecisiete         | dezessete         
 19 | eighteen             | 十八              | shí bā             | dieciocho          | dezoito           
 20 | nineteen             | 十九              | shí jiǔ            | diecinueve         | dezenove          
 21 | twenty               | 二十              | èr shí             | veinte             | vinte             
 22 | one more time        | 再一次             | zài yí cì          | Una vez más        | mais uma vez      
 23 | one of them          | 其中之一            | qí zhōng zhī yī    | uno de ellos       | um deles          
 24 | two of us            | 我们两个人           | wǒ men liǎng gè ré | dos de nosotros    | nós dois          
 25 | two weeks ago        | 两周前             | liǎng zhōu qián    | hace dos semanas   | há duas semanas   
 26 | three times a day    | 一天三次            | yī tiān sān cì     | tres veces al día  | três vezes ao dia 
 27 | three years ago      | 三年前             | sān nián qián      | hace tres años     | há três anos      
 28 | four seasons         | 四季              | sì jì              | cuatro estaciones  | quatro temporadas 
 29 | four o'clock         | 四点钟             | sì diǎn zhōng      | las cuatro en punt | quatro horas      
 30 | five minutes         | 五分钟             | wǔ fēn zhōng       | cinco minutos      | cinco minutos     
 31 | five years old       | 五岁              | wǔ suì             | cinco años         | cinco anos        
 32 | six months           | 六个月             | liù gè yuè         | seis meses         | seis meses        
 33 | six o'clock          | 六点钟             | liù diǎn zhōng     | seis en punto      | seis horas        
 34 | seven days a week    | 每周七天            | měi zhōu qī tiān   | siete días a la se | sete dias por sema
 35 | seven years old      | 七岁              | qī suì             | siete años         | sete anos         
 36 | eight hours          | 八小时             | bā xiǎo shí        | ocho horas         | oito horas        
 37 | eight o'clock        | 八点钟             | bā diǎn zhōng      | ocho en punto      | oito horas        
 38 | nine times out of te | 十分之九            | shí fēn zhī jiǔ    | nueve de cada diez | nove em cada dez v
 39 | nine o'clock         | 九点钟             | jiǔ diǎn zhōng     | nueve en punto     | nove horas        
 40 | ten minutes          | 十分钟             | shí fēn zhōng      | diez minutos       | dez minutos       
 41 | ten years old        | 十岁              | shí suì            | diez años          | dez anos          
 42 | eleven o'clock       | 十一点             | shí yì diǎn        | once en punto      | onze horas        
 43 | eleven years old     | 十一岁             | shí yī suì         | once años          | onze anos         
 44 | twelve months        | 十二个月            | shí èr gè yuè      | doce meses         | doze meses        
 45 | twelve o'clock       | 十二点钟            | shí èr diǎn zhōng  | las doce en punto  | doze horas        
 46 | thirteen years old   | 十三岁             | shí sān suì        | trece años         | treze anos        
 47 | thirteen days        | 十三天             | shí sān tiān       | trece dias         | treze dias        
 48 | fourteen days        | 十四天             | shí sì tiān        | catorce dias       | quatorze dias     
 49 | fourteen years old   | 十四岁             | shí sì suì         | catorce años       | quatorze anos     
 50 | fifteen minutes      | 十五分钟            | shí wǔ fēn zhōng   | quince minutos     | quinze minutos    
 51 | fifteen years old    | 十五岁             | shí wǔ suì         | quince años        | quinze anos       
 52 | sixteen years old    | 十六岁             | shí liù suì        | dieciséis años     | dezesseis anos    
 53 | sixteen candles      | 十六支蜡烛           | shí liù zhī là zhú | dieciséis velas    | dezesseis velas   
 54 | seventeen years old  | 十七岁             | shí qī suì         | diecisiete años    | dezessete anos    
 55 | seventeen days       | 十七天             | shí qī tiān        | diecisiete días    | dezessete dias    
 56 | eighteen years old   | 十八岁             | shí bā suì         | dieciocho años     | dezoito anos      
 57 | eighteen months      | 十八个月            | shí bā gè yuè      | dieciocho meses    | dezoito meses     
 58 | nineteen years old   | 十九岁             | shí jiǔ suì        | diecinueve años    | dezenove anos     
 59 | nineteen hundred     | 一千九百            | yī qiān jiǔ bǎi    | mil novecientos    | mil e novecentos  
 60 | twenty minutes       | 二十分钟            | èr shí fēn zhōng   | veinte minutos     | vinte minutos     
 61 | twenty years old     | 二十岁             | èr shí suì         | veinte años        | vinte anos        
