PACK 8: Common Expressions
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | me too               | 我也是             | wǒ yě shì          | yo también         | eu também         
  3 | no problem           | 没问题             | méi wèn tí         | ningún problema    | sem problemas     
  4 | you're welcome       | 不客气             | bú kè qì           | de nada            | de nada           
  5 | of course            | 当然              | dāng rán           | por supuesto       | claro             
  6 | by the way           | 顺便一提            | shùn biàn yì tí    | por cierto         | por falar nisso   
  7 | that's right         | 这是正确的           | zhè shì zhèng què  | así es             | isso mesmo        
  8 | come on              | 快点              | kuài diǎn          | vamos              | vamos             
  9 | kind of              | 有点儿             | yǒu diǎn ér        | un poco            | tipo de           
 10 | sort of              | 有点              | yǒu diǎn           | tipo de            | mais ou menos     
 11 | what about           | 怎么样             | zěn me yàng        | ¿Qué pasa con      | e quanto          
 12 | how about            | 怎么样             | zěn me yàng        | ¿Qué tal           | que tal           
 13 | no way               | 决不              | jué bù             | de ninguna manera  | sem chance        
 14 | for sure             | 一定              | yí dìng            | con seguridad      | claro que sim     
 15 | my bad               | 我的错             | wǒ de cuò          | culpa mía          | meu erro          
 16 | all right            | 好的              | hǎo de             | está bien          | tudo bem          
 17 | never mind           | 没关系             | méi guān xì        | no importa         | deixa para lá     
 18 | as usual             | 照常              | zhào cháng         | como siempre       | como de costume   
 19 | at least             | 至少              | zhì shǎo           | al menos           | pelo menos        
 20 | so far               | 迄今为止            | qì jīn wéi zhǐ     | hasta ahora        | até aqui          
 21 | take it easy         | 别紧张             | bié jǐn zhāng      | tómalo con calma   | vá com calma      
 22 | me too thanks        | 我也是谢谢           | wǒ yě shì xiè xiè  | yo también gracias | eu também obrigado
 23 | me too please        | 我也是请            | wǒ yě shì qǐng     | yo también por fav | eu também por favo
 24 | no problem at all    | 完全没问题           | wán quán méi wèn t | no hay problema en | não há problema al
 25 | no problem here      | 这里没问题           | zhè lǐ méi wèn tí  | no hay problema aq | não há problema aq
 26 | you're welcome anyti | 随时欢迎您           | suí shí huān yíng  | eres bienvenido en | você é bem-vindo a
 27 | you're welcome to jo | 欢迎你加入           | huān yíng nǐ jiā r | eres bienvenido a  | você está convidad
 28 | of course not        | 当然不是            | dāng rán bú shì    | Por supuesto que n | claro que não     
 29 | of course I will     | 我当然会            | wǒ dāng rán huì    | por supuesto que l | claro que vou     
 30 | by the way I forgot  | 顺便说一句我忘了        | shùn biàn shuō yī  | por cierto lo olvi | aliás, esqueci    
 31 | by the way you look  | 顺便说一句你看起来很棒     | shùn biàn shuō yī  | por cierto te ves  | a propósito você e
 32 | that's right I remem | 是的我记得           | shì de wǒ jì de    | así es lo recuerdo | isso mesmo eu me l
 33 | oh that's right      | 哦是的             | ó shì de           | oh eso es cierto   | ah isso mesmo     
 34 | come on let's go     | 来吧我们走吧          | lái ba wǒ men zǒu  | vamos vamos        | vamos lá vamos    
 35 | oh come on           | 哦来吧             | ó lái ba           | oh vamos           | ah vamos lá       
 36 | kind of tired        | 有点累             | yǒu diǎn lèi       | un poco cansado    | meio cansado      
 37 | kind of busy         | 有点忙             | yǒu diǎn máng      | tipo de ocupado    | meio ocupado      
 38 | sort of like it      | 有点喜欢            | yǒu diǎn xǐ huān   | algo así como      | mais ou menos assi
 39 | sort of busy         | 有点忙             | yǒu diǎn máng      | algo ocupado       | meio ocupado      
 40 | what about you       | 你呢              | nǐ ne              | qué pasa contigo   | e você            
 41 | what about tomorrow  | 明天怎么样           | míng tiān zěn me y | ¿Qué pasa mañana?  | e amanhã          
 42 | how about we go      | 我们走怎么样          | wǒ men zǒu zěn me  | ¿Qué tal si nos va | que tal irmos     
 43 | how about that       | 怎么样             | zěn me yàng        | ¿Qué tal eso?      | que tal isso      
 44 | no way that's true   | 这不可能是真的         | zhè bù kě néng shì | de ninguna manera  | de jeito nenhum is
 45 | absolutely no way    | 绝对没办法           | jué duì méi bàn fǎ | absolutamente de n | absolutamente de j
 46 | for sure I will      | 我肯定会            | wǒ kěn dìng huì    | seguro que lo haré | com certeza eu vou
 47 | that's for sure      | 这是肯定的           | zhè shì kěn dìng d | eso es seguro      | isso é certo      
 48 | oh my bad            | 哦我的错            | ó wǒ de cuò        | oh mi mal          | ah que pena       
 49 | my bad I forgot      | 我的错我忘了          | wǒ de cuò wǒ wàng  | mi mal lo olvide   | que pena esqueci  
 50 | all right then       | 那么好吧            | nà me hǎo ba       | está bien entonces | tudo bem então    
 51 | that's all right     | 没关系             | méi guān xì        | eso está bien      | está tudo bem     
 52 | never mind about it  | 别介意它            | bié jiè yì tā      | no importa         | não se preocupe co
 53 | oh never mind        | 哦没关系            | ó méi guān xì      | oh no importa      | ah não importa    
 54 | as usual I'm late    | 像往常一样我迟到了       | xiàng wǎng cháng y | como siempre llego | como sempre estou 
 55 | business as usual    | 一切如常            | yī qiè rú cháng    | negocio como siemp | negócios como semp
 56 | at least try         | 至少尝试一下          | zhì shǎo cháng shì | al menos inténtalo | pelo menos tente  
 57 | at least we tried    | 至少我们尝试过         | zhì shǎo wǒ men ch | al menos lo intent | pelo menos tentamo
 58 | so far so good       | 到目前为止一切都很好      | dào mù qián wéi zh | Hasta ahora todo b | até agora tudo bem
 59 | so far nothing       | 到目前为止什么都没有      | dào mù qián wéi zh | hasta ahora nada   | até agora nada    
 60 | take it easy friend  | 放轻松朋友           | fàng qīng sōng pén | tómatelo con calma | tenha calma amigo 
 61 | just take it easy    | 放轻松             | fàng qīng sōng     | solo tómatelo con  | apenas vá com calm
