PACK 9: Colors
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | red                  | 红色的             | hóng sè de         | rojo               | vermelho          
  3 | blue                 | 蓝色的             | lán sè de          | azul               | azul              
  4 | green                | 绿色的             | lǜ sè de           | verde              | verde             
  5 | orange               | 橙色的             | chéng sè de        | naranja            | laranja           
  6 | yellow               | 黄色的             | huáng sè de        | amarillo           | amarelo           
  7 | purple               | 紫色的             | zǐ sè de           | púrpura            | roxo              
  8 | pink                 | 粉色的             | fěn sè de          | rosa               | rosa              
  9 | black                | 黑色的             | hēi sè de          | negro              | preto             
 10 | white                | 白色的             | bái sè de          | blanco             | branco            
 11 | gray                 | 灰色的             | huī sè de          | gris               | cinza             
 12 | brown                | 棕色的             | zōng sè de         | marrón             | marrom            
 13 | gold                 | 金色的             | jīn sè de          | oro                | ouro              
 14 | silver               | 银               | yín                | plata              | prata             
 15 | dark                 | 黑暗的             | hēi àn de          | oscuro             | escuro            
 16 | light                | 光               | guāng              | luz                | luz               
 17 | bright               | 明亮的             | míng liàng de      | brillante          | brilhante         
 18 | color                | 颜色              | yán sè             | color              | cor               
 19 | tan                  | 晒黑              | shài hēi           | broncearse         | bronzeado         
 20 | beige                | 浅褐色的            | qiǎn hè sè de      | beige              | bege              
 21 | navy                 | 海军              | hǎi jūn            | marina de guerra   | marinha           
 22 | red light            | 红灯              | hóng dēng          | luz roja           | luz vermelha      
 23 | red rose             | 红玫瑰             | hóng méi guī       | rosa roja          | rosa vermelha     
 24 | blue ocean           | 蓝色海洋            | lán sè hǎi yáng    | océano azul        | oceano azul       
 25 | feeling blue         | 感觉忧郁            | gǎn jué yōu yù     | sintiéndose azul   | sentindo-se triste
 26 | green light          | 绿灯              | lǜ dēng            | luz verde          | luz verde         
 27 | green tea            | 绿茶              | lǜ chá             | té verde           | Chá verde         
 28 | orange juice         | 橙汁              | chéng zhī          | zumo de naranja    | suco de laranja   
 29 | orange peel          | 橘子皮             | jú zi pí           | cáscara de naranja | casca de laranja  
 30 | yellow cab           | 黄色出租车           | huáng sè chū zū ch | taxi amarillo      | táxi amarelo      
 31 | yellow pages         | 黄页              | huáng yè           | Páginas Amarillas  | páginas amarelas  
 32 | purple rain          | 紫色的雨            | zǐ sè de yǔ        | lluvia morada      | chuva roxa        
 33 | royal purple         | 皇家紫             | huáng jiā zǐ       | púrpura real       | roxo real         
 34 | pink rose            | 粉红玫瑰            | fěn hóng méi guī   | rosa rosa          | rosa rosa         
 35 | pretty in pink       | 粉红色的漂亮          | fěn hóng sè de pià | bonita en rosa     | linda de rosa     
 36 | black coffee         | 黑咖啡             | hēi kā fēi         | café negro         | café preto        
 37 | black and white      | 黑色和白色           | hēi sè hé bái sè   | en blanco y negro  | preto e branco    
 38 | white wine           | 白葡萄酒            | bái pú táo jiǔ     | vino blanco        | vinho branco      
 39 | pure white           | 纯白色             | chún bái sè        | blanco puro        | branco puro       
 40 | gray area            | 灰色地带            | huī sè dì dài      | zona gris          | área cinzenta     
 41 | gray hair            | 白发              | bái fà             | pelo gris          | cabelos grisalhos 
 42 | brown sugar          | 红糖              | hóng táng          | azúcar moreno      | açúcar mascavo    
 43 | brown eyes           | 棕色的眼睛           | zōng sè de yǎn jīn | ojos marrones      | olhos castanhos   
 44 | solid gold           | 足金              | zú jīn             | oro macizo         | ouro maciço       
 45 | gold ring            | 金戒指             | jīn jiè zhǐ        | anillo de oro      | anel de ouro      
 46 | silver screen        | 银幕              | yín mù             | pantalla plateada  | tela prateada     
 47 | silver lining        | 一线希望            | yī xiàn xī wàng    | resquicio de esper | forro de prata    
 48 | dark side            | 黑暗面             | hēi àn miàn        | lado oscuro        | lado negro        
 49 | dark night           | 黑夜              | hēi yè             | noche oscura       | noite escura      
 50 | light blue           | 浅蓝色             | qiǎn lán sè        | azul claro         | azul claro        
 51 | light switch         | 电灯开关            | diàn dēng kāi guān | interruptor de luz | interruptor de luz
 52 | bright idea          | 好主意             | hǎo zhǔ yì         | idea brillante     | ideia brilhante   
 53 | bright future        | 光明的未来           | guāng míng de wèi  | futuro brillante   | futuro brilhante  
 54 | what color           | 什么颜色            | shén me yán sè     | de que color       | que cor           
 55 | favorite color       | 最喜欢的颜色          | zuì xǐ huān de yán | color favorito     | cor favorita      
 56 | tan line             | 棕褐色线            | zōng hè sè xiàn    | línea de bronceado | linha bronzeada   
 57 | golden tan           | 金棕褐色            | jīn zōng hè sè     | bronceado dorado   | bronzeado dourado 
 58 | beige color          | 米色              | mǐ sè              | color beige        | cor bege          
 59 | beige walls          | 米色墙壁            | mǐ sè qiáng bì     | paredes color beig | paredes bege      
 60 | navy blue            | 海军蓝             | hǎi jūn lán        | Azul marino        | azul-marinho      
 61 | navy ship            | 海军舰艇            | hǎi jūn jiàn tǐng  | barco de la marina | navio da marinha  
