PACK 11: Months & Seasons
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | January              | 一月              | yí yuè             | enero              | janeiro           
  3 | February             | 二月              | èr yuè             | febrero            | fevereiro         
  4 | March                | 三月              | sān yuè            | marzo              | março             
  5 | April                | 四月              | sì yuè             | abril              | abril             
  6 | May                  | 五月              | wǔ yuè             | mayo               | maio              
  7 | June                 | 六月              | liù yuè            | junio              | junho             
  8 | July                 | 七月              | qī yuè             | julio              | julho             
  9 | August               | 八月              | bā yuè             | agosto             | agosto            
 10 | September            | 九月              | jiǔ yuè            | septiembre         | setembro          
 11 | October              | 十月              | shí yuè            | octubre            | outubro           
 12 | November             | 十一月             | shí yī yuè         | noviembre          | novembro          
 13 | December             | 十二月             | shí èr yuè         | diciembre          | dezembro          
 14 | spring               | 春天              | chūn tiān          | primavera          | primavera         
 15 | summer               | 夏天              | xià tiān           | verano             | verão             
 16 | autumn               | 秋天              | qiū tiān           | otoño              | outono            
 17 | winter               | 冬天              | dōng tiān          | invierno           | inverno           
 18 | year                 | 年               | nián               | año                | ano               
 19 | month                | 月               | yuè                | mes                | mês               
 20 | seasonal             | 季节性的            | jì jié xìng de     | estacional         | sazonal           
 21 | calendar             | 日历              | rì lì              | calendario         | calendário        
 22 | January first        | 一月一日            | yí yuè yī rì       | primero de enero   | primeiro de janeir
 23 | in January           | 一月              | yí yuè             | en enero           | em janeiro        
 24 | February fourteenth  | 二月十四日           | èr yuè shí sì rì   | catorce de febrero | 14 de fevereiro   
 25 | in February          | 二月              | èr yuè             | en febrero         | em fevereiro      
 26 | March madness        | 疯狂三月            | fēng kuáng sān yuè | Locura de marzo    | Loucura de março  
 27 | in March             | 三月              | sān yuè            | en marzo           | em março          
 28 | April showers        | 四月阵雨            | sì yuè zhèn yǔ     | Lluvias de abril   | Chuvas de abril   
 29 | in April             | 四月              | sì yuè             | en abril           | em abril          
 30 | May flowers          | 五月花             | wǔ yuè huā         | flores de mayo     | Flores de maio    
 31 | in May               | 在五月             | zài wǔ yuè         | En mayo            | em maio           
 32 | June wedding         | 六月婚礼            | liù yuè hūn lǐ     | boda de junio      | Casamento de junho
 33 | in June              | 六月              | liù yuè            | en junio           | em junho          
 34 | July fourth          | 七月四日            | qī yuè sì rì       | cuatro de julio    | Quatro de julho   
 35 | in July              | 七月              | qī yuè             | en julio           | em julho          
 36 | August heat          | 八月炎热            | bā yuè yán rè      | calor de agosto    | Calor de agosto   
 37 | in August            | 八月              | bā yuè             | en agosto          | em agosto         
 38 | September school     | 九月开学            | jiǔ yuè kāi xué    | escuela de septiem | Escola de setembro
 39 | in September         | 九月              | jiǔ yuè            | en septiembre      | em setembro       
 40 | October fest         | 十月盛宴            | shí yuè shèng yàn  | fiesta de octubre  | Festa de outubro  
 41 | in October           | 十月              | shí yuè            | en octubre         | em outubro        
 42 | November thanks      | 十一月感谢           | shí yī yuè gǎn xiè | noviembre gracias  | novembro obrigado 
 43 | in November          | 十一月             | shí yī yuè         | en noviembre       | em novembro       
 44 | December holiday     | 十二月假期           | shí èr yuè jià qī  | vacaciones de dici | Feriado de dezembr
 45 | in December          | 十二月             | shí èr yuè         | en diciembre       | em dezembro       
 46 | spring break         | 春假              | chūn jià           | vacaciones de prim | férias de primaver
 47 | spring time          | 春天的时候           | chūn tiān de shí h | tiempo de primaver | primavera         
 48 | summer time          | 夏令时             | xià lìng shí       | horario de verano  | horário de verão  
 49 | hot summer           | 炎热的夏天           | yán rè de xià tiān | verano caluroso    | verão quente      
 50 | autumn leaves        | 秋天的树叶           | qiū tiān de shù yè | hojas de otoño     | folhas de outono  
 51 | beautiful autumn     | 美丽的秋天           | měi lì de qiū tiān | hermoso otoño      | lindo outono      
 52 | winter cold          | 冬天寒冷            | dōng tiān hán lěng | frio de invierno   | frio do inverno   
 53 | winter snow          | 冬天的雪            | dōng tiān de xuě   | nieve del invierno | neve de inverno   
 54 | this year            | 今年              | jīn nián           | este año           | este ano          
 55 | next year            | 明年              | míng nián          | al año que viene   | próximo ano       
 56 | this month           | 本月              | běn yuè            | este mes           | este mês          
 57 | last month           | 上个月             | shàng gè yuè       | mes pasado         | mês passado       
 58 | seasonal change      | 季节变化            | jì jié biàn huà    | cambio estacional  | mudança sazonal   
 59 | seasonal sale        | 季节性销售           | jì jié xìng xiāo s | venta estacional   | venda sazonal     
 60 | calendar date        | 日历日期            | rì lì rì qī        | fecha del calendar | data do calendário
 61 | check the calendar   | 检查日历            | jiǎn chá rì lì     | revisa el calendar | confira o calendár
