PACK 18: Essential Verbs: Be & Have
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | be                   | 是               | shì                | ser                | ser               
  3 | is                   | 是               | shì                | es                 | é                 
  4 | am                   | 是               | shì                | soy                | sou               
  5 | are                  | 是               | shì                | son                | são               
  6 | was                  | 曾是              | céng shì           | era                | era               
  7 | were                 | 是               | shì                | eran               | eram              
  8 | been                 | 到过              | dào guò            | estado             | estive            
  9 | being                | 存在              | cún zài            | ser                | ser               
 10 | have                 | 有               | yǒu                | tener              | ter               
 11 | has                  | 有               | yǒu                | tiene              | tem               
 12 | had                  | 有               | yǒu                | tenía              | tive              
 13 | having               | 拥有              | yōng yǒu           | teniendo           | tendo             
 14 | do                   | 做               | zuò                | hacer              | fazer             
 15 | does                 | 做               | zuò                | hace               | faz               
 16 | did                  | 做过              | zuò guò            | hizo               | fez               
 17 | done                 | 完毕              | wán bì             | hecho              | feito             
 18 | doing                | 正在做             | zhèng zài zuò      | haciendo           | fazendo           
 19 | get                  | 得到              | dé dào             | conseguir          | pegar             
 20 | gets                 | 得到              | dé dào             | obtiene            | recebe            
 21 | got                  | 得到              | dé dào             | consiguió          | pegou             
 22 | to be honest         | 说实话             | shuō shí huà       | para ser sincero   | para ser honesto  
 23 | want to be           | 想要成为            | xiǎng yào chéng wé | quiero ser         | quero ser         
 24 | it is good           | 这很好             | zhè hěn hǎo        | es bueno           | isso é bom        
 25 | that is right        | 没错              | méi cuò            | eso es correcto    | isso é certo      
 26 | I am here            | 我在这里            | wǒ zài zhè lǐ      | Estoy aquí         | eu estou aqui     
 27 | I am ready           | 我已经准备好了         | wǒ yǐ jīng zhǔn bè | estoy listo        | estou pronto      
 28 | we are here          | 我们在这里           | wǒ men zài zhè lǐ  | estamos aquí       | estamos aqui      
 29 | they are coming      | 他们来了            | tā men lái le      | ellos estan vinien | eles estão vindo  
 30 | I was there          | 我在那里            | wǒ zài nà lǐ       | yo estaba allí     | eu estava lá      
 31 | it was great         | 太棒了             | tài bàng le        | fue genial         | foi ótimo         
 32 | they were here       | 他们在这里           | tā men zài zhè lǐ  | ellos estaban aquí | eles estavam aqui 
 33 | we were happy        | 我们很高兴           | wǒ men hěn gāo xìn | estábamos felices  | estávamos felizes 
 34 | I have been there    | 我去过那里           | wǒ qù guò nà lǐ    | he estado allí     | eu estive lá      
 35 | has been done        | 已经完成            | yǐ jīng wán chéng  | se ha hecho        | foi feito         
 36 | being honest         | 诚实              | chéng shí          | siendo honesto     | sendo honesto     
 37 | being careful        | 小心              | xiǎo xīn           | teniendo cuidado   | sendo cuidadoso   
 38 | I have it            | 我有              | wǒ yǒu             | lo tengo           | eu tenho isso     
 39 | I have time          | 我有时间            | wǒ yǒu shí jiān    | tengo tiempo       | eu tenho tempo    
 40 | she has it           | 她有它             | tā yǒu tā          | ella lo tiene      | ela tem isso      
 41 | he has time          | 他有时间            | tā yǒu shí jiān    | el tiene tiempo    | ele tem tempo     
 42 | I had it             | 我有它             | wǒ yǒu tā          | lo tuve            | eu tive isso      
 43 | had a good time      | 玩得很开心           | wán dé hěn kāi xīn | lo pasé bien       | me diverti        
 44 | having fun           | 玩得开心            | wán dé kāi xīn     | divirtiéndose      | se divertindo     
 45 | having trouble       | 有麻烦             | yǒu má fán         | teniendo problemas | tendo problemas   
 46 | I do it              | 我做              | wǒ zuò             | lo hago            | eu faço isso      
 47 | let me do            | 让我做             | ràng wǒ zuò        | déjame hacer       | deixe-me fazer    
 48 | she does it          | 她做到了            | tā zuò dào le      | ella lo hace       | ela faz isso      
 49 | does it work         | 有用吗             | yǒu yòng ma        | funciona           | isso funciona     
 50 | I did it             | 我做到了            | wǒ zuò dào le      | Lo hice            | Eu fiz isso       
 51 | well did             | 做得好             | zuò dé hǎo         | bien hecho         | bem fez           
 52 | all done             | 全部完成            | quán bù wán chéng  | todo hecho         | tudo feito        
 53 | done yet             | 还没完成            | hái méi wán chéng  | hecho todavía      | feito ainda       
 54 | doing well           | 做得很好            | zuò dé hěn hǎo     | haciendo bien      | indo bem          
 55 | doing great          | 做得很好            | zuò dé hěn hǎo     | haciendo muy bien  | indo muito bem    
 56 | I get it             | 我得到它            | wǒ dé dào tā       | Lo entiendo        | Entendo           
 57 | get going            | 开始吧             | kāi shǐ ba         | ponerse en marcha  | vá em frente      
 58 | she gets it          | 她明白了            | tā míng bái le     | ella lo entiende   | ela entende       
 59 | he gets angry        | 他生气了            | tā shēng qì le     | el se enoja        | ele fica com raiva
 60 | I got it             | 我得到了它           | wǒ dé dào le tā    | Lo tengo           | Eu entendi        
 61 | got to go            | 得走了             | dé zǒu le          | tengo que irme     | tenho que ir      
