PACK 22: Essential Verbs: Communication
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | speak                | 说话              | shuō huà           | hablar             | falar             
  3 | spoke                | 发言              | fā yán             | habló              | falou             
  4 | spoken               | 口语              | kǒu yǔ             | hablado            | falado            
  5 | talk                 | 说话              | shuō huà           | hablar             | falar             
  6 | listen               | 听               | tīng               | escucha            | ouça              
  7 | hear                 | 听到              | tīng dào           | escuchar           | ouvir             
  8 | heard                | 听到              | tīng dào           | escuchado          | ouvi              
  9 | read                 | 阅读              | yuè dú             | leer               | leia              
 10 | write                | 写               | xiě                | escribir           | escreva           
 11 | wrote                | 写               | xiě                | escribió           | escreveu          
 12 | written              | 写               | xiě                | escrito            | escrito           
 13 | learn                | 学习              | xué xí             | aprender           | aprenda           
 14 | teach                | 教               | jiào               | enseñar            | ensinar           
 15 | taught               | 教导              | jiào dǎo           | enseñado           | ensinado          
 16 | watch                | 观看              | guān kàn           | ver                | assistir          
 17 | look                 | 看看              | kàn kàn            | mira               | olha              
 18 | shown                | 显示              | xiǎn shì           | mostrado           | mostrado          
 19 | call                 | 致电              | zhì diàn           | llamar             | ligar             
 20 | shout                | 喊               | hǎn                | gritar             | gritar            
 21 | whisper              | 耳语              | ěr yǔ              | susurro            | sussurrar         
 22 | speak up             | 大声说出来           | dà shēng shuō chū  | hablar             | fale              
 23 | speak English        | 说英语             | shuō yīng yǔ       | hablar inglés      | falar inglês      
 24 | I spoke to him       | 我和他说话了          | wǒ hé tā shuō huà  | Hablé con él       | Falei com ele     
 25 | spoke clearly        | 说得很清楚           | shuō dé hěn qīng c | habló claramente   | falou claramente  
 26 | well spoken          | 说得好             | shuō dé hǎo        | bien hablado       | bem falado        
 27 | spoken word          | 口语              | kǒu yǔ             | palabra hablada    | palavra falada    
 28 | let's talk           | 让我们谈谈           | ràng wǒ men tán tá | hablemos           | vamos conversar   
 29 | talk to me           | 跟我说话            | gēn wǒ shuō huà    | hablame            | fale comigo       
 30 | listen carefully     | 仔细听             | zǐ xì tīng         | escucha atentament | ouça com atenção  
 31 | listen to me         | 听我说             | tīng wǒ shuō       | escúchame          | me escute         
 32 | I hear you           | 我听到你了           | wǒ tīng dào nǐ le  | Te escucho         | Eu ouço você      
 33 | hear me out          | 听我说完            | tīng wǒ shuō wán   | escúchame          | me escute         
 34 | I heard that         | 我听说             | wǒ tīng shuō       | Escuché eso        | Eu ouvi isso      
 35 | heard about it       | 听说过             | tīng shuō guò      | He oído hablar de  | ouvi falar disso  
 36 | read this            | 读这个             | dú zhè ge          | lee esto           | leia isso         
 37 | read aloud           | 大声朗读            | dà shēng lǎng dú   | leer en voz alta   | leia em voz alta  
 38 | write it down        | 写下来             | xiě xià lái        | escríbelo          | escreva           
 39 | write me             | 写信给我            | xiě xìn gěi wǒ     | escríbeme          | me escreva        
 40 | I wrote it           | 我写的             | wǒ xiě de          | Yo lo escribí      | Eu escrevi        
 41 | wrote a letter       | 写了一封信           | xiě le yī fēng xìn | escribió una carta | escreveu uma carta
 42 | well written         | 写得好             | xiě dé hǎo         | bien escrito       | bem escrito       
 43 | written by           | 写者              | xiě zhě            | escrito por        | escrito por       
 44 | learn fast           | 学得快             | xué dé kuài        | aprende rápido     | aprenda rápido    
 45 | learn English        | 学习英语            | xué xí yīng yǔ     | aprender inglés    | aprender inglês   
 46 | teach me             | 教我              | jiào wǒ            | enséñame           | me ensine         
 47 | teach yourself       | 自学              | zì xué             | aprende tú mismo   | aprenda sozinho   
 48 | I taught her         | 我教她             | wǒ jiào tā         | Yo le enseñé       | Eu ensinei ela    
 49 | taught well          | 教得好             | jiào dé hǎo        | enseñó bien        | ensinou bem       
 50 | watch out            | 小心              | xiǎo xīn           | cuidado            | cuidado           
 51 | watch this           | 看这个             | kàn zhè ge         | mira esto          | veja isso         
 52 | look here            | 看这里             | kàn zhè lǐ         | mira aquí          | olha aqui         
 53 | look at me           | 看着我             | kàn zhe wǒ         | Mírame             | olhe para mim     
 54 | shown to be          | 显示为             | xiǎn shì wèi       | demostrado ser     | mostrado ser      
 55 | shown how            | 显示如何            | xiǎn shì rú hé     | mostrado cómo      | mostrado como     
 56 | call me              | 叫我              | jiào wǒ            | llamame            | me ligue          
 57 | call home            | 打电话回家           | dǎ diàn huà huí ji | llamar a casa      | ligar para casa   
 58 | don't shout          | 别喊              | bié hǎn            | no grites          | não grite         
 59 | shout out            | 大声喊出            | dà shēng hǎn chū   | gritar             | grite             
 60 | whisper quietly      | 轻声细语            | qīng shēng xì yǔ   | susurrar en voz ba | sussurre baixinho 
 61 | whisper to me        | 对我低语            | duì wǒ dī yǔ       | susurrame          | sussurre para mim 
