PACK 26: Irregular Verbs 4
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | sing                 | 唱歌              | chàng gē           | cantar             | cantar            
  3 | sang                 | 唱               | chàng              | cantó              | cantou            
  4 | swim                 | 游泳              | yóu yǒng           | nadar              | nadar             
  5 | swam                 | 游泳              | yóu yǒng           | nadé               | nadou             
  6 | throw                | 扔               | rēng               | tirar              | lançar            
  7 | threw                | 扔               | rēng               | lanzó              | jogou             
  8 | begin                | 开始              | kāi shǐ            | comenzar           | começar           
  9 | began                | 开始              | kāi shǐ            | comenzó            | começou           
 10 | break                | 打破              | dǎ pò              | descanso           | quebrar           
 11 | broke                | 坏了              | huài le            | se rompió          | quebrou           
 12 | understand           | 了解              | liǎo jiě           | entender           | entenda           
 13 | understood           | 明白了             | míng bái le        | entendido          | entendido         
 14 | bite                 | 咬               | yǎo                | morder             | morder            
 15 | bit                  | 咬了              | yǎo le             | mordió             | mordeu            
 16 | blow                 | 吹               | chuī               | soplar             | soprar            
 17 | blew                 | 吹了              | chuī le            | sopló              | soprou            
 18 | freeze               | 冻结              | dòng jié           | congelar           | congelar          
 19 | froze                | 冻结              | dòng jié           | se congeló         | congelou          
 20 | steal                | 偷               | tōu                | robar              | roubar            
 21 | stole                | 偷了              | tōu le             | robó               | roubou            
 22 | sing along           | 一起唱             | yì qǐ chàng        | cantar             | cante junto       
 23 | sing a song          | 唱首歌             | chàng shǒu gē      | cantar una canción | cante uma música  
 24 | she sang well        | 她唱得很好           | tā chàng dé hěn hǎ | ella cantó bien    | ela cantou bem    
 25 | sang beautifully     | 唱得好听            | chàng dé hǎo tīng  | cantó maravillosam | cantou lindamente 
 26 | let's swim           | 我们去游泳吧          | wǒ men qù yóu yǒng | vamos a nadar      | vamos nadar       
 27 | swim fast            | 游得快             | yóu dé kuài        | nadar rápido       | nade rápido       
 28 | I swam there         | 我在那里游过          | wǒ zài nà lǐ yóu g | Nadé allí          | Nadei lá          
 29 | swam across          | 游过              | yóu guò            | nadé a través      | nadou             
 30 | throw it             | 扔掉它             | rēng diào tā       | tíralo             | jogue             
 31 | throw away           | 扔掉              | rēng diào          | tirar              | jogar fora        
 32 | I threw it           | 我扔了             | wǒ rēng le         | Lo tiré            | Eu joguei         
 33 | threw out            | 扔掉              | rēng diào          | tirado             | jogou fora        
 34 | begin now            | 现在开始            | xiàn zài kāi shǐ   | empezar ahora      | comece agora      
 35 | begin again          | 重新开始            | chóng xīn kāi shǐ  | empezar de nuevo   | começar de novo   
 36 | it began             | 它开始了            | tā kāi shǐ le      | empezó             | começou           
 37 | began to rain        | 开始下雨            | kāi shǐ xià yǔ     | empezó a llover    | começou a chover  
 38 | don't break it       | 不要破坏它           | bú yào pò huài tā  | no lo rompas       | não quebre        
 39 | break free           | 挣脱束缚            | zhèng tuō shù fù   | liberarse          | liberte-se        
 40 | it broke             | 它坏了             | tā huài le         | se rompió          | quebrou           
 41 | broke down           | 坏了              | huài le            | se rompió          | quebrou           
 42 | I understand         | 我明白             | wǒ míng bái        | Entiendo           | Eu entendo        
 43 | understand me        | 理解我             | lǐ jiě wǒ          | Entiéndeme         | me entenda        
 44 | I understood         | 我明白了            | wǒ míng bái le     | Entendí            | Eu entendi        
 45 | understood clearly   | 理解清楚            | lǐ jiě qīng chǔ    | entendido claramen | entendido claramen
 46 | don't bite           | 别咬              | bié yǎo            | no muerdas         | não morda         
 47 | bite into            | 咬入              | yǎo rù             | morder             | morder            
 48 | he bit it            | 他咬了它            | tā yǎo le tā       | lo mordió          | ele mordeu        
 49 | bit hard             | 咬得很用力           | yǎo dé hěn yòng lì | mordió fuerte      | mordeu com força  
 50 | blow out             | 吹灭              | chuī miè           | explotar           | explodir          
 51 | blow up              | 炸毁              | zhà huǐ            | explotar           | explodir          
 52 | the wind blew        | 风吹过             | fēng chuī guò      | el viento sopló    | o vento soprou    
 53 | blew away            | 被吹走了            | bèi chuī zǒu le    | voló lejos         | foi soprado       
 54 | freeze up            | 冻结              | dòng jié           | congelarse         | congelar          
 55 | freeze it            | 冻结它             | dòng jié tā        | congelarlo         | congelá-lo        
 56 | the water froze      | 水结冰了            | shuǐ jié bīng le   | el agua se congeló | a água congelou   
 57 | froze solid          | 冻成固体            | dòng chéng gù tǐ   | congelado          | congelou          
 58 | don't steal          | 请勿偷窃            | qǐng wù tōu qiè    | no robes           | não roube         
 59 | steal away           | 偷走              | tōu zǒu            | robar              | roubar            
 60 | he stole it          | 他偷了它            | tā tōu le tā       | lo robó            | ele roubou        
 61 | stole my heart       | 偷走了我的心          | tōu zǒu le wǒ de x | me robó el corazón | roubou meu coração
