PACK 29: Basic Emotions
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | happy                | 快乐              | kuài lè            | feliz              | feliz             
  3 | sad                  | 悲伤              | bēi shāng          | triste             | triste            
  4 | angry                | 生气              | shēng qì           | enojado            | irritado          
  5 | scared               | 害怕              | hài pà             | asustado           | assustado         
  6 | afraid               | 害怕              | hài pà             | miedo              | com medo          
  7 | worried              | 担心              | dān xīn            | preocupado         | preocupado        
  8 | nervous              | 紧张              | jǐn zhāng          | nervioso           | nervoso           
  9 | excited              | 兴奋              | xīng fèn           | emocionado         | animado           
 10 | surprised            | 惊讶              | jīng yà            | sorprendido        | surpreso          
 11 | bored                | 无聊              | wú liáo            | aburrido           | entediado         
 12 | tired                | 累               | lèi                | cansado            | cansado           
 13 | calm                 | 冷静              | lěng jìng          | calma              | calma             
 14 | upset                | 心烦意乱            | xīn fán yì luàn    | molesto            | chateado          
 15 | proud                | 骄傲              | jiāo ào            | orgulloso          | orgulhoso         
 16 | lonely               | 孤独              | gū dú              | solitario          | solitário         
 17 | sick                 | 生病了             | shēng bìng le      | enfermo            | doente            
 18 | joyful               | 快乐              | kuài lè            | alegre             | alegre            
 19 | anxious              | 着急              | zháo jí            | ansioso            | ansioso           
 20 | pleased              | 很高兴             | hěn gāo xìng       | contento           | satisfeito        
 21 | fearful              | 可怕              | kě pà              | temeroso           | com medo          
 22 | so happy             | 太开心了            | tài kāi xīn le     | muy feliz          | tão feliz         
 23 | happy ending         | 美好结局            | měi hǎo jié jú     | final feliz        | final feliz       
 24 | very sad             | 很伤心             | hěn shāng xīn      | muy triste         | muito triste      
 25 | sad news             | 悲伤的消息           | bēi shāng de xiāo  | triste noticia     | triste notícia    
 26 | very angry           | 很生气             | hěn shēng qì       | muy enojado        | muito irritado    
 27 | angry at me          | 对我生气            | duì wǒ shēng qì    | enojado conmigo    | com raiva de mim  
 28 | really scared        | 真的很害怕           | zhēn de hěn hài pà | realmente asustado | muito assustado   
 29 | scared of            | 害怕              | hài pà             | miedo de           | com medo de       
 30 | I'm afraid           | 恐怕              | kǒng pà            | Tengo miedo        | Estou com medo    
 31 | afraid of            | 害怕              | hài pà             | miedo de           | medo de           
 32 | very worried         | 很担心             | hěn dān xīn        | muy preocupado     | muito preocupado  
 33 | worried about        | 担心              | dān xīn            | preocupado por     | preocupado com    
 34 | so nervous           | 好紧张             | hǎo jǐn zhāng      | muy nervioso       | tão nervoso       
 35 | nervous about        | 紧张              | jǐn zhāng          | nervioso por       | nervoso com       
 36 | very excited         | 很兴奋             | hěn xīng fèn       | muy emocionado     | muito animado     
 37 | excited about        | 兴奋              | xīng fèn           | emocionado por     | animado com       
 38 | very surprised       | 非常惊讶            | fēi cháng jīng yà  | muy sorprendido    | muito surpreso    
 39 | surprised by         | 惊讶于             | jīng yà yú         | sorprendido por    | surpreso por      
 40 | so bored             | 好无聊             | hǎo wú liáo        | muy aburrido       | tão entediado     
 41 | bored with           | 厌倦了             | yàn juàn le        | aburrido de        | entediado com     
 42 | very tired           | 很累              | hěn lèi            | muy cansado        | muito cansado     
 43 | tired of             | 厌倦了             | yàn juàn le        | cansado de         | cansado de        
 44 | stay calm            | 保持冷静            | bǎo chí lěng jìng  | mantén la calma    | fique calmo       
 45 | keep calm            | 保持冷静            | bǎo chí lěng jìng  | mantén la calma    | mantenha a calma  
 46 | very upset           | 很不高兴            | hěn bù gāo xìng    | muy molesto        | muito chateado    
 47 | upset about          | 心烦意乱            | xīn fán yì luàn    | molesto por        | chateado com      
 48 | very proud           | 非常自豪            | fēi cháng zì háo   | muy orgulloso      | muito orgulhoso   
 49 | proud of             | 自豪              | zì háo             | orgulloso de       | orgulhoso de      
 50 | feeling lonely       | 感觉孤独            | gǎn jué gū dú      | sentirse solo      | me sentindo sozinh
 51 | so lonely            | 好孤独             | hǎo gū dú          | tan solo           | tão solitário     
 52 | feel sick            | 感觉不舒服           | gǎn jué bù shū fú  | sentirse enfermo   | me sinto mal      
 53 | sick of              | 厌倦了             | yàn juàn le        | harto de           | cansado de        
 54 | very joyful          | 很开心             | hěn kāi xīn        | muy alegre         | muito alegre      
 55 | joyful occasion      | 欢乐的时刻           | huān lè de shí kè  | ocasión alegre     | ocasião alegre    
 56 | feeling anxious      | 感到焦虑            | gǎn dào jiāo lǜ    | sentirse ansioso   | me sentindo ansios
 57 | anxious about        | 担心              | dān xīn            | ansioso por        | ansioso com       
 58 | very pleased         | 非常高兴            | fēi cháng gāo xìng | muy contento       | muito satisfeito  
 59 | pleased with         | 满意              | mǎn yì             | satisfecho con     | satisfeito com    
 60 | feeling fearful      | 感到害怕            | gǎn dào hài pà     | sintiendo miedo    | sentindo medo     
 61 | fearful of           | 害怕              | hài pà             | temeroso de        | com medo de       
