PACK 30: Common Animals
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | dog                  | 狗               | gǒu                | perro              | cachorro          
  3 | cat                  | 猫               | māo                | gato               | gato              
  4 | bird                 | 鸟               | niǎo               | pájaro             | pássaro           
  5 | fish                 | 鱼               | yú                 | pez                | peixe             
  6 | horse                | 马               | mǎ                 | caballo            | cavalo            
  7 | cow                  | 牛               | niú                | vaca               | vaca              
  8 | pig                  | 猪               | zhū                | cerdo              | porco             
  9 | chicken              | 鸡               | jī                 | pollo              | frango            
 10 | mouse                | 老鼠              | lǎo shǔ            | ratón              | rato              
 11 | rabbit               | 兔子              | tù zi              | conejo             | coelho            
 12 | sheep                | 羊               | yáng               | ovejas             | ovelhas           
 13 | duck                 | 鸭               | yā                 | pato               | pato              
 14 | bear                 | 熊               | xióng              | oso                | urso              
 15 | lion                 | 狮子              | shī zi             | león               | leão              
 16 | elephant             | 大象              | dà xiàng           | elefante           | elefante          
 17 | monkey               | 猴子              | hóu zi             | mono               | macaco            
 18 | snake                | 蛇               | shé                | serpiente          | cobra             
 19 | butterfly            | 蝴蝶              | hú dié             | mariposa           | borboleta         
 20 | bee                  | 蜜蜂              | mì fēng            | abeja              | abelha            
 21 | ant                  | 蚂蚁              | mǎ yǐ              | hormiga            | formiga           
 22 | pet dog              | 宠物狗             | chǒng wù gǒu       | perro mascota      | cachorro de estima
 23 | hot dog              | 热狗              | rè gǒu             | perrito caliente   | cachorro-quente   
 24 | black cat            | 黑猫              | hēi māo            | gato negro         | gato preto        
 25 | cat food             | 猫粮              | māo liáng          | comida para gatos  | comida de gato    
 26 | pet bird             | 宠物鸟             | chǒng wù niǎo      | pájaro mascota     | pássaro de estimaç
 27 | bird song            | 鸟鸣              | niǎo míng          | canto de pájaro    | canto dos pássaros
 28 | gold fish            | 金鱼              | jīn yú             | pez dorado         | peixe dourado     
 29 | fish tank            | 鱼缸              | yú gāng            | pecera             | aquário           
 30 | race horse           | 赛马              | sài mǎ             | caballo de carrera | cavalo de corrida 
 31 | horse ride           | 骑马              | qí mǎ              | paseo a caballo    | passeio a cavalo  
 32 | dairy cow            | 奶牛              | nǎi niú            | vaca lechera       | vaca leiteira     
 33 | cow milk             | 牛奶              | niú nǎi            | leche de vaca      | leite de vaca     
 34 | pet pig              | 宠物猪             | chǒng wù zhū       | cerdo mascota      | porco de estimação
 35 | pig farm             | 养猪场             | yǎng zhū chǎng     | granja de cerdos   | fazenda de porcos 
 36 | fried chicken        | 炸鸡              | zhà jī             | pollo frito        | frango frito      
 37 | chicken soup         | 鸡汤              | jī tāng            | sopa de pollo      | canja de galinha  
 38 | computer mouse       | 电脑鼠标            | diàn nǎo shǔ biāo  | ratón de computado | mouse de computado
 39 | mouse trap           | 老鼠夹             | lǎo shǔ jiā        | trampa para ratone | ratoeira          
 40 | pet rabbit           | 宠物兔             | chǒng wù tù        | conejo mascota     | coelho de estimaçã
 41 | rabbit hole          | 兔子洞             | tù zi dòng         | madriguera del con | toca do coelho    
 42 | black sheep          | 黑羊              | hēi yáng           | oveja negra        | ovelha negra      
 43 | sheep farm           | 养羊场             | yǎng yáng chǎng    | granja de ovejas   | fazenda de ovelhas
 44 | rubber duck          | 橡皮鸭             | xiàng pí yā        | pato de goma       | pato de borracha  
 45 | duck pond            | 鸭池              | yā chí             | estanque de patos  | lago com patos    
 46 | teddy bear           | 泰迪熊             | tài dí xióng       | osito de peluche   | ursinho de pelúcia
 47 | bear hug             | 熊抱              | xióng bào          | abrazo de oso      | abraço de urso    
 48 | lion king            | 狮子王             | shī zi wáng        | rey león           | rei leão          
 49 | brave lion           | 勇敢的狮子           | yǒng gǎn de shī zi | león valiente      | bravo leão        
 50 | baby elephant        | 小象              | xiǎo xiàng         | bebé elefante      | bebê elefante     
 51 | elephant trunk       | 象鼻              | xiàng bí           | trompa de elefante | tromba de elefante
 52 | little monkey        | 小猴子             | xiǎo hóu zi        | pequeño mono       | macaquinho        
 53 | monkey around        | 胡闹              | hú nào             | hacer el tonto     | fazer bagunça     
 54 | pet snake            | 宠物蛇             | chǒng wù shé       | serpiente mascota  | cobra de estimação
 55 | snake bite           | 蛇咬伤             | shé yǎo shāng      | mordedura de serpi | picada de cobra   
 56 | pretty butterfly     | 漂亮的蝴蝶           | piào liàng de hú d | linda mariposa     | linda borboleta   
 57 | butterfly garden     | 蝴蝶园             | hú dié yuán        | jardín de mariposa | jardim de borbolet
 58 | honey bee            | 蜜蜂              | mì fēng            | abeja melífera     | abelha            
 59 | bee sting            | 蜜蜂蜇             | mì fēng zhē        | picadura de abeja  | picada de abelha  
 60 | fire ant             | 火蚁              | huǒ yǐ             | hormiga de fuego   | formiga de fogo   
 61 | ant colony           | 蚁群              | yǐ qún             | colonia de hormiga | colônia de formiga
