PACK 31: Home & Rooms
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | home                 | 首页              | shǒu yè            | inicio             | casa              
  3 | house                | 房子              | fáng zi            | casa               | casa              
  4 | room                 | 房间              | fáng jiān          | habitación         | quarto            
  5 | kitchen              | 厨房              | chú fáng           | cocina             | cozinha           
  6 | bedroom              | 卧室              | wò shì             | dormitorio         | quarto            
  7 | bathroom             | 浴室              | yù shì             | baño               | banheiro          
  8 | living room          | 客厅              | kè tīng            | salón              | sala de estar     
  9 | dining room          | 餐厅              | cān tīng           | comedor            | sala de jantar    
 10 | garage               | 车库              | chē kù             | garaje             | garagem           
 11 | basement             | 地下室             | dì xià shì         | sótano             | porão             
 12 | attic                | 阁楼              | gé lóu             | ático              | sótão             
 13 | yard                 | 院子              | yuàn zi            | patio              | quintal           
 14 | garden               | 花园              | huā yuán           | jardín             | jardim            
 15 | door                 | 门               | mén                | puerta             | porta             
 16 | window               | 窗口              | chuāng kǒu         | ventana            | janela            
 17 | wall                 | 墙               | qiáng              | pared              | parede            
 18 | floor                | 地板              | dì bǎn             | piso               | chão              
 19 | ceiling              | 天花板             | tiān huā bǎn       | techo              | teto              
 20 | stairs               | 楼梯              | lóu tī             | escaleras          | escadas           
 21 | hallway              | 走廊              | zǒu láng           | pasillo            | corredor          
 22 | come home            | 回家              | huí jiā            | vuelve a casa      | volte para casa   
 23 | home sweet home      | 甜蜜的家            | tián mì de jiā     | hogar dulce hogar  | lar doce lar      
 24 | new house            | 新房子             | xīn fáng zi        | casa nueva         | casa nova         
 25 | house party          | 家庭聚会            | jiā tíng jù huì    | fiesta en casa     | festa em casa     
 26 | my room              | 我的房间            | wǒ de fáng jiān    | mi habitación      | meu quarto        
 27 | room temperature     | 室温              | shì wēn            | temperatura ambien | temperatura ambien
 28 | in the kitchen       | 在厨房             | zài chú fáng       | en la cocina       | na cozinha        
 29 | kitchen table        | 厨房桌子            | chú fáng zhuō zi   | mesa de cocina     | mesa de cozinha   
 30 | master bedroom       | 主卧室             | zhǔ wò shì         | dormitorio princip | quarto principal  
 31 | bedroom door         | 卧室门             | wò shì mén         | puerta del dormito | porta do quarto   
 32 | in the bathroom      | 在浴室             | zài yù shì         | en el baño         | no banheiro       
 33 | bathroom sink        | 浴室水槽            | yù shì shuǐ cáo    | lavabo del baño    | pia do banheiro   
 34 | in the living room   | 在客厅             | zài kè tīng        | en el salón        | na sala           
 35 | living room sofa     | 客厅沙发            | kè tīng shā fā     | sofá de salón      | sofá da sala      
 36 | in the dining room   | 在餐厅             | zài cān tīng       | en el comedor      | na sala de jantar 
 37 | dining room table    | 餐桌              | cān zhuō           | mesa de comedor    | mesa de jantar    
 38 | car garage           | 车库              | chē kù             | garaje para coches | garagem para carro
 39 | garage door          | 车库门             | chē kù mén         | puerta de garaje   | portão de garagem 
 40 | in the basement      | 在地下室            | zài dì xià shì     | en el sótano       | no porão          
 41 | basement floor       | 地下室地板           | dì xià shì dì bǎn  | planta sótano      | subsolo           
 42 | in the attic         | 在阁楼             | zài gé lóu         | en el ático        | no sótão          
 43 | attic space          | 阁楼空间            | gé lóu kōng jiān   | espacio del ático  | sótão             
 44 | back yard            | 后院              | hòu yuàn           | patio trasero      | quintal           
 45 | front yard           | 前院              | qián yuàn          | patio delantero    | quintal da frente 
 46 | flower garden        | 花园              | huā yuán           | jardín de flores   | jardim de flores  
 47 | garden party         | 花园派对            | huā yuán pài duì   | fiesta en el jardí | festa no jardim   
 48 | front door           | 前门              | qián mén           | puerta de entrada  | porta da frente   
 49 | door bell            | 门铃              | mén líng           | timbre de puerta   | campainha         
 50 | open window          | 打开窗口            | dǎ kāi chuāng kǒu  | abrir ventana      | abrir janela      
 51 | window seat          | 靠窗座位            | kào chuāng zuò wèi | asiento junto a la | assento na janela 
 52 | brick wall           | 砖墙              | zhuān qiáng        | pared de ladrillo  | parede de tijolos 
 53 | wall art             | 墙壁艺术            | qiáng bì yì shù    | arte de la pared   | arte de parede    
 54 | wood floor           | 木地板             | mù dì bǎn          | suelo de madera    | piso de madeira   
 55 | floor plan           | 平面图             | píng miàn tú       | plano de planta    | planta baixa      
 56 | high ceiling         | 高高的天花板          | gāo gāo de tiān hu | techo alto         | teto alto         
 57 | ceiling fan          | 吊扇              | diào shàn          | ventilador de tech | ventilador de teto
 58 | down the stairs      | 下楼梯             | xià lóu tī         | bajando las escale | descendo as escada
 59 | stairs up            | 上楼梯             | shàng lóu tī       | escaleras arriba   | escadas subindo   
 60 | long hallway         | 长长的走廊           | cháng cháng de zǒu | pasillo largo      | longo corredor    
 61 | hallway light        | 走廊灯             | zǒu láng dēng      | luz del pasillo    | luz do corredor   
