PACK 35: Weather
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | weather              | 天气              | tiān qì            | clima              | clima             
  3 | sun                  | 太阳              | tài yáng           | sol                | sol               
  4 | sunny                | 晴朗              | qíng lǎng          | soleado            | ensolarado        
  5 | rain                 | 雨               | yǔ                 | lluvia             | chuva             
  6 | rainy                | 下雨              | xià yǔ             | lluvioso           | chuvoso           
  7 | snow                 | 雪               | xuě                | nieve              | neve              
  8 | snowy                | 下雪的             | xià xuě de         | nevado             | nevado            
  9 | cloud                | 云               | yún                | nube               | nuvem             
 10 | cloudy               | 阴天              | yīn tiān           | nublado            | nublado           
 11 | windy                | 有风              | yǒu fēng           | ventoso            | ventoso           
 12 | warm                 | 温暖              | wēn nuǎn           | cálido             | quente            
 13 | storm                | 风暴              | fēng bào           | tormenta           | tempestade        
 14 | wet                  | 湿               | shī                | mojado             | molhado           
 15 | ice                  | 冰               | bīng               | hielo              | gelo              
 16 | fog                  | 雾               | wù                 | niebla             | nevoeiro          
 17 | humid                | 潮湿              | cháo shī           | húmedo             | úmido             
 18 | freezing             | 冷冻              | lěng dòng          | congelación        | congelamento      
 19 | mild                 | 温和              | wēn hé             | leve               | leve              
 20 | forecast             | 预测              | yù cè              | pronóstico         | previsão          
 21 | drizzle              | 毛毛雨             | máo máo yǔ         | llovizna           | chuvisco          
 22 | nice weather         | 天气好             | tiān qì hǎo        | buen tiempo        | bom tempo         
 23 | weather report       | 天气预报            | tiān qì yù bào     | informe meteorológ | boletim meteorológ
 24 | bright sun           | 灿烂的阳光           | càn làn de yáng gu | sol brillante      | sol brilhante     
 25 | sun shine            | 阳光灿烂            | yáng guāng càn làn | brillo del sol     | brilho do sol     
 26 | sunny day            | 晴天              | qíng tiān          | día soleado        | dia ensolarado    
 27 | sunny weather        | 天气晴朗            | tiān qì qíng lǎng  | clima soleado      | tempo ensolarado  
 28 | heavy rain           | 大雨              | dà yǔ              | fuertes lluvias    | chuva forte       
 29 | rain drops           | 雨滴              | yǔ dī              | gotas de lluvia    | gotas de chuva    
 30 | rainy day            | 下雨天             | xià yǔ tiān        | día lluvioso       | dia chuvoso       
 31 | rainy season         | 雨季              | yǔ jì              | temporada de lluvi | estação chuvosa   
 32 | heavy snow           | 大雪              | dà xuě             | fuertes nevadas    | neve forte        
 33 | snow fall            | 雪落              | xuě luò            | caída de nieve     | queda de neve     
 34 | snowy day            | 下雪天             | xià xuě tiān       | día de nieve       | dia de neve       
 35 | snowy weather        | 下雪的天气           | xià xuě de tiān qì | clima nevado       | tempo de neve     
 36 | dark cloud           | 乌云              | wū yún             | nube oscura        | nuvem escura      
 37 | cloud cover          | 云层              | yún céng           | cobertura de nubes | cobertura de nuven
 38 | cloudy sky           | 多云的天空           | duō yún de tiān kō | cielo nublado      | céu nublado       
 39 | cloudy day           | 阴天              | yīn tiān           | día nublado        | dia nublado       
 40 | very windy           | 风很大             | fēng hěn dà        | mucho viento       | muito vento       
 41 | windy day            | 有风的日子           | yǒu fēng de rì zi  | día ventoso        | dia de vento      
 42 | stay warm            | 保持温暖            | bǎo chí wēn nuǎn   | mantente caliente  | fique aquecido    
 43 | warm weather         | 天气温暖            | tiān qì wēn nuǎn   | clima cálido       | clima quente      
 44 | big storm            | 大风暴             | dà fēng bào        | gran tormenta      | grande tempestade 
 45 | thunder storm        | 雷暴              | léi bào            | tormenta eléctrica | tempestade com tro
 46 | all wet              | 都湿了             | dōu shī le         | todo mojado        | todo molhado      
 47 | wet floor            | 湿地板             | shī dì bǎn         | suelo mojado       | piso molhado      
 48 | thin ice             | 薄冰              | báo bīng           | hielo fino         | gelo fino         
 49 | ice cold             | 冰冷              | bīng lěng          | helado             | gelado            
 50 | thick fog            | 浓雾              | nóng wù            | niebla espesa      | neblina espessa   
 51 | fog light            | 雾灯              | wù dēng            | luz antiniebla     | farol de neblina  
 52 | very humid           | 非常潮湿            | fēi cháng cháo shī | muy húmedo         | muito úmido       
 53 | humid weather        | 潮湿的天气           | cháo shī de tiān q | clima húmedo       | clima úmido       
 54 | freezing cold        | 寒冷              | hán lěng           | frío helado        | frio congelante   
 55 | freezing rain        | 冻雨              | dòng yǔ            | lluvia helada      | chuva gelada      
 56 | mild weather         | 温和的天气           | wēn hé de tiān qì  | clima templado     | clima ameno       
 57 | mild temperature     | 温和的温度           | wēn hé de wēn dù   | temperatura suave  | temperatura amena 
 58 | weather forecast     | 天气预报            | tiān qì yù bào     | pronóstico del tie | previsão do tempo 
 59 | forecast says        | 预测说             | yù cè shuō         | el pronóstico dice | previsão diz      
 60 | light drizzle        | 小雨              | xiǎo yǔ            | llovizna ligera    | garoa leve        
 61 | drizzle outside      | 外面下毛毛雨          | wài miàn xià máo m | llovizna afuera    | garoa lá fora     
