PACK 36: Prepositions of Place
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | in                   | 在               | zài                | en                 | em                
  3 | on                   | 于               | yú                 | en                 | em                
  4 | at                   | 在               | zài                | en                 | em                
  5 | to                   | 到               | dào                | a                  | para              
  6 | from                 | 来自              | lái zì             | de                 | de                
  7 | by                   | 通过              | tōng guò           | por                | por               
  8 | up                   | 上               | shàng              | arriba             | para cima         
  9 | down                 | 下               | xià                | abajo              | para baixo        
 10 | over                 | 超过              | chāo guò           | terminado          | acabou            
 11 | under                | 下面              | xià miàn           | debajo             | embaixo           
 12 | between              | 之间              | zhī jiān           | entre              | entre             
 13 | behind               | 后面              | hòu miàn           | detrás             | atrás             
 14 | front                | 前面              | qián miàn          | frente             | frente            
 15 | near                 | 附近              | fù jìn             | cerca              | perto             
 16 | far                  | 远               | yuǎn               | lejos              | longe             
 17 | above                | 上面              | shàng miàn         | arriba             | acima             
 18 | below                | 下面              | xià miàn           | abajo              | abaixo            
 19 | inside               | 里面              | lǐ miàn            | dentro             | dentro            
 20 | outside              | 外面              | wài miàn           | afuera             | fora              
 21 | alongside            | 旁边              | páng biān          | junto              | ao lado           
 22 | in here              | 在这里             | zài zhè lǐ         | aquí               | aqui              
 23 | in there             | 在那里             | zài nà lǐ          | ahí dentro         | aí                
 24 | on top               | 在上面             | zài shàng miàn     | encima             | em cima           
 25 | on time              | 准时              | zhǔn shí           | a tiempo           | na hora certa     
 26 | at home              | 在家              | zài jiā            | en casa            | em casa           
 27 | at work              | 工作中             | gōng zuò zhōng     | en el trabajo      | no trabalho       
 28 | go to                | 前往              | qián wǎng          | ir a               | vá para           
 29 | to me                | 对我              | duì wǒ             | a mi               | para mim          
 30 | from here            | 从这里             | cóng zhè lǐ        | desde aquí         | daqui             
 31 | from there           | 从那里             | cóng nà lǐ         | desde allí         | daí               
 32 | by me                | 由我              | yóu wǒ             | por mi             | por mim           
 33 | stand by             | 坚守              | jiān shǒu          | espera             | aguardem          
 34 | up here              | 在这里             | zài zhè lǐ         | aquí arriba        | aqui em cima      
 35 | up there             | 上面              | shàng miàn         | allá arriba        | lá em cima        
 36 | down here            | 在这里             | zài zhè lǐ         | aquí abajo         | aqui embaixo      
 37 | down below           | 下面              | xià miàn           | abajo              | abaixo            
 38 | over there           | 那边              | nà biān            | por allá           | ali               
 39 | over here            | 在这里             | zài zhè lǐ         | por aquí           | aqui              
 40 | under the table      | 桌子底下            | zhuō zi dǐ xià     | debajo de la mesa  | embaixo da mesa   
 41 | under control        | 受控              | shòu kòng          | bajo control       | sob controle      
 42 | between us           | 我们之间            | wǒ men zhī jiān    | entre nosotros     | entre nós         
 43 | between you and me   | 你我之间            | nǐ wǒ zhī jiān     | entre tu y yo      | entre você e eu   
 44 | behind me            | 在我身后            | zài wǒ shēn hòu    | detrás de mí       | atrás de mim      
 45 | behind you           | 在你身后            | zài nǐ shēn hòu    | detrás de ti       | atrás de você     
 46 | in front             | 在前面             | zài qián miàn      | al frente          | na frente         
 47 | front row            | 前排              | qián pái           | primera fila       | primeira fila     
 48 | near me              | 我附近             | wǒ fù jìn          | cerca de mí        | perto de mim      
 49 | near here            | 在这附近            | zài zhè fù jìn     | cerca de aquí      | perto daqui       
 50 | too far              | 太远了             | tài yuǎn le        | demasiado lejos    | longe demais      
 51 | not far              | 不远              | bù yuǎn            | no muy lejos       | não muito longe   
 52 | above all            | 最重要的是           | zuì zhòng yào de s | sobre todo         | acima de tudo     
 53 | above ground         | 地上              | dì shàng           | sobre el suelo     | acima do solo     
 54 | below average        | 低于平均水平          | dī yú píng jūn shu | por debajo del pro | abaixo da média   
 55 | below zero           | 低于零             | dī yú líng         | bajo cero          | abaixo de zero    
 56 | inside out           | 由内而外            | yóu nèi ér wài     | de adentro hacia a | de dentro para for
 57 | go inside            | 进去              | jìn qù             | entra              | entre             
 58 | go outside           | 出去              | chū qù             | sal afuera         | sair              
 59 | outside the box      | 框外              | kuāng wài          | fuera de la caja   | fora da caixa     
 60 | alongside me         | 在我身边            | zài wǒ shēn biān   | junto a mí         | ao meu lado       
 61 | alongside each other | 并肩而行            | bìng jiān ér xíng  | uno al lado del ot | lado a lado       
