PACK 37: Prepositions of Time & Other
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | during               | 期间              | qī jiān            | durante            | durante           
  3 | for                  | 对于              | duì yú             | para               | para              
  4 | about                | 关于              | guān yú            | acerca de          | sobre             
  5 | with                 | 与               | yǔ                 | con                | com               
  6 | through              | 通过              | tōng guò           | a través           | através de        
  7 | around               | 周围              | zhōu wéi           | alrededor          | por aí            
  8 | into                 | 进入              | jìn rù             | en                 | em                
  9 | against              | 反对              | fǎn duì            | en contra          | contra            
 10 | among                | 其中              | qí zhōng           | entre              | entre             
 11 | within               | 在内              | zài nèi            | dentro             | dentro            
 12 | beyond               | 内超越             | nèi chāo yuè       | más allá           | além              
 13 | throughout           | 贯穿              | guàn chuān         | en todas partes    | em todo           
 14 | beside               | 旁边              | páng biān          | al lado            | ao lado           
 15 | beneath              | 下面              | xià miàn           | debajo             | abaixo            
 16 | onto                 | 到               | dào                | en                 | em                
 17 | via                  | 通过              | tōng guò           | vía                | através de        
 18 | amid                 | 之中              | zhī zhōng          | en medio           | entre             
 19 | per                  | 每               | měi                | por                | por               
 20 | regarding            | 关于              | guān yú            | respecto           | sobre             
 21 | concerning           | 关于              | guān yú            | relativa a         | relativo          
 22 | during the day       | 白天              | bái tiān           | durante el día     | durante o dia     
 23 | during class         | 上课时             | shàng kè shí       | durante la clase   | durante a aula    
 24 | for now              | 现在              | xiàn zài           | por ahora          | por enquanto      
 25 | for real             | 真正的             | zhēn zhèng de      | de verdad          | de verdade        
 26 | about time           | 关于时间            | guān yú shí jiān   | ya era hora        | já era hora       
 27 | think about          | 想想              | xiǎng xiǎng        | pensar en          | pense em          
 28 | with me              | 和我一起            | hé wǒ yì qǐ        | conmigo            | comigo            
 29 | with you             | 和你一起            | hé nǐ yì qǐ        | contigo            | com você          
 30 | through here         | 通过这里            | tōng guò zhè lǐ    | por aquí           | por aqui          
 31 | pass through         | 穿过              | chuān guò          | pasar              | passar            
 32 | around here          | 在这附近            | zài zhè fù jìn     | por aquí           | por aqui          
 33 | around town          | 城镇周围            | chéng zhèn zhōu wé | por la ciudad      | pela cidade       
 34 | into it              | 进入其中            | jìn rù qí zhōng    | en él              | nisso             
 35 | get into             | 进入              | jìn rù             | entrar             | entrar            
 36 | against it           | 反对它             | fǎn duì tā         | en contra          | contra isso       
 37 | fight against        | 对抗              | duì kàng           | luchar contra      | lutar contra      
 38 | among friends        | 朋友之间            | péng yǒu zhī jiān  | entre amigos       | entre amigos      
 39 | among us             | 我们之中            | wǒ men zhī zhōng   | entre nosotros     | entre nós         
 40 | within reach         | 触手可及            | chù shǒu kě jí     | al alcance         | ao seu alcance    
 41 | within limits        | 在限度内            | zài xiàn dù nèi    | dentro de límites  | dentro dos limites
 42 | beyond belief        | 难以置信            | nán yǐ zhì xìn     | más allá de lo cre | além da crença    
 43 | go beyond            | 超越              | chāo yuè           | ir más allá        | ir além           
 44 | throughout the day   | 全天              | quán tiān          | durante todo el dí | ao longo do dia   
 45 | throughout history   | 纵观历史            | zòng guān lì shǐ   | a lo largo de la h | ao longo da histór
 46 | beside me            | 在我身边            | zài wǒ shēn biān   | a mi lado          | ao meu lado       
 47 | right beside         | 就在              | jiù zài            | justo al lado      | logo ao lado      
 48 | beneath the surface  | 旁边在表面之下         | páng biān zài biǎo | debajo de la super | abaixo da superfíc
 49 | beneath you          | 在你之下            | zài nǐ zhī xià     | debajo de ti       | abaixo de você    
 50 | onto the floor       | 到地板上            | dào dì bǎn shàng   | al suelo           | no chão           
 51 | hold onto            | 坚持              | jiān chí           | aguanta            | segure            
 52 | via email            | 通过电子邮件          | tōng guò diàn zi y | por correo electró | por e-mail        
 53 | via phone            | 通过电话            | tōng guò diàn huà  | por teléfono       | por telefone      
 54 | amid chaos           | 混乱之中            | hùn luàn zhī zhōng | en medio del caos  | em meio ao caos   
 55 | amid concerns        | 忧虑之中            | yōu lǜ zhī zhōng   | en medio de preocu | em meio a preocupa
 56 | per day              | 每天              | měi tiān           | por día            | por dia           
 57 | per person           | 每人              | měi rén            | por persona        | por pessoa        
 58 | regarding this       | 关于此             | guān yú cǐ         | con respecto a est | em relação a isso 
 59 | regarding your reque | 关于您的要求          | guān yú nín de yāo | con respecto a su  | em relação ao seu 
 60 | concerning the issue | 关于这个问题          | guān yú zhè ge wèn | sobre la cuestión  | sobre o assunto   
 61 | concerning this matt | 关于此事            | guān yú cǐ shì     | sobre este asunto  | sobre este assunto
