PACK 43: Places in Town
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | town                 | 镇               | zhèn               | ciudad             | cidade            
  3 | store                | 商店              | shāng diàn         | tienda             | loja              
  4 | shop                 | 店铺              | diàn pù            | tienda             | fazer compras     
  5 | bank                 | 银行              | yín háng           | banco              | banco             
  6 | library              | 图书馆             | tú shū guǎn        | biblioteca         | biblioteca        
  7 | museum               | 博物馆             | bó wù guǎn         | museo              | museu             
  8 | theater              | 剧院              | jù yuàn            | teatro             | teatro            
  9 | stadium              | 体育场             | tǐ yù chǎng        | estadio            | estádio           
 10 | park                 | 公园              | gōng yuán          | parque             | parque            
 11 | mall                 | 商城              | shāng chéng        | centro comercial   | shopping          
 12 | church               | 教堂              | jiào táng          | iglesia            | igreja            
 13 | post office          | 邮局              | yóu jú             | oficina de correos | correios          
 14 | supermarket          | 超市              | chāo shì           | supermercado       | supermercado      
 15 | laundromat           | 自助洗衣店           | zì zhù xǐ yī diàn  | lavandería         | lavanderia        
 16 | bakery               | 面包店             | miàn bāo diàn      | panadería          | padaria           
 17 | salon                | 沙龙              | shā lóng           | salón              | salão             
 18 | plaza                | 广场              | guǎng chǎng        | plaza              | praça             
 19 | warehouse            | 仓库              | cāng kù            | almacén            | armazém           
 20 | kiosk                | 信息亭             | xìn xī tíng        | quiosco            | quiosque          
 21 | arcade               | 街机              | jiē jī             | sala de juegos     | fliperama         
 22 | small town           | 小镇              | xiǎo zhèn          | pequeño pueblo     | cidade pequena    
 23 | town center          | 市中心             | shì zhōng xīn      | centro de la ciuda | centro da cidade  
 24 | grocery store        | 杂货店             | zá huò diàn        | tienda de comestib | mercearia         
 25 | store hours          | 营业时间            | yíng yè shí jiān   | Horario de la tien | horário de funcion
 26 | coffee shop          | 咖啡厅             | kā fēi tīng        | cafetería          | cafeteria         
 27 | shop around          | 货比三家            | huò bǐ sān jiā     | darse una vuelta   | fazer compras     
 28 | at the bank          | 在银行             | zài yín háng       | en el banco        | no banco          
 29 | bank branch          | 银行分行            | yín háng fēn háng  | sucursal bancaria  | agência bancária  
 30 | public library       | 公共图书馆           | gōng gòng tú shū g | biblioteca pública | biblioteca pública
 31 | library card         | 借书卡             | jiè shū kǎ         | tarjeta de bibliot | cartão da bibliote
 32 | art museum           | 艺术博物馆           | yì shù bó wù guǎn  | museo de arte      | museu de arte     
 33 | history museum       | 历史博物馆           | lì shǐ bó wù guǎn  | museo de historia  | museu de história 
 34 | movie theater        | 电影院             | diàn yǐng yuàn     | sala de cine       | cinema            
 35 | theater show         | 戏剧表演            | xì jù biǎo yǎn     | espectáculo de tea | espetáculo de teat
 36 | sports stadium       | 体育场             | tǐ yù chǎng        | estadio deportivo  | estádio esportivo 
 37 | football stadium     | 足球场             | zú qiú chǎng       | estadio de fútbol  | estádio de futebol
 38 | city park            | 城市公园            | chéng shì gōng yuá | parque de la ciuda | parque da cidade  
 39 | park bench           | 公园长椅            | gōng yuán zhǎng yǐ | banco del parque   | banco de parque   
 40 | shopping mall        | 购物中心            | gòu wù zhōng xīn   | centro comercial   | shopping          
 41 | mall entrance        | 商场入口            | shāng chǎng rù kǒu | entrada al centro  | entrada do shoppin
 42 | go to church         | 去教堂             | qù jiào táng       | ir a la iglesia    | ir à igreja       
 43 | church service       | 教堂服务            | jiào táng fú wù    | servicio religioso | culto na igreja   
 44 | at the post office   | 在邮局             | zài yóu jú         | en la oficina de c | nos correios      
 45 | post office box      | 邮政信箱            | yóu zhèng xìn xiān | apartado de correo | apartado postal   
 46 | local supermarket    | 当地超市            | dāng dì chāo shì   | supermercado local | supermercado local
 47 | supermarket sale     | 超市促销            | chāo shì cù xiāo   | venta de supermerc | venda de supermerc
 48 | coin laundromat      | 投币式自助洗衣店        | tóu bì shì zì zhù  | lavandería de mone | lavanderia automát
 49 | laundromat nearby    | 附近有自助洗衣店        | fù jìn yǒu zì zhù  | lavandería cercana | lavanderia próxima
 50 | local bakery         | 当地面包店           | dāng dì miàn bāo d | panadería local    | padaria local     
 51 | bakery fresh         | 面包店新鲜           | miàn bāo diàn xīn  | panadería fresca   | padaria fresca    
 52 | hair salon           | 美发沙龙            | měi fā shā lóng    | peluquería         | cabeleireiro      
 53 | beauty salon         | 美容院             | měi róng yuàn      | salón de belleza   | salão de beleza   
 54 | town plaza           | 城镇广场            | chéng zhèn guǎng c | plaza del pueblo   | praça da cidade   
 55 | shopping plaza       | 购物广场            | gòu wù guǎng chǎng | plaza comercial    | praça comercial   
 56 | storage warehouse    | 仓储仓库            | cāng chǔ cāng kù   | almacén de almacen | armazém de armazen
 57 | warehouse sale       | 仓库出售            | cāng kù chū shòu   | venta de almacén   | venda de armazém  
 58 | news kiosk           | 新闻亭             | xīn wén tíng       | quiosco de noticia | quiosque de notíci
 59 | information kiosk    | 信息亭             | xìn xī tíng        | quiosco de informa | quiosque de inform
 60 | video arcade         | 视频街机            | shì pín jiē jī     | sala de videojuego | fliperama         
 61 | arcade games         | 街机游戏            | jiē jī yóu xì      | juegos arcade      | jogos de arcade   
