PACK 45: Filler Words & Reactions
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | well                 | 好吧              | hǎo ba             | bien               | bem               
  3 | basically            | 基本上             | jī běn shàng       | básicamente        | basicamente       
  4 | honestly             | 老实说             | lǎo shí shuō       | honestamente       | honestamente      
  5 | seriously            | 认真地             | rèn zhēn dì        | en serio           | sério             
  6 | literally            | 从字面上看           | cóng zì miàn shàng | literalmente       | literalmente      
  7 | obviously            | 显然              | xiǎn rán           | obviamente         | obviamente        
  8 | oops                 | 哎呀              | āi yā              | Ups                | opa               
  9 | wow                  | 哇               | wa                 | guau               | uau               
 10 | oh                   | 哦               | ó                  | ah                 | ah                
 11 | uh                   | 呃               | è                  | eh                 | ah                
 12 | um                   | 嗯               | ń                  | em                 | hum               
 13 | hmm                  | 嗯               | ń                  | mmm                | hum               
 14 | huh                  | 嗯               | ń                  | eh                 | hein              
 15 | exactly              | 正是              | zhèng shì          | exactamente        | exatamente        
 16 | definitely           | 绝对              | jué duì            | definitivamente    | definitivamente   
 17 | certainly            | 当然              | dāng rán           | ciertamente        | certamente        
 18 | apparently           | 显然              | xiǎn rán           | aparentemente      | aparentemente     
 19 | generally            | 一般来说            | yì bān lái shuō    | en general         | geralmente        
 20 | frankly              | 坦白说             | tǎn bái shuō       | francamente        | francamente       
 21 | truly                | 确实              | què shí            | verdaderamente     | verdadeiramente   
 22 | well then            | 那么              | nà me              | bueno entonces     | bem, então        
 23 | oh well              | 哦，好吧            | ó， hǎo ba          | oh bueno           | ah, bem           
 24 | basically yes        | 基本上是的           | jī běn shàng shì d | básicamente sí     | basicamente sim   
 25 | basically the same   | 基本一样            | jī běn yī yàng     | básicamente lo mis | basicamente o mesm
 26 | honestly speaking    | 老实说             | lǎo shí shuō       | honestamente habla | honestamente falan
 27 | quite honestly       | 老实说             | lǎo shí shuō       | sinceramente       | honestamente      
 28 | seriously though     | 说真的             | shuō zhēn de       | aunque en serio    | sério, porém      
 29 | take it seriously    | 认真对待            | rèn zhēn duì dài   | tómalo en serio    | leve isso a sério 
 30 | literally everything | 字面上的一切          | zì miàn shàng de y | literalmente todo  | literalmente tudo 
 31 | I literally can't    | 我真的不能           | wǒ zhēn de bù néng | Literalmente no pu | Eu literalmente nã
 32 | obviously yes        | 显然是的            | xiǎn rán shì de    | obviamente si      | obviamente sim    
 33 | quite obviously      | 很明显             | hěn míng xiǎn      | bastante obvio     | obviamente        
 34 | oops sorry           | 哎呀抱歉            | āi yā bào qiàn     | Ups lo siento      | opa, desculpe     
 35 | oops my bad          | 哎呀是我的错          | āi yā shì wǒ de cu | mi culpa           | minha culpa       
 36 | wow really           | 哇真的             | wa zhēn de         | guau, de verdad    | uau, sério        
 37 | wow amazing          | 哇太棒了            | wa tài bàng le     | guau increíble     | uau incrível      
 38 | oh no                | 哦不              | ó bù               | oh no              | ah não            
 39 | oh I see             | 哦，我明白了          | ó， wǒ míng bái le  | oh ya veo          | ah, entendi       
 40 | uh yeah              | 呃是的             | è shì de           | eh, sí             | ah sim            
 41 | uh maybe             | 呃也许             | è yě xǔ            | eh, tal vez        | ah, talvez        
 42 | um well              | 嗯，好吧            | ń， hǎo ba          | bueno              | hum, bem          
 43 | um let me think      | 嗯让我想想           | ń ràng wǒ xiǎng xi | déjame pensar      | hum, deixe-me pens
 44 | hmm interesting      | 嗯有趣             | ń yǒu qù           | Mmmm interesante   | hum interessante  
 45 | hmm maybe            | 嗯，也许            | ń， yě xǔ           | mmm tal vez        | hum talvez        
 46 | huh what             | 呃什么             | è shén me          | eh que             | hein, o que       
 47 | huh really           | 嗯真的吗            | ń zhēn de ma       | eh, de verdad      | hein, sério       
 48 | exactly right        | 完全正确            | wán quán zhèng què | exactamente correc | exatamente certo  
 49 | that's exactly it    | 就是这样            | jiù shì zhè yàng   | eso es exactamente | é exatamente isso 
 50 | definitely yes       | 绝对是的            | jué duì shì de     | Definitivamente sí | definitivamente si
 51 | most definitely      | 绝对是             | jué duì shì        | definitivamente    | com certeza       
 52 | certainly true       | 当然是真的           | dāng rán shì zhēn  | ciertamente cierto | certamente verdade
 53 | almost certainly     | 几乎可以肯定          | jī hū kě yǐ kěn dì | casi con certeza   | quase certamente  
 54 | apparently so        | 显然是这样           | xiǎn rán shì zhè y | aparentemente es a | aparentemente sim 
 55 | apparently not       | 显然不是            | xiǎn rán bú shì    | aparentemente no   | aparentemente não 
 56 | generally speaking   | 一般来说            | yì bān lái shuō    | en términos genera | de um modo geral  
 57 | generally true       | 一般来说是正确的        | yì bān lái shuō sh | generalmente ciert | geralmente verdade
 58 | quite frankly        | 坦白说             | tǎn bái shuō       | francamente        | francamente       
 59 | frankly speaking     | 坦白说             | tǎn bái shuō       | francamente hablan | falando francament
 60 | truly amazing        | 真是太棒了           | zhēn shì tài bàng  | realmente asombros | realmente incrível
 61 | truly sorry          | 真的很抱歉           | zhēn de hěn bào qi | realmente lo sient | realmente sinto mu
