PACK 48: Furniture
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | table                | 表               | biǎo               | mesa               | mesa              
  3 | chair                | 椅子              | yǐ zi              | silla              | cadeira           
  4 | desk                 | 办公桌             | bàn gōng zhuō      | escritorio         | secretária        
  5 | bed                  | 床               | chuáng             | cama               | cama              
  6 | sofa                 | 沙发              | shā fā             | sofá               | sofá              
  7 | couch                | 沙发              | shā fā             | sofá               | sofá              
  8 | lamp                 | 灯               | dēng               | lámpara            | lâmpada           
  9 | shelf                | 架子              | jià zi             | estante            | prateleira        
 10 | drawer               | 抽屉              | chōu tì            | cajón              | gaveta            
 11 | closet               | 衣柜              | yī guì             | armario            | armário           
 12 | carpet               | 地毯              | dì tǎn             | alfombra           | tapete            
 13 | pillow               | 枕头              | zhěn tou           | almohada           | travesseiro       
 14 | blanket              | 毯子              | tǎn zi             | manta              | cobertor          
 15 | clock                | 时钟              | shí zhōng          | reloj              | relógio           
 16 | bookshelf            | 书架              | shū jià            | estantería         | estante           
 17 | cabinet              | 柜子              | guì zi             | gabinete           | gabinete          
 18 | mattress             | 床垫              | chuáng diàn        | colchón            | colchão           
 19 | stool                | 凳子              | dèng zi            | taburete           | banquinho         
 20 | armchair             | 扶手椅             | fú shǒu yǐ         | sillón             | poltrona          
 21 | recliner             | 躺椅              | tǎng yǐ            | sillón reclinable  | poltrona reclináve
 22 | dining table         | 餐桌              | cān zhuō           | mesa de comedor    | mesa de jantar    
 23 | table leg            | 桌腿              | zhuō tuǐ           | pata de la mesa    | perna da mesa     
 24 | office chair         | 办公椅             | bàn gōng yǐ        | silla de oficina   | cadeira de escritó
 25 | chair back           | 椅背              | yǐ bèi             | respaldo de la sil | encosto da cadeira
 26 | work desk            | 办公桌             | bàn gōng zhuō      | escritorio de trab | mesa de trabalho  
 27 | desk lamp            | 台灯              | tái dēng           | lámpara de escrito | luminária de mesa 
 28 | king bed             | 特大号床            | tè dà hào chuáng   | cama king          | cama king         
 29 | bed frame            | 床架              | chuáng jià         | estructura de cama | estrutura de cama 
 30 | leather sofa         | 真皮沙发            | zhēn pí shā fā     | sofá de cuero      | sofá de couro     
 31 | sofa bed             | 沙发床             | shā fā chuáng      | sofá cama          | sofá cama         
 32 | on the couch         | 在沙发上            | zài shā fā shàng   | en el sofá         | no sofá           
 33 | couch potato         | 沙发土豆            | shā fā tǔ dòu      | adicto a la televi | viciado em televis
 34 | table lamp           | 台灯              | tái dēng           | lámpara de mesa    | candeeiro de mesa 
 35 | floor lamp           | 落地灯             | luò dì dēng        | lámpara de pie     | luminária de chão 
 36 | top shelf            | 顶层架子            | dǐng céng jià zi   | estante superior   | prateleira de cima
 37 | book shelf           | 书架              | shū jià            | estantería para li | estante de livros 
 38 | top drawer           | 顶部抽屉            | dǐng bù chōu tì    | cajón superior     | gaveta de cima    
 39 | drawer handle        | 抽屉拉手            | chōu tì lā shǒu    | tirador del cajón  | puxador de gaveta 
 40 | walk-in closet       | 步入式衣柜           | bù rù shì yī guì   | vestidor           | closet            
 41 | closet door          | 衣柜门             | yī guì mén         | puerta del armario | porta do armário  
 42 | red carpet           | 红地毯             | hóng dì tǎn        | alfombra roja      | tapete vermelho   
 43 | carpet floor         | 地毯地板            | dì tǎn dì bǎn      | suelo de moqueta   | piso em carpete   
 44 | soft pillow          | 软枕头             | ruǎn zhěn tou      | almohada suave     | travesseiro macio 
 45 | pillow case          | 枕套              | zhěn tào           | funda de almohada  | fronha            
 46 | warm blanket         | 温暖的毯子           | wēn nuǎn de tǎn zi | manta cálida       | cobertor quentinho
 47 | blanket cover        | 毯子盖             | tǎn zi gài         | funda de manta     | capa de cobertor  
 48 | wall clock           | 挂钟              | guà zhōng          | reloj de pared     | relógio de parede 
 49 | alarm clock          | 闹钟              | nào zhōng          | despertador        | despertador       
 50 | tall bookshelf       | 高书架             | gāo shū jià        | estantería alta    | estante alta      
 51 | bookshelf full       | 书架满了            | shū jià mǎn le     | estantería llena   | estante cheia     
 52 | kitchen cabinet      | 厨柜              | chú guì            | mueble de cocina   | armário de cozinha
 53 | filing cabinet       | 文件柜             | wén jiàn guì       | archivador         | arquivo           
 54 | new mattress         | 新床垫             | xīn chuáng diàn    | colchón nuevo      | colchão novo      
 55 | mattress pad         | 床垫              | chuáng diàn        | protector de colch | protetor de colchã
 56 | bar stool            | 吧台凳             | bā tái dèng        | taburete de bar    | banco alto        
 57 | step stool           | 踏脚凳             | tà jiǎo dèng       | taburete           | escadote          
 58 | leather armchair     | 皮革扶手椅           | pí gé fú shǒu yǐ   | sillón de cuero    | poltrona de couro 
 59 | comfortable armchair | 舒适的扶手椅          | shū shì de fú shǒu | sillón cómodo      | poltrona confortáv
 60 | lazy recliner        | 懒人躺椅            | lǎn rén tǎng yǐ    | sillón reclinable  | poltrona reclináve
 61 | recliner chair       | 躺椅              | tǎng yǐ            | silla reclinable   | cadeira reclinável
