PACK 49: Kitchen Items
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | stove                | 炉灶              | lú zào             | estufa             | fogão             
  3 | oven                 | 烤箱              | kǎo xiāng          | horno              | forno             
  4 | refrigerator         | 冰箱              | bīng xiāng         | refrigerador       | geladeira         
  5 | fridge               | 冰箱              | bīng xiāng         | nevera             | geladeira         
  6 | microwave            | 微波炉             | wēi bō lú          | microondas         | microondas        
  7 | sink                 | 水槽              | shuǐ cáo           | fregadero          | afundar           
  8 | counter              | 柜台              | guì tái            | contador           | contador          
  9 | knife                | 刀               | dāo                | cuchillo           | faca              
 10 | fork                 | 叉子              | chā zi             | tenedor            | garfo             
 11 | spoon                | 勺子              | sháo zi            | cuchara            | colher            
 12 | plate                | 板               | bǎn                | plato              | placa             
 13 | bowl                 | 碗               | wǎn                | cuenco             | tigela            
 14 | cup                  | 杯子              | bēi zi             | taza               | xícara            
 15 | glass                | 玻璃              | bō lí              | vidrio             | vidro             
 16 | pot                  | 锅               | guō                | olla               | pote              
 17 | pan                  | 平移              | píng yí            | sartén             | panela            
 18 | blender              | 搅拌机             | jiǎo bàn jī        | licuadora          | liquidificador    
 19 | toaster              | 烤面包机            | kǎo miàn bāo jī    | tostadora          | torradeira        
 20 | kettle               | 水壶              | shuǐ hú            | tetera             | chaleira          
 21 | whisk                | 搅拌              | jiǎo bàn           | batir              | batedor           
 22 | gas stove            | 燃气灶             | rán qì zào         | estufa de gas      | fogão a gás       
 23 | stove top            | 炉顶              | lú dǐng            | estufa             | fogão             
 24 | bake in oven         | 烤箱烤             | kǎo xiāng kǎo      | hornear en el horn | assar no forno    
 25 | oven door            | 烤箱门             | kǎo xiāng mén      | puerta del horno   | porta do forno    
 26 | in the refrigerator  | 在冰箱里            | zài bīng xiāng lǐ  | en el frigorífico  | na geladeira      
 27 | refrigerator full    | 冰箱满了            | bīng xiāng mǎn le  | frigorífico lleno  | geladeira cheia   
 28 | in the fridge        | 在冰箱里            | zài bīng xiāng lǐ  | en la nevera       | na geladeira      
 29 | fridge magnet        | 冰箱贴             | bīng xiāng tiē     | imán de nevera     | ímã de geladeira  
 30 | microwave oven       | 微波炉             | wēi bō lú          | horno microondas   | forno de micro-ond
 31 | microwave safe       | 微波炉安全           | wēi bō lú ān quán  | apto para microond | seguro para micro-
 32 | kitchen sink         | 厨房水槽            | chú fáng shuǐ cáo  | fregadero de la co | pia de cozinha    
 33 | sink drain           | 水槽排水            | shuǐ cáo pái shuǐ  | drenaje del fregad | ralo da pia       
 34 | kitchen counter      | 厨房柜台            | chú fáng guì tái   | encimera de cocina | balcão de cozinha 
 35 | counter top          | 台面              | tái miàn           | encimera           | bancada           
 36 | sharp knife          | 锋利的刀            | fēng lì de dāo     | cuchillo afilado   | faca afiada       
 37 | kitchen knife        | 菜刀              | cài dāo            | cuchillo de cocina | faca de cozinha   
 38 | dinner fork          | 晚餐叉             | wǎn cān chā        | tenedor para cenar | garfo de jantar   
 39 | fork and knife       | 刀叉              | dāo chā            | tenedor y cuchillo | garfo e faca      
 40 | tea spoon            | 茶勺              | chá sháo           | cuchara de té      | colher de chá     
 41 | soup spoon           | 汤勺              | tāng sháo          | cuchara sopera     | colher de sopa    
 42 | dinner plate         | 餐盘              | cān pán            | plato de cena      | prato de jantar   
 43 | paper plate          | 纸盘              | zhǐ pán            | plato de papel     | prato de papel    
 44 | soup bowl            | 汤碗              | tāng wǎn           | plato de sopa      | tigela de sopa    
 45 | mixing bowl          | 搅拌碗             | jiǎo bàn wǎn       | tazón para mezclar | tigela de mistura 
 46 | coffee cup           | 咖啡杯             | kā fēi bēi         | taza de café       | xícara de café    
 47 | cup of tea           | 一杯茶             | yī bēi chá         | taza de té         | xícara de chá     
 48 | wine glass           | 酒杯              | jiǔ bēi            | copa de vino       | taça de vinho     
 49 | water glass          | 水玻璃             | shuǐ bō lí         | vaso de agua       | copo de água      
 50 | cooking pot          | 煮锅              | zhǔ guō            | olla para cocinar  | panela            
 51 | pot lid              | 锅盖              | guō gài            | tapa de olla       | tampa da panela   
 52 | frying pan           | 煎锅              | jiān guō           | sartén             | frigideira        
 53 | pan fried            | 平底锅煎            | píng dǐ guō jiān   | frito              | frigideira frita  
 54 | kitchen blender      | 厨房搅拌机           | chú fáng jiǎo bàn  | batidora de cocina | liquidificador de 
 55 | blender bottle       | 搅拌瓶             | jiǎo bàn píng      | botella de licuado | garrafa liquidific
 56 | bread toaster        | 面包烤面包机          | miàn bāo kǎo miàn  | tostadora de pan   | torradeira de pão 
 57 | in the toaster       | 在烤面包机里          | zài kǎo miàn bāo j | en la tostadora    | na torradeira     
 58 | tea kettle           | 茶壶              | chá hú             | tetera             | chaleira          
 59 | electric kettle      | 电热水壶            | diàn rè shuǐ hú    | hervidor eléctrico | chaleira elétrica 
 60 | wire whisk           | 钢丝搅拌器           | gāng sī jiǎo bàn q | batidor de alambre | batedor de arame  
 61 | whisk together       | 搅拌在一起           | jiǎo bàn zài yì qǐ | batir juntos       | misture           
