PACK 50: Bathroom Items
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | toilet               | 厕所              | cè suǒ             | baño               | banheiro          
  3 | shower               | 淋浴              | lín yù             | ducha              | chuveiro          
  4 | bathtub              | 浴缸              | yù gāng            | bañera             | banheira          
  5 | soap                 | 肥皂              | féi zào            | jabón              | sabonete          
  6 | shampoo              | 洗发水             | xǐ fà shuǐ         | champú             | xampu             
  7 | towel                | 毛巾              | máo jīn            | toalla             | toalha            
  8 | mirror               | 镜子              | jìng zi            | espejo             | espelho           
  9 | faucet               | 水龙头             | shuǐ lóng tóu      | grifo              | torneira          
 10 | drain                | 排水              | pái shuǐ           | drenaje            | drenar            
 11 | toothbrush           | 牙刷              | yá shuā            | cepillo de dientes | escova de dentes  
 12 | toothpaste           | 牙膏              | yá gāo             | pasta de dientes   | pasta de dente    
 13 | razor                | 剃须刀             | tì xū dāo          | navaja de afeitar  | navalha           
 14 | comb                 | 梳子              | shū zi             | peine              | pente             
 15 | brush                | 刷               | shuā               | cepillo            | escova            
 16 | tile                 | 瓷砖              | cí zhuān           | azulejo            | azulejo           
 17 | mat                  | 垫               | diàn               | estera             | tapete            
 18 | curtain              | 窗帘              | chuāng lián        | cortina            | cortina           
 19 | lotion               | 乳液              | rǔ yè              | loción             | loção             
 20 | plunger              | 柱塞              | zhù sāi            | émbolo             | êmbolo            
 21 | hamper               | 礼篮              | lǐ lán             | cesta              | dificultar        
 22 | flush the toilet     | 冲厕所             | chōng cè suǒ       | tirar la cadena de | dar descarga      
 23 | toilet paper         | 卫生纸             | wèi shēng zhǐ      | papel higiénico    | papel higiênico   
 24 | hot shower           | 热水淋浴            | rè shuǐ lín yù     | ducha caliente     | banho quente      
 25 | shower head          | 淋浴喷头            | lín yù pēn tóu     | cabezal de ducha   | chuveiro          
 26 | in the bathtub       | 在浴缸里            | zài yù gāng lǐ     | en la bañera       | na banheira       
 27 | bathtub drain        | 浴缸排水            | yù gāng pái shuǐ   | desagüe de la bañe | ralo da banheira  
 28 | bar of soap          | 肥皂              | féi zào            | pastilla de jabón  | barra de sabonete 
 29 | hand soap            | 洗手液             | xǐ shǒu yè         | jabón de manos     | sabonete para as m
 30 | use shampoo          | 使用洗发水           | shǐ yòng xǐ fà shu | usar champú        | usar shampoo      
 31 | shampoo bottle       | 洗发水瓶            | xǐ fà shuǐ píng    | botella de champú  | frasco de shampoo 
 32 | bath towel           | 浴巾              | yù jīn             | toalla de baño     | toalha de banho   
 33 | hand towel           | 手巾              | shǒu jīn           | toalla de mano     | toalha de mão     
 34 | bathroom mirror      | 浴室镜子            | yù shì jìng zi     | espejo del baño    | espelho do banheir
 35 | mirror image         | 镜像              | jìng xiàng         | imagen reflejada   | imagem espelhada  
 36 | water faucet         | 水龙头             | shuǐ lóng tóu      | grifo de agua      | torneira de água  
 37 | faucet handle        | 水龙头把手           | shuǐ lóng tóu bǎ s | manija del grifo   | puxador da torneir
 38 | floor drain          | 地漏              | dì lòu             | drenaje de piso    | dreno de piso     
 39 | drain pipe           | 排水管             | pái shuǐ guǎn      | tubería de drenaje | tubo de drenagem  
 40 | electric toothbrush  | 电动牙刷            | diàn dòng yá shuā  | cepillo de dientes | escova de dentes e
 41 | new toothbrush       | 新牙刷             | xīn yá shuā        | cepillo de dientes | escova de dente no
 42 | squeeze toothpaste   | 挤牙膏             | jǐ yá gāo          | exprimir la pasta  | espremer pasta de 
 43 | toothpaste tube      | 牙膏管             | yá gāo guǎn        | tubo de pasta de d | tubo de pasta de d
 44 | safety razor         | 安全剃须刀           | ān quán tì xū dāo  | maquinilla de afei | aparelho de barbea
 45 | razor blade          | 剃须刀刀片           | tì xū dāo dāo piàn | hoja de afeitar    | lâmina de barbear 
 46 | hair comb            | 发梳              | fā shū             | peine para el cabe | pente de cabelo   
 47 | comb through         | 梳理              | shū lǐ             | peinar             | pentear           
 48 | hair brush           | 毛刷              | máo shuā           | cepillo de pelo    | escova de cabelo  
 49 | brush teeth          | 刷牙              | shuā yá            | cepillarse los die | escovar os dentes 
 50 | floor tile           | 地砖              | dì zhuān           | baldosas           | ladrilho          
 51 | tile floor           | 瓷砖地板            | cí zhuān dì bǎn    | suelo de baldosas  | piso de cerâmica  
 52 | bath mat             | 浴室防滑垫           | yù shì fáng huá di | alfombra de baño   | tapete de banho   
 53 | floor mat            | 地垫              | dì diàn            | estera del piso    | tapete            
 54 | shower curtain       | 浴帘              | yù lián            | cortina de ducha   | cortina de chuveir
 55 | curtain rod          | 窗帘杆             | chuāng lián gān    | barra de cortina   | haste de cortina  
 56 | body lotion          | 润肤露             | rùn fū lù          | loción corporal    | loção corporal    
 57 | lotion bottle        | 乳液瓶             | rǔ yè píng         | botella de loción  | frasco de loção   
 58 | toilet plunger       | 马桶柱塞            | mǎ tǒng zhù sāi    | desatascador de in | desentupidor de va
 59 | plunger use          | 柱塞使用            | zhù sāi shǐ yòng   | uso del émbolo     | uso do êmbolo     
 60 | laundry hamper       | 洗衣篮             | xǐ yī lán          | cesto de ropa suci | cesto de roupa suj
 61 | dirty hamper         | 脏篮子             | zàng lán zi        | cesto sucio        | cesto sujo        
