PACK 58: More Animals
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | tiger                | 老虎              | lǎo hǔ             | tigre              | tigre             
  3 | deer                 | 鹿               | lù                 | ciervo             | veado             
  4 | wolf                 | 狼               | láng               | lobo               | lobo              
  5 | fox                  | 狐狸              | hú lí              | zorro              | raposa            
  6 | squirrel             | 松鼠              | sōng shǔ           | ardilla            | esquilo           
  7 | frog                 | 青蛙              | qīng wā            | rana               | sapo              
  8 | turtle               | 乌龟              | wū guī             | tortuga            | tartaruga         
  9 | whale                | 鲸鱼              | jīng yú            | ballena            | baleia            
 10 | dolphin              | 海豚              | hǎi tún            | delfín             | golfinho          
 11 | shark                | 鲨鱼              | shā yú             | tiburón            | tubarão           
 12 | penguin              | 企鹅              | qǐ é               | pingüino           | pinguim           
 13 | eagle                | 鹰               | yīng               | águila             | águia             
 14 | owl                  | 猫头鹰             | māo tóu yīng       | búho               | coruja            
 15 | parrot               | 鹦鹉              | yīng wǔ            | loro               | papagaio          
 16 | spider               | 蜘蛛              | zhī zhū            | araña              | aranha            
 17 | fly                  | 飞               | fēi                | volar              | voar              
 18 | mosquito             | 蚊子              | wén zi             | mosquito           | mosquito          
 19 | worm                 | 蠕虫              | rú chóng           | gusano             | verme             
 20 | octopus              | 章鱼              | zhāng yú           | pulpo              | polvo             
 21 | crab                 | 螃蟹              | páng xiè           | cangrejo           | caranguejo        
 22 | wild tiger           | 野生老虎            | yě shēng lǎo hǔ    | tigre salvaje      | tigre selvagem    
 23 | tiger stripe         | 老虎条纹            | lǎo hǔ tiáo wén    | raya de tigre      | listra de tigre   
 24 | wild deer            | 野鹿              | yě lù              | ciervo salvaje     | veado selvagem    
 25 | deer hunt            | 猎鹿              | liè lù             | caza de ciervos    | caça ao veado     
 26 | gray wolf            | 灰太狼             | huī tài láng       | lobo gris          | lobo cinzento     
 27 | wolf pack            | 狼群              | láng qún           | manada de lobos    | matilha de lobos  
 28 | red fox              | 红狐              | hóng hú            | zorro rojo         | raposa vermelha   
 29 | fox den              | 狐狸巢穴            | hú lí cháo xué     | guarida del zorro  | toca da raposa    
 30 | gray squirrel        | 灰松鼠             | huī sōng shǔ       | ardilla gris       | esquilo cinza     
 31 | squirrel nut         | 松鼠坚果            | sōng shǔ jiān guǒ  | nuez de ardilla    | noz de esquilo    
 32 | green frog           | 绿青蛙             | lǜ qīng wā         | rana verde         | sapo verde        
 33 | frog jump            | 青蛙跳             | qīng wā tiào       | salto de rana      | salto de sapo     
 34 | sea turtle           | 海龟              | hǎi guī            | tortuga marina     | tartaruga marinha 
 35 | turtle shell         | 龟壳              | guī ké             | caparazón de tortu | casco de tartaruga
 36 | blue whale           | 蓝鲸              | lán jīng           | ballena azul       | baleia azul       
 37 | whale watch          | 观鲸              | guān jīng          | avistamiento de ba | observação de bale
 38 | bottlenose dolphin   | 宽吻海豚            | kuān wěn hǎi tún   | delfín mular       | golfinho-nariz-de-
 39 | dolphin show         | 海豚表演            | hǎi tún biǎo yǎn   | espectáculo de del | show de golfinhos 
 40 | great shark          | 伟大的鲨鱼           | wěi dà de shā yú   | gran tiburón       | grande tubarão    
 41 | shark attack         | 鲨鱼袭击            | shā yú xí jī       | ataque de tiburón  | ataque de tubarão 
 42 | emperor penguin      | 帝企鹅             | dì qǐ é            | pingüino emperador | pinguim imperador 
 43 | penguin walk         | 企鹅漫步            | qǐ é màn bù        | paseo de pingüinos | passeio de pinguim
 44 | bald eagle           | 秃鹰              | tū yīng            | águila calva       | águia careca      
 45 | eagle eye            | 鹰眼              | yīng yǎn           | ojo de águila      | olho de águia     
 46 | night owl            | 夜猫子             | yè māo zi          | noctámbulo         | coruja noturna    
 47 | wise owl             | 聪明的猫头鹰          | cōng míng de māo t | búho sabio         | coruja sábia      
 48 | talking parrot       | 会说话的鹦鹉          | huì shuō huà de yī | loro parlante      | papagaio falante  
 49 | parrot cage          | 鹦鹉笼             | yīng wǔ lóng       | jaula para loros   | gaiola de papagaio
 50 | black spider         | 黑蜘蛛             | hēi zhī zhū        | araña negra        | aranha negra      
 51 | spider web           | 蜘蛛网             | zhī zhū wǎng       | telaraña           | teia de aranha    
 52 | house fly            | 家蝇              | jiā yíng           | mosca doméstica    | mosca doméstica   
 53 | fly swatter          | 苍蝇拍             | cāng yíng pāi      | matamoscas         | mata-moscas       
 54 | pesky mosquito       | 讨厌的蚊子           | tǎo yàn de wén zi  | mosquito molesto   | mosquito irritante
 55 | mosquito bite        | 蚊虫叮咬            | wén chóng dīng yǎo | picadura de mosqui | picada de mosquito
 56 | earth worm           | 蚯蚓              | qiū yǐn            | lombriz de tierra  | minhoca           
 57 | worm hole            | 虫洞              | chóng dòng         | agujero de gusano  | buraco de minhoca 
 58 | giant octopus        | 巨型章鱼            | jù xíng zhāng yú   | pulpo gigante      | polvo gigante     
 59 | octopus arm          | 章鱼臂             | zhāng yú bì        | brazo de pulpo     | braço de polvo    
 60 | king crab            | 帝王蟹             | dì wáng xiè        | cangrejo real      | caranguejo-rei    
 61 | crab legs            | 蟹腿              | xiè tuǐ            | patas de cangrejo  | pernas de carangue
