PACK 59: Nature
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | tree                 | 树               | shù                | árbol              | árvore            
  3 | flower               | 花               | huā                | flor               | flor              
  4 | grass                | 草               | cǎo                | hierba             | grama             
  5 | leaf                 | 叶               | yè                 | hoja               | folha             
  6 | forest               | 森林              | sēn lín            | bosque             | floresta          
  7 | mountain             | 山               | shān               | montaña            | montanha          
  8 | river                | 河               | hé                 | río                | rio               
  9 | lake                 | 湖               | hú                 | lago               | lago              
 10 | ocean                | 海洋              | hǎi yáng           | océano             | oceano            
 11 | beach                | 海滩              | hǎi tān            | playa              | praia             
 12 | island               | 岛屿              | dǎo yǔ             | isla               | ilha              
 13 | desert               | 沙漠              | shā mò             | desierto           | deserto           
 14 | valley               | 山谷              | shān gǔ            | valle              | vale              
 15 | rock                 | 摇滚              | yáo gǔn            | roca               | pedra             
 16 | sand                 | 沙子              | shā zi             | arena              | areia             
 17 | sky                  | 天空              | tiān kōng          | cielo              | céu               
 18 | star                 | 明星              | míng xīng          | estrella           | estrela           
 19 | moon                 | 月亮              | yuè liàng          | luna               | lua               
 20 | earth                | 地球              | dì qiú             | tierra             | terra             
 21 | ground               | 地面              | dì miàn            | suelo              | terreno           
 22 | big tree             | 大树              | dà shù             | gran árbol         | grande árvore     
 23 | tree branch          | 树枝              | shù zhī            | rama de árbol      | galho de árvore   
 24 | beautiful flower     | 美丽的花            | měi lì de huā      | hermosa flor       | linda flor        
 25 | flower pot           | 花盆              | huā pén            | maceta             | vaso de flores    
 26 | green grass          | 绿草              | lǜ cǎo             | hierba verde       | grama verde       
 27 | cut the grass        | 割草              | gē cǎo             | cortar el pasto    | cortar a grama    
 28 | fall leaf            | 落叶              | luò yè             | hoja de otoño      | folha caindo      
 29 | leaf pile            | 树叶堆             | shù yè duī         | montón de hojas    | pilha de folhas   
 30 | deep forest          | 森林深处            | sēn lín shēn chù   | bosque profundo    | floresta profunda 
 31 | forest fire          | 森林火灾            | sēn lín huǒ zāi    | incendio forestal  | incêndio florestal
 32 | high mountain        | 高山              | gāo shān           | alta montaña       | montanha alta     
 33 | mountain top         | 山顶              | shān dǐng          | cima de la montaña | topo da montanha  
 34 | long river           | 长河              | cháng hé           | río largo          | rio longo         
 35 | river bank           | 河岸              | hé àn              | orilla del río     | margem do rio     
 36 | big lake             | 大湖              | dà hú              | gran lago          | grande lago       
 37 | lake house           | 湖边小屋            | hú biān xiǎo wū    | casa del lago      | casa do lago      
 38 | deep ocean           | 深海              | shēn hǎi           | océano profundo    | oceano profundo   
 39 | ocean view           | 海景              | hǎi jǐng           | vista al mar       | vista para o mar  
 40 | sandy beach          | 沙滩              | shā tān            | playa de arena     | praia arenosa     
 41 | beach vacation       | 海滩度假            | hǎi tān dù jià     | vacaciones en la p | férias na praia   
 42 | tropical island      | 热带岛屿            | rè dài dǎo yǔ      | isla tropical      | ilha tropical     
 43 | island paradise      | 海岛天堂            | hǎi dǎo tiān táng  | isla paradisíaca   | ilha paradisíaca  
 44 | dry desert           | 干燥的沙漠           | gān zào de shā mò  | desierto seco      | deserto seco      
 45 | desert heat          | 沙漠炎热            | shā mò yán rè      | calor del desierto | calor do deserto  
 46 | green valley         | 绿谷              | lǜ gǔ              | valle verde        | vale verde        
 47 | valley floor         | 谷底              | gǔ dǐ              | fondo del valle    | fundo do vale     
 48 | big rock             | 大石头             | dà shí tou         | gran roca          | pedra grande      
 49 | rock climbing        | 攀岩              | pān yán            | escalada en roca   | escalada          
 50 | white sand           | 白沙              | bái shā            | arena blanca       | areia branca      
 51 | sand castle          | 沙堡              | shā bǎo            | castillo de arena  | castelo de areia  
 52 | blue sky             | 蓝天              | lán tiān           | cielo azul         | céu azul          
 53 | sky high             | 天高云淡            | tiān gāo yún dàn   | cielo alto         | muito alto        
 54 | bright star          | 明亮的星星           | míng liàng de xīng | estrella brillante | estrela brilhante 
 55 | shooting star        | 流星              | liú xīng           | estrella fugaz     | estrela cadente   
 56 | full moon            | 满月              | mǎn yuè            | luna llena         | lua cheia         
 57 | moon light           | 月光              | yuè guāng          | luz de la luna     | luz da lua        
 58 | planet earth         | 地球              | dì qiú             | planeta tierra     | planeta terra     
 59 | earth quake          | 地震              | dì zhèn            | terremoto          | terremoto         
 60 | solid ground         | 坚实的基础           | jiān shí de jī chǔ | tierra firme       | terreno sólido    
 61 | ground floor         | 一楼              | yī lóu             | planta baja        | térreo            
