PACK 63: More Sports
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | golf                 | 高尔夫             | gāo ěr fū          | golf               | golfe             
  3 | volleyball           | 排球              | pái qiú            | voleibol           | voleibol          
  4 | hockey               | 曲棍球             | qū gùn qiú         | hockey             | hóquei            
  5 | boxing               | 拳击              | quán jī            | boxeo              | boxe              
  6 | skiing               | 滑雪              | huá xuě            | esquiar            | esquiar           
  7 | skating              | 滑冰              | huá bīng           | patinando          | patinando         
  8 | cycling              | 骑自行车            | qí zì xíng chē     | ciclismo           | ciclismo          
  9 | yoga                 | 瑜伽              | yú jiā             | yoga               | ioga              
 10 | coach                | 教练              | jiào liàn          | entrenador         | treinador         
 11 | athlete              | 运动员             | yùn dòng yuán      | atleta             | atleta            
 12 | compete              | 竞争              | jìng zhēng         | competir           | competir          
 13 | tournament           | 锦标赛             | jǐn biāo sài       | torneo             | torneio           
 14 | medal                | 奖牌              | jiǎng pái          | medalla            | medalha           
 15 | championship         | 冠军              | guàn jūn           | campeonato         | campeonato        
 16 | pass                 | 通过              | tōng guò           | pasar              | passar            
 17 | dribble              | 运球              | yùn qiú            | regatear           | driblar           
 18 | tackle               | 解决              | jiě jué            | abordar            | enfrentar         
 19 | overtime             | 加班              | jiā bān            | horas extras       | horas extras      
 20 | playoffs             | 季后赛             | jì hòu sài         | playoffs           | playoffs          
 21 | relay                | 继电器             | jì diàn qì         | relevo             | relé              
 22 | play golf            | 打高尔夫球           | dǎ gāo ěr fū qiú   | jugar al golf      | jogar golfe       
 23 | golf course          | 高尔夫球场           | gāo ěr fū qiú chǎn | campo de golf      | campo de golfe    
 24 | beach volleyball     | 沙滩排球            | shā tān pái qiú    | voleibol de playa  | vôlei de praia    
 25 | volleyball net       | 排球网             | pái qiú wǎng       | red de voleibol    | rede de vôlei     
 26 | ice hockey           | 冰球              | bīng qiú           | hockey sobre hielo | hóquei no gelo    
 27 | hockey stick         | 曲棍球棒            | qū gùn qiú bàng    | palo de hockey     | taco de hóquei    
 28 | professional boxing  | 职业拳击            | zhí yè quán jī     | boxeo profesional  | boxe profissional 
 29 | boxing match         | 拳击比赛            | quán jī bǐ sài     | combate de boxeo   | luta de boxe      
 30 | go skiing            | 去滑雪             | qù huá xuě         | ir a esquiar       | ir esquiar        
 31 | skiing resort        | 滑雪胜地            | huá xuě shèng dì   | estación de esquí  | estância de esqui 
 32 | ice skating          | 滑冰              | huá bīng           | patinaje sobre hie | patinação no gelo 
 33 | skating rink         | 溜冰场             | liū bīng chǎng     | pista de patinaje  | pista de patinação
 34 | go cycling           | 骑自行车            | qí zì xíng chē     | ir en bicicleta    | andar de bicicleta
 35 | cycling race         | 自行车比赛           | zì xíng chē bǐ sài | carrera ciclista   | corrida de ciclism
 36 | do yoga              | 做瑜伽             | zuò yú jiā         | hacer yoga         | fazer ioga        
 37 | yoga class           | 瑜伽课             | yú jiā kè          | clase de yoga      | aula de ioga      
 38 | head coach           | 主教练             | zhǔ jiào liàn      | entrenador en jefe | treinador principa
 39 | coach team           | 教练团队            | jiào liàn tuán duì | equipo de entrenad | equipe técnica    
 40 | professional athlete | 职业运动员           | zhí yè yùn dòng yu | atleta profesional | atleta profissiona
 41 | athlete training     | 运动员训练           | yùn dòng yuán xùn  | entrenamiento de a | treinamento de atl
 42 | compete against      | 与               | yǔ                 | competir contra    | competir contra   
 43 | compete for          | 竞争竞争            | jìng zhēng jìng zh | competir por       | competir por      
 44 | big tournament       | 大型锦标赛           | dà xíng jǐn biāo s | gran torneo        | grande torneio    
 45 | tournament game      | 锦标赛游戏           | jǐn biāo sài yóu x | juego de torneo    | jogo de torneio   
 46 | gold medal           | 金牌              | jīn pái            | medalla de oro     | medalha de ouro   
 47 | win a medal          | 赢得奖牌            | yíng dé jiǎng pái  | ganar una medalla  | ganhe uma medalha 
 48 | world championship   | 世界锦标赛           | shì jiè jǐn biāo s | campeonato mundial | campeonato mundial
 49 | championship game    | 冠军赛             | guàn jūn sài       | juego de campeonat | jogo do campeonato
 50 | pass the ball        | 传球              | chuán qiú          | pasar el balón     | passar a bola     
 51 | good pass            | 好传球             | hǎo chuán qiú      | buen pase          | bom passe         
 52 | dribble past         | 运球过去            | yùn qiú guò qù     | regatear           | driblar           
 53 | dribble the ball     | 运球              | yùn qiú            | regatear el balón  | driblar a bola    
 54 | hard tackle          | 硬铲              | yìng chǎn          | entrada dura       | ataque difícil    
 55 | tackle attempt       | 铲球尝试            | chǎn qiú cháng shì | intento de entrada | tentativa de ataqu
 56 | go to overtime       | 去加班             | qù jiā bān         | ir a horas extras  | fazer hora extra  
 57 | overtime win         | 加时赛获胜           | jiā shí sài huò sh | victoria en tiempo | vitória na prorrog
 58 | enter playoffs       | 进入季后赛           | jìn rù jì hòu sài  | entrar en los play | entra nos playoffs
 59 | playoffs game        | 季后赛比赛           | jì hòu sài bǐ sài  | juego de playoffs  | jogo dos playoffs 
 60 | relay race           | 接力赛             | jiē lì sài         | carrera de relevos | corrida de revezam
 61 | relay team           | 接力队             | jiē lì duì         | equipo de relevos  | equipe de revezame
