PACK 64: Entertainment
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | movie                | 电影              | diàn yǐng          | película           | filme             
  3 | film                 | 电影              | diàn yǐng          | película           | filme             
  4 | music                | 音乐              | yīn yuè            | música             | música            
  5 | song                 | 歌曲              | gē qǔ              | canción            | música            
  6 | dance                | 舞蹈              | wǔ dǎo             | bailar             | dança             
  7 | concert              | 演唱会             | yǎn chàng huì      | concierto          | concerto          
  8 | fun                  | 有趣              | yǒu qù             | divertido          | divertido         
  9 | enjoy                | 享受              | xiǎng shòu         | disfruta           | aproveite         
 10 | hobby                | 爱好              | ài hào             | pasatiempo         | passatempo        
 11 | television           | 电视              | diàn shì           | televisión         | televisão         
 12 | video                | 视频              | shì pín            | vídeo              | vídeo             
 13 | performance          | 性能              | xìng néng          | rendimiento        | desempenho        
 14 | stage                | 舞台              | wǔ tái             | etapa              | estágio           
 15 | fan                  | 风扇              | fēng shàn          | ventilador         | fã                
 16 | celebrity            | 名人              | míng rén           | celebridad         | celebridade       
 17 | playlist             | 播放列表            | bō fàng liè biǎo   | lista de reproducc | lista de reproduçã
 18 | binge                | 狂欢              | kuáng huān         | atracones          | farra             
 19 | encore               | 再来一次            | zài lái yī cì      | bis                | bis               
 20 | intermission         | 中场休息            | zhōng chǎng xiū xī | intermedio         | intervalo         
 21 | screening            | 筛选              | shāi xuǎn          | proyección         | triagem           
 22 | watch a movie        | 看电影             | kàn diàn yǐng      | ver una película   | assistir um filme 
 23 | movie star           | 电影明星            | diàn yǐng míng xīn | estrella de cine   | estrela de cinema 
 24 | new film             | 新电影             | xīn diàn yǐng      | nueva película     | novo filme        
 25 | film industry        | 电影业             | diàn yǐng yè       | industria cinemato | indústria cinemato
 26 | listen to music      | 听音乐             | tīng yīn yuè       | escuchar música    | ouvir música      
 27 | music video          | 音乐视频            | yīn yuè shì pín    | vídeo musical      | videoclipe        
 28 | love song            | 情歌              | qíng gē            | canción de amor    | canção de amor    
 29 | new song             | 新歌              | xīn gē             | nueva canción      | nova música       
 30 | dance class          | 舞蹈课             | wǔ dǎo kè          | clase de baile     | aula de dança     
 31 | dance music          | 舞曲              | wǔ qǔ              | música de baile    | música para dançar
 32 | live concert         | 现场演唱会           | xiàn chǎng yǎn chà | concierto en vivo  | concerto ao vivo  
 33 | concert ticket       | 演唱会门票           | yǎn chàng huì mén  | entrada al concier | bilhete de concert
 34 | so much fun          | 太有趣了            | tài yǒu qù le      | muy divertido      | muito divertido   
 35 | fun time             | 欢乐时光            | huān lè shí guāng  | momento de diversi | momento divertido 
 36 | enjoy it             | 享受它             | xiǎng shòu tā      | disfrútalo         | aproveite         
 37 | enjoy yourself       | 玩得开心            | wán dé kāi xīn     | diviértete         | divirta-se        
 38 | new hobby            | 新爱好             | xīn ài hào         | nuevo pasatiempo   | novo hobby        
 39 | hobby store          | 爱好商店            | ài hào shāng diàn  | tienda de pasatiem | loja de hobby     
 40 | watch television     | 看电视             | kàn diàn shì       | ver televisión     | assistir televisão
 41 | television show      | 电视节目            | diàn shì jié mù    | programa de televi | programa de televi
 42 | viral video          | 病毒视频            | bìng dú shì pín    | vídeo viral        | vídeo viral       
 43 | video clip           | 视频剪辑            | shì pín jiǎn jí    | vídeoclip          | videoclipe        
 44 | great performance    | 出色的表现           | chū sè de biǎo xià | gran actuación     | ótimo desempenho  
 45 | live performance     | 现场表演            | xiàn chǎng biǎo yǎ | actuación en vivo  | apresentação ao vi
 46 | center stage         | 舞台中心            | wǔ tái zhōng xīn   | centro del escenar | centro do palco   
 47 | on stage             | 舞台上             | wǔ tái shàng       | en el escenario    | no palco          
 48 | big fan              | 大风扇             | dà fēng shàn       | gran fan           | grande fã         
 49 | fan club             | 粉丝俱乐部           | fěn sī jù lè bù    | club de fans       | fã clube          
 50 | famous celebrity     | 著名名人            | zhù míng míng rén  | celebridad famosa  | celebridade famosa
 51 | celebrity news       | 名人新闻            | míng rén xīn wén   | noticias de celebr | notícias de celebr
 52 | my playlist          | 我的播放列表          | wǒ de bō fàng liè  | mi lista de reprod | minha playlist    
 53 | playlist shuffle     | 播放列表随机播放        | bō fàng liè biǎo s | reproducción aleat | reprodução aleatór
 54 | binge watch          | 狂看              | kuáng kàn          | reloj compulsivo   | assistir compulsiv
 55 | binge eating         | 暴饮暴食            | bào yǐn bào shí    | atracones          | compulsão alimenta
 56 | encore performance   | 安可表演            | ān kě biǎo yǎn     | interpretación rep | encore performance
 57 | sing encore          | 再唱一次            | zài chàng yī cì    | cantar bis         | cante encore      
 58 | short intermission   | 短暂的中场休息         | duǎn zàn de zhōng  | breve intermedio   | intervalo curto   
 59 | during intermission  | 中场休息期间          | zhōng chǎng xiū xī | durante el interme | durante o interval
 60 | early screening      | 早期筛查            | zǎo qī shāi chá    | detección temprana | rastreio precoce  
 61 | film screening       | 电影放映            | diàn yǐng fàng yìn | proyección de pelí | exibição de filme 
