PACK 66: Personality
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | kind                 | 善良              | shàn liáng         | amable             | gentil            
  3 | friendly             | 友好              | yǒu hǎo            | amigable           | amigável          
  4 | shy                  | 害羞              | hài xiū            | tímido             | tímido            
  5 | funny                | 有趣              | yǒu qù             | gracioso           | engraçado         
  6 | serious              | 严重              | yán zhòng          | serio              | sério             
  7 | smart                | 聪明              | cōng míng          | inteligente        | inteligente       
  8 | lazy                 | 懒惰              | lǎn duò            | perezoso           | preguiçoso        
  9 | honest               | 诚实              | chéng shí          | honesto            | honesto           
 10 | patient              | 病人              | bìng rén           | paciente           | paciente          
 11 | generous             | 慷慨              | kāng kǎi           | generoso           | generoso          
 12 | selfish              | 自私              | zì sī              | egoísta            | egoísta           
 13 | brave                | 勇敢              | yǒng gǎn           | valiente           | corajoso          
 14 | careful              | 小心              | xiǎo xīn           | cuidado            | cuidado           
 15 | careless             | 粗心              | cū xīn             | descuidado         | descuidado        
 16 | polite               | 有礼貌             | yǒu lǐ mào         | educado            | educado           
 17 | rude                 | 粗鲁              | cū lǔ              | grosero            | rude              
 18 | quiet                | 安静              | ān jìng            | tranquilo          | quieto            
 19 | loud                 | 大声              | dà shēng           | fuerte             | alto              
 20 | confident            | 自信              | zì xìn             | confiado           | confiante         
 21 | humble               | 谦虚              | qiān xū            | humilde            | humilde           
 22 | very kind            | 非常友善            | fēi cháng yǒu shàn | muy amable         | muito gentil      
 23 | kind person          | 善良的人            | shàn liáng de rén  | persona amable     | pessoa gentil     
 24 | very friendly        | 非常友好            | fēi cháng yǒu hǎo  | muy amigable       | muito amigável    
 25 | friendly smile       | 友善的微笑           | yǒu shàn de wēi xi | sonrisa amistosa   | sorriso amigável  
 26 | too shy              | 太害羞了            | tài hài xiū le     | demasiado tímido   | muito tímido      
 27 | shy away             | 回避              | huí bì             | rehuir             | fuja              
 28 | very funny           | 很有趣             | hěn yǒu qù         | muy divertido      | muito engraçado   
 29 | funny joke           | 有趣的笑话           | yǒu qù de xiào huà | chiste gracioso    | piada engraçada   
 30 | dead serious         | 非常严重            | fēi cháng yán zhòn | muy serio          | muito sério       
 31 | serious matter       | 严重的事情           | yán zhòng de shì q | asunto serio       | assunto sério     
 32 | very smart           | 非常聪明            | fēi cháng cōng mín | muy inteligente    | muito inteligente 
 33 | smart idea           | 聪明的主意           | cōng míng de zhǔ y | idea inteligente   | ideia inteligente 
 34 | too lazy             | 太懒了             | tài lǎn le         | demasiado vago     | muito preguiçoso  
 35 | lazy day             | 慵懒的一天           | yōng lǎn de yī tiā | día de descanso    | dia preguiçoso    
 36 | very honest          | 非常诚实            | fēi cháng chéng sh | muy honesto        | muito honesto     
 37 | honest opinion       | 诚实的意见           | chéng shí de yì ji | opinión honesta    | opinião honesta   
 38 | be patient           | 要有耐心            | yào yǒu nài xīn    | ten paciencia      | seja paciente     
 39 | patient with         | 病人              | bìng rén           | paciente con       | paciente com      
 40 | very generous        | 非常慷慨            | fēi cháng kāng kǎi | muy generoso       | muito generoso    
 41 | generous offer       | 慷慨优惠            | kāng kǎi yōu huì   | oferta generosa    | oferta generosa   
 42 | too selfish          | 太自私             | tài zì sī          | demasiado egoísta  | muito egoísta     
 43 | selfish person       | 自私的人            | zì sī de rén       | persona egoísta    | pessoa egoísta    
 44 | very brave           | 非常勇敢            | fēi cháng yǒng gǎn | muy valiente       | muito corajoso    
 45 | brave enough         | 够勇敢             | gòu yǒng gǎn       | lo suficientemente | corajoso o suficie
 46 | be careful           | 小心点             | xiǎo xīn diǎn      | ten cuidado        | tenha cuidado     
 47 | careful with         | 小心              | xiǎo xīn           | cuidado con        | cuidado com       
 48 | too careless         | 太不小心了           | tài bù xiǎo xīn le | demasiado descuida | muito descuidado  
 49 | careless mistake     | 粗心错误            | cū xīn cuò wù      | error por descuido | erro descuidado   
 50 | very polite          | 很有礼貌            | hěn yǒu lǐ mào     | muy educado        | muito educado     
 51 | polite request       | 礼貌请求            | lǐ mào qǐng qiú    | petición cortés    | pedido educado    
 52 | very rude            | 非常粗鲁            | fēi cháng cū lǔ    | muy grosero        | muito rude        
 53 | rude behavior        | 粗鲁行为            | cū lǔ xíng wéi     | comportamiento gro | comportamento rude
 54 | stay quiet           | 保持安静            | bǎo chí ān jìng    | quédate callado    | fique quieto      
 55 | quiet down           | 安静点             | ān jìng diǎn       | cálmate            | acalme-se         
 56 | too loud             | 太大声             | tài dà shēng       | demasiado fuerte   | muito alto        
 57 | loud noise           | 巨响              | jù xiǎng           | ruido fuerte       | barulho alto      
 58 | feel confident       | 充满自信            | chōng mǎn zì xìn   | sentir confianza   | sinta-se confiante
 59 | confident in         | 有信心             | yǒu xìn xīn        | confiado en        | confiante em      
 60 | stay humble          | 保持谦虚            | bǎo chí qiān xū    | mantente humilde   | continue humilde  
 61 | humble beginnings    | 出身卑微            | chū shēn bēi wēi   | humildes comienzos | começo humilde    
