PACK 71: Technology
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | computer             | 电脑              | diàn nǎo           | computadora        | computador        
  3 | laptop               | 笔记本电脑           | bǐ jì běn diàn nǎo | computadora portát | portátil          
  4 | phone                | 电话              | diàn huà           | teléfono           | telefone          
  5 | internet             | 互联网             | hù lián wǎng       | internet           | internet          
  6 | website              | 网站              | wǎng zhàn          | sitio web          | site              
  7 | email                | 电子邮件            | diàn zi yóu jiàn   | correo electrónico | e-mail            
  8 | download             | 下载              | xià zài            | descargar          | baixar            
  9 | search               | 搜索              | sōu suǒ            | buscar             | pesquisar         
 10 | click                | 点击              | diǎn jī            | haga clic          | clique            
 11 | screen               | 屏幕              | píng mù            | pantalla           | tela              
 12 | keyboard             | 键盘              | jiàn pán           | teclado            | teclado           
 13 | printer              | 打印机             | dǎ yìn jī          | impresora          | impressora        
 14 | battery              | 电池              | diàn chí           | batería            | bateria           
 15 | charger              | 充电器             | chōng diàn qì      | cargador           | carregador        
 16 | wifi                 | 无线网络            | wú xiàn wǎng luò   | wifi               | wi-fi             
 17 | app                  | 应用程序            | yìng yòng chéng xù | aplicación         | aplicativo        
 18 | software             | 软件              | ruǎn jiàn          | software           | software          
 19 | hardware             | 硬件              | yìng jiàn          | hardware           | hardware          
 20 | device               | 设备              | shè bèi            | dispositivo        | dispositivo       
 21 | network              | 网络              | wǎng luò           | red                | rede              
 22 | desktop computer     | 台式电脑            | tái shì diàn nǎo   | computadora de esc | computador desktop
 23 | computer program     | 计算机程序           | jì suàn jī chéng x | programa informáti | programa de comput
 24 | new laptop           | 新笔记本电脑          | xīn bǐ jì běn diàn | nueva computadora  | novo portátil     
 25 | laptop bag           | 笔记本电脑包          | bǐ jì běn diàn nǎo | bolsa para portáti | bolsa para laptop 
 26 | cell phone           | 手机              | shǒu jī            | teléfono celular   | celular           
 27 | phone charger        | 手机充电器           | shǒu jī chōng diàn | cargador de teléfo | carregador de tele
 28 | fast internet        | 快速的互联网          | kuài sù de hù lián | Internet rápido    | internet rápida   
 29 | internet access      | 互联网接入           | hù lián wǎng jiē r | acceso a internet  | acesso à internet 
 30 | visit website        | 访问网站            | fǎng wèn wǎng zhàn | visitar sitio web  | visite o site     
 31 | website design       | 网站设计            | wǎng zhàn shè jì   | diseño de sitios w | design do site    
 32 | send email           | 发送电子邮件          | fā sòng diàn zi yó | enviar correo elec | enviar e-mail     
 33 | email address        | 电子邮件地址          | diàn zi yóu jiàn d | dirección de corre | endereço de e-mail
 34 | download file        | 下载文件            | xià zài wén jiàn   | descargar archivo  | baixar arquivo    
 35 | free download        | 免费下载            | miǎn fèi xià zài   | descarga gratuita  | baixar grátis     
 36 | search online        | 网上搜索            | wǎng shàng sōu suǒ | buscar en línea    | pesquisar on-line 
 37 | search results       | 搜索结果            | sōu suǒ jié guǒ    | resultados de búsq | resultados da pesq
 38 | click here           | 点击这里            | diǎn jī zhè lǐ     | haga clic aquí     | clique aqui       
 39 | double click         | 双击              | shuāng jī          | doble clic         | clique duas vezes 
 40 | touch screen         | 触摸屏             | chù mō píng        | pantalla táctil    | tela sensível ao t
 41 | screen saver         | 屏幕保护            | píng mù bǎo hù     | protector de panta | protetor de tela  
 42 | wireless keyboard    | 无线键盘            | wú xiàn jiàn pán   | teclado inalámbric | teclado sem fio   
 43 | keyboard shortcut    | 键盘快捷键           | jiàn pán kuài jié  | método abreviado d | atalho de teclado 
 44 | color printer        | 彩色打印机           | cǎi sè dǎ yìn jī   | impresora a color  | impressora colorid
 45 | printer ink          | 打印机墨水           | dǎ yìn jī mò shuǐ  | tinta de impresora | tinta para impress
 46 | low battery          | 电池电量低           | diàn chí diàn liàn | batería baja       | bateria fraca     
 47 | battery charge       | 电池充电            | diàn chí chōng dià | carga de la baterí | carga da bateria  
 48 | laptop charger       | 笔记本电脑充电器        | bǐ jì běn diàn nǎo | cargador de portát | carregador de lapt
 49 | fast charger         | 快速充电器           | kuài sù chōng diàn | cargador rápido    | carregador rápido 
 50 | free wifi            | 免费无线网络          | miǎn fèi wú xiàn w | wifi gratis        | wi-fi grátis      
 51 | wifi password        | 无线网络密码          | wú xiàn wǎng luò m | contraseña wifi    | senha do wi-fi    
 52 | mobile app           | 移动应用程序          | yí dòng yìng yòng  | aplicación móvil   | aplicativo móvel  
 53 | app download         | 应用程序下载          | yìng yòng chéng xù | descarga de la apl | download do aplica
 54 | update software      | 更新软件            | gēng xīn ruǎn jiàn | actualizar softwar | atualizar software
 55 | software bug         | 软件错误            | ruǎn jiàn cuò wù   | error de software  | bug de software   
 56 | computer hardware    | 计算机硬件           | jì suàn jī yìng ji | hardware informáti | hardware de comput
 57 | hardware store       | 五金店             | wǔ jīn diàn        | ferretería         | loja de ferragens 
 58 | electronic device    | 电子设备            | diàn zi shè bèi    | dispositivo electr | dispositivo eletrô
 59 | device settings      | 设备设置            | shè bèi shè zhì    | configuración del  | configurações do d
 60 | computer network     | 计算机网络           | jì suàn jī wǎng lu | red informática    | rede de computador
 61 | network connection   | 网络连接            | wǎng luò lián jiē  | conexión de red    | conexão de rede   
