PACK 75: Mental Verbs
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | remember             | 记住              | jì zhù             | recuerda           | lembre-se         
  3 | realize              | 意识到             | yì shí dào         | darse cuenta       | perceber          
  4 | recognize            | 认识              | rèn shí            | reconocer          | reconhecer        
  5 | imagine              | 想象              | xiǎng xiàng        | imagina            | imagina           
  6 | guess                | 猜猜              | cāi cāi            | adivinar           | adivinhe          
  7 | expect               | 期待              | qī dài             | esperar            | esperar           
  8 | hope                 | 希望              | xī wàng            | esperanza          | esperança         
  9 | wish                 | 愿望              | yuàn wàng          | deseo              | desejo            
 10 | doubt                | 怀疑              | huái yí            | duda               | dúvida            
 11 | decide               | 决定              | jué dìng           | decidir            | decidir           
 12 | prefer               | 更喜欢             | gèng xǐ huān       | preferir           | prefiro           
 13 | recall               | 回忆              | huí yì             | recordar           | lembrar           
 14 | ponder               | 思考              | sī kǎo             | reflexionar        | ponderar          
 15 | reflect              | 反映              | fǎn yìng           | reflexionar        | refletir          
 16 | contemplate          | 思考              | sī kǎo             | contemplar         | contemplar        
 17 | speculate            | 推测              | tuī cè             | especular          | especular         
 18 | predict              | 预测              | yù cè              | predecir           | prever            
 19 | anticipate           | 预计              | yù jì              | anticipar          | antecipar         
 20 | perceive             | 感知              | gǎn zhī            | percibir           | perceber          
 21 | envision             | 设想              | shè xiǎng          | imaginar           | imaginar          
 22 | I remember           | 我记得             | wǒ jì de           | Lo recuerdo        | Eu lembro         
 23 | remember when        | 还记得什么时候         | hái jì de shén me  | recuerda cuando    | lembra quando     
 24 | I realize            | 我意识到            | wǒ yì shí dào      | Me doy cuenta      | Eu percebo        
 25 | realize that         | 意识到             | yì shí dào         | date cuenta de que | perceba isso      
 26 | I recognize          | 我认得             | wǒ rèn de          | Lo reconozco       | Eu reconheço      
 27 | recognize you        | 认出你了            | rèn chū nǐ le      | reconocerte        | te reconheço      
 28 | I imagine            | 我想象             | wǒ xiǎng xiàng     | Me imagino         | Eu imagino        
 29 | imagine that         | 想象一下            | xiǎng xiàng yī xià | imagina eso        | imagina isso      
 30 | I guess              | 我猜              | wǒ cāi             | Supongo            | Eu acho           
 31 | guess what           | 你猜怎么着           | nǐ cāi zěn me zhe  | adivina qué        | adivinhe          
 32 | I expect             | 我期待             | wǒ qī dài          | Espero             | Eu espero         
 33 | expect to            | 期待              | qī dài             | esperar            | espere            
 34 | I hope               | 我希望             | wǒ xī wàng         | Espero             | Espero            
 35 | hope for             | 希望              | xī wàng            | esperanza de       | espero por        
 36 | I wish               | 我希望             | wǒ xī wàng         | Deseo              | Eu desejo         
 37 | wish for             | 愿望              | yuàn wàng          | deseo de           | desejo            
 38 | I doubt              | 我怀疑             | wǒ huái yí         | Dudo               | Duvido            
 39 | doubt that           | 怀疑              | huái yí            | dudo que           | duvido disso      
 40 | I decide             | 我决定             | wǒ jué dìng        | Yo decido          | Eu decido         
 41 | decide to            | 决定              | jué dìng           | decidir            | decidir           
 42 | I prefer             | 我更喜欢            | wǒ gèng xǐ huān    | prefiero           | Eu prefiro        
 43 | prefer to            | 更喜欢             | gèng xǐ huān       | prefiero           | prefiro           
 44 | I recall             | 我记得             | wǒ jì de           | Lo recuerdo        | Eu me lembro      
 45 | recall when          | 回想一下            | huí xiǎng yī xià   | recordar cuando    | lembre-se de quand
 46 | ponder on            | 思考              | sī kǎo             | reflexionar sobre  | pondere           
 47 | ponder over          | 深思              | shēn sī            | reflexionar        | ponderar sobre    
 48 | reflect on           | 反思              | fǎn sī             | reflexionar sobre  | refletir sobre    
 49 | reflect upon         | 反思              | fǎn sī             | reflexionar sobre  | refletir sobre    
 50 | contemplate on       | 思考              | sī kǎo             | contemplar en      | pense em          
 51 | contemplate life     | 思考人生            | sī kǎo rén shēng   | contemplar la vida | contemplar a vida 
 52 | speculate about      | 推测              | tuī cè             | especular sobre    | especular sobre   
 53 | speculate on         | 推测              | tuī cè             | especular sobre    | especular sobre   
 54 | predict that         | 预测              | yù cè              | predecir que       | prever isso       
 55 | predict the future   | 预测未来            | yù cè wèi lái      | predecir el futuro | prever o futuro   
 56 | anticipate this      | 预计这个            | yù jì zhè ge       | anticipa esto      | antecipar isso    
 57 | anticipate the       | 预见              | yù jiàn            | anticipar el       | antecipar o       
 58 | perceive as          | 视为              | shì wèi            | percibir como      | perceber como     
 59 | perceive differently | 感知不同            | gǎn zhī bù tóng    | percibir de manera | perceber de forma 
 60 | envision it          | 想象一下            | xiǎng xiàng yī xià | imagínalo          | imagine isso      
 61 | envision the future  | 展望未来            | zhǎn wàng wèi lái  | imaginar el futuro | imaginar o futuro 
