PACK 76: Adverbs of Manner
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | quickly              | 快点              | kuài diǎn          | rápidamente        | rapidamente       
  3 | slowly               | 慢慢地             | màn màn dì         | lentamente         | lentamente        
  4 | carefully            | 仔细              | zǐ xì              | cuidadosamente     | com cuidado       
  5 | easily               | 轻松              | qīng sōng          | fácilmente         | facilmente        
  6 | loudly               | 大声              | dà shēng           | en voz alta        | alto              
  7 | quietly              | 静静地             | jìng jìng dì       | en silencio        | silenciosamente   
  8 | softly               | 轻轻地             | qīng qīng dì       | suavemente         | suavemente        
  9 | gently               | 轻轻地             | qīng qīng dì       | suavemente         | gentilmente       
 10 | badly                | 糟糕              | zāo gāo            | mal                | mal               
 11 | clearly              | 显然              | xiǎn rán           | claramente         | claramente        
 12 | simply               | 只是              | zhǐ shì            | simplemente        | simplesmente      
 13 | directly             | 直接              | zhí jiē            | directamente       | diretamente       
 14 | properly             | 正确地             | zhèng què dì       | correctamente      | corretamente      
 15 | perfectly            | 完美              | wán měi            | perfectamente      | perfeitamente     
 16 | correctly            | 正确              | zhèng què          | correctamente      | corretamente      
 17 | completely           | 完全              | wán quán           | completamente      | completamente     
 18 | suddenly             | 突然              | tū rán             | de repente         | de repente        
 19 | smoothly             | 顺利              | shùn lì            | suavemente         | suavemente        
 20 | gracefully           | 优雅地             | yōu yǎ dì          | con gracia         | graciosamente     
 21 | awkwardly            | 尴尬              | gān gà             | torpemente         | desajeitadamente  
 22 | do it quickly        | 快点做             | kuài diǎn zuò      | hazlo rápido       | faça isso rápido  
 23 | quickly finish       | 快点完成            | kuài diǎn wán chén | terminar rápidamen | terminar rapidamen
 24 | move slowly          | 慢慢移动            | màn màn yí dòng    | muévete lentamente | mova-se devagar   
 25 | slowly but surely    | 缓慢但坚定           | huǎn màn dàn jiān  | lento pero seguro  | lenta mas segurame
 26 | drive carefully      | 小心驾驶            | xiǎo xīn jià shǐ   | conduce con cuidad | dirija com cuidado
 27 | handle carefully     | 小心处理            | xiǎo xīn chǔ lǐ    | manipular con cuid | manuseie com cuida
 28 | done easily          | 轻松完成            | qīng sōng wán chén | hecho fácilmente   | feito facilmente  
 29 | easily done          | 轻松完成            | qīng sōng wán chén | fácil de hacer     | feito facilmente  
 30 | speak loudly         | 大声说话            | dà shēng shuō huà  | hablar en voz alta | fale alto         
 31 | too loudly           | 太大声             | tài dà shēng       | demasiado alto     | muito alto        
 32 | speak quietly        | 小声说话            | xiǎo shēng shuō hu | habla en voz baja  | fale baixo        
 33 | quietly leave        | 悄悄离开            | qiāo qiāo lí kāi   | vete tranquilament | sair silenciosamen
 34 | speak softly         | 轻声说话            | qīng shēng shuō hu | habla en voz baja  | fale baixo        
 35 | softly spoken        | 轻声细语            | qīng shēng xì yǔ   | hablado en voz baj | falado suavemente 
 36 | handle gently        | 轻拿轻放            | qīng ná qīng fàng  | manejar suavemente | manuseie com cuida
 37 | gently touch         | 轻轻触碰            | qīng qīng chù pèng | tocar suavemente   | toque suavemente  
 38 | badly hurt           | 受了重伤            | shòu le zhòng shān | gravemente herido  | gravemente ferido 
 39 | badly done           | 做得不好            | zuò dé bù hǎo      | mal hecho          | mal feito         
 40 | clearly understand   | 清楚地了解           | qīng chǔ dì liǎo j | entender clarament | entendo claramente
 41 | speak clearly        | 说清楚             | shuō qīng chǔ      | habla claro        | fale claramente   
 42 | simply put           | 简单地说            | jiǎn dān dì shuō   | en pocas palabras  | simplesmente coloq
 43 | simply amazing       | 简直太棒了           | jiǎn zhí tài bàng  | simplemente increí | simplesmente incrí
 44 | go directly          | 直接去             | zhí jiē qù         | ir directamente    | vá diretamente    
 45 | directly related     | 直接相关            | zhí jiē xiāng guān | directamente relac | diretamente relaci
 46 | done properly        | 做得好             | zuò dé hǎo         | hecho correctament | feito corretamente
 47 | properly trained     | 受过适当训练          | shòu guò shì dàng  | debidamente capaci | devidamente treina
 48 | fits perfectly       | 完美契合            | wán měi qì hé      | encaja perfectamen | cabe perfeitamente
 49 | perfectly fine       | 非常好             | fēi cháng hǎo      | perfectamente bien | perfeitamente bem 
 50 | done correctly       | 正确完成            | zhèng què wán chén | hecho correctament | feito corretamente
 51 | answer correctly     | 回答正确            | huí dá zhèng què   | responde correctam | responda corretame
 52 | completely done      | 完全完成            | wán quán wán chéng | completamente hech | completamente feit
 53 | completely agree     | 完全同意            | wán quán tóng yì   | completamente de a | concordo plenament
 54 | suddenly stop        | 突然停止            | tū rán tíng zhǐ    | detenerse repentin | parar de repente  
 55 | suddenly appear      | 突然出现            | tū rán chū xiàn    | aparecer de repent | aparecer de repent
 56 | run smoothly         | 运行顺利            | yùn xíng shùn lì   | funcionar sin prob | funcionar sem prob
 57 | smoothly transition  | 顺利过渡            | shùn lì guò dù     | transición sin pro | transição suave   
 58 | move gracefully      | 优雅地移动           | yōu yǎ dì yí dòng  | muévete con gracia | mova-se graciosame
 59 | gracefully accept    | 优雅地接受           | yōu yǎ dì jiē shòu | aceptar con gracia | aceite graciosamen
 60 | feel awkwardly       | 感觉别扭            | gǎn jué biè niǔ    | sentirse incómodo  | me sinto estranho 
 61 | awkwardly placed     | 尴尬地放置           | gān gà dì fàng zhì | mal colocado       | colocado de maneir
