PACK 77: Adverbs of Degree
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | very                 | 非常              | fēi cháng          | muy                | muito             
  3 | quite                | 相当              | xiāng dāng         | bastante           | bastante          
  4 | fairly               | 相当              | xiāng dāng         | bastante           | bastante          
  5 | rather               | 而是              | ér shì             | más bien           | sim               
  6 | too                  | 也是              | yě shì             | también            | também            
  7 | enough               | 够了              | gòu le             | suficiente         | chega             
  8 | extremely            | 极其              | jí qí              | extremadamente     | extremamente      
  9 | absolutely           | 绝对              | jué duì            | absolutamente      | absolutamente     
 10 | totally              | 完全              | wán quán           | totalmente         | totalmente        
 11 | highly               | 高度              | gāo dù             | altamente          | altamente         
 12 | slightly             | 稍微              | shāo wēi           | ligeramente        | ligeiramente      
 13 | somewhat             | 有点              | yǒu diǎn           | algo               | um pouco          
 14 | almost               | 几乎              | jī hū              | casi               | quase             
 15 | nearly               | 几乎              | jī hū              | casi               | quase             
 16 | especially           | 尤其是             | yóu qí shì         | especialmente      | especialmente     
 17 | incredibly           | 难以置信            | nán yǐ zhì xìn     | increíblemente     | incrivelmente     
 18 | surprisingly         | 令人惊讶            | lìng rén jīng yà   | sorprendentemente  | surpreendentemente
 19 | relatively           | 相对              | xiāng duì          | relativamente      | relativamente     
 20 | moderately           | 适度              | shì dù             | moderadamente      | moderadamente     
 21 | remarkably           | 值得注意的是          | zhí de zhù yì de s | notablemente       | notavelmente      
 22 | very well            | 很好              | hěn hǎo            | muy bien           | muito bem         
 23 | very much            | 非常              | fēi cháng          | mucho              | muito             
 24 | quite good           | 相当不错            | xiāng dāng bù cuò  | bastante bueno     | muito bom         
 25 | quite a lot          | 相当多             | xiāng dāng duō     | bastante           | bastante          
 26 | fairly easy          | 相当容易            | xiāng dāng róng yì | bastante fácil     | bastante fácil    
 27 | fairly common        | 相当常见            | xiāng dāng cháng j | bastante común     | bastante comum    
 28 | rather good          | 相当不错            | xiāng dāng bù cuò  | bastante bueno     | bastante bom      
 29 | rather not           | 而不是             | ér bú shì          | mejor no           | prefiro não       
 30 | too often            | 太频繁了            | tài pín fán le     | con demasiada frec | muitas vezes      
 31 | too many             | 太多              | tài duō            | demasiados         | muitos            
 32 | good enough          | 足够好             | zú gòu hǎo         | suficientemente bu | bom o suficiente  
 33 | enough time          | 时间足够            | shí jiān zú gòu    | tiempo suficiente  | tempo suficiente  
 34 | extremely good       | 非常好             | fēi cháng hǎo      | extremadamente bue | extremamente bom  
 35 | extremely difficult  | 极其困难            | jí qí kùn nán      | extremadamente dif | extremamente difíc
 36 | absolutely right     | 绝对正确            | jué duì zhèng què  | toda la razón      | absolutamente cert
 37 | absolutely not       | 绝对不是            | jué duì bú shì     | absolutamente no   | absolutamente não 
 38 | totally agree        | 完全同意            | wán quán tóng yì   | totalmente de acue | concordo totalment
 39 | totally fine         | 完全没问题           | wán quán méi wèn t | totalmente bien    | totalmente bem    
 40 | highly recommend     | 强烈推荐            | qiáng liè tuī jiàn | muy recomendable   | recomendo         
 41 | highly likely        | 很有可能            | hěn yǒu kě néng    | muy probable       | altamente provável
 42 | slightly different   | 略有不同            | lüè yǒu bù tóng    | ligeramente difere | um pouco diferente
 43 | slightly better      | 稍微好一点           | shāo wēi hǎo yì di | un poco mejor      | um pouco melhor   
 44 | somewhat true        | 有点正确            | yǒu diǎn zhèng què | algo cierto        | um tanto verdadeir
 45 | somewhat different   | 有点不同            | yǒu diǎn bù tóng   | algo diferente     | um pouco diferente
 46 | almost done          | 快完成了            | kuài wán chéng le  | casi terminado     | quase pronto      
 47 | almost there         | 快到了             | kuài dào le        | Ya casi llegamos   | quase lá          
 48 | nearly finished      | 快完成了            | kuài wán chéng le  | casi terminado     | quase finalizado  
 49 | nearly all           | 几乎所有            | jī hū suǒ yǒu      | casi todos         | quase todos       
 50 | especially for       | 特别是对于           | tè bié shì duì yú  | especialmente para | especialmente para
 51 | especially important | 特别重要            | tè bié zhòng yào   | especialmente impo | especialmente impo
 52 | incredibly good      | 非常好             | fēi cháng hǎo      | increíblemente bue | incrivelmente bom 
 53 | incredibly fast      | 快得令人难以置信        | kuài dé lìng rén n | increíblemente ráp | incrivelmente rápi
 54 | surprisingly good    | 出奇的好            | chū qí de hǎo      | sorprendentemente  | surpreendentemente
 55 | surprisingly easy    | 出奇的简单           | chū qí de jiǎn dān | sorprendentemente  | surpreendentemente
 56 | relatively easy      | 相对容易            | xiāng duì róng yì  | relativamente fáci | relativamente fáci
 57 | relatively new       | 相对较新            | xiāng duì jiào xīn | relativamente nuev | relativamente novo
 58 | moderately difficult | 难度适中            | nán dù shì zhōng   | moderadamente difí | moderadamente difí
 59 | moderately priced    | 价格适中            | jià gé shì zhōng   | precio moderado    | preço moderado    
 60 | remarkably well      | 非常好             | fēi cháng hǎo      | notablemente bien  | notavelmente bem  
 61 | remarkably similar   | 非常相似            | fēi cháng xiāng sì | notablemente simil | notavelmente semel
