PACK 79: Connectors
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | however              | 然而              | rán ér             | sin embargo        | entretanto        
  3 | therefore            | 因此              | yīn cǐ             | por lo tanto       | portanto          
  4 | also                 | 还有              | hái yǒu            | también            | também            
  5 | besides              | 除了              | chú le             | además             | além de           
  6 | instead              | 相反              | xiāng fǎn          | en lugar           | em vez disso      
  7 | otherwise            | 否则              | fǒu zé             | de lo contrario    | caso contrário    
  8 | meanwhile            | 同时              | tóng shí           | mientras tanto     | enquanto isso     
  9 | then                 | 然后              | rán hòu            | entonces           | então             
 10 | moreover             | 而且              | ér qiě             | además             | além disso        
 11 | furthermore          | 此外              | cǐ wài             | además             | além disso        
 12 | nevertheless         | 尽管如此            | jǐn guǎn rú cǐ     | sin embargo        | no entanto        
 13 | indeed               | 确实              | què shí            | de hecho           | de fato           
 14 | likewise             | 同样              | tóng yàng          | igualmente         | da mesma forma    
 15 | similarly            | 同样              | tóng yàng          | de manera similar  | da mesma forma    
 16 | consequently         | 因此              | yīn cǐ             | en consecuencia    | consequentemente  
 17 | hence                | 因此              | yīn cǐ             | por lo tanto       | portanto          
 18 | thus                 | 因此              | yīn cǐ             | así                | assim             
 19 | accordingly          | 相应地             | xiāng yìng dì      | en consecuencia    | consequentemente  
 20 | additionally         | 另外              | lìng wài           | adicionalmente     | adicionalmente    
 21 | regardless           | 不管              | bù guǎn            | independientemente | independentemente 
 22 | however difficult    | 不管多么困难          | bù guǎn duō me kùn | por difícil que se | por mais difícil q
 23 | however possible     | 不管怎样            | bù guǎn zěn yàng   | lo que sea posible | porém possível    
 24 | and therefore        | 因此              | yīn cǐ             | y por lo tanto     | e portanto        
 25 | therefore necessary  | 因此有必要           | yīn cǐ yǒu bì yào  | por lo tanto neces | portanto necessári
 26 | I also think         | 我也觉得            | wǒ yě jué de       | Yo también pienso  | Eu também acho    
 27 | also known as        | 也称为             | yě chēng wéi       | también conocido c | também conhecido c
 28 | besides that         | 除此之外            | chú cǐ zhī wài     | además de eso      | além disso        
 29 | besides work         | 除了工作            | chú le gōng zuò    | además del trabajo | além do trabalho  
 30 | instead of           | 而不是             | ér bú shì          | en lugar de        | em vez de         
 31 | try this instead     | 试试这个            | shì shì zhè ge     | prueba esto en su  | tente isso        
 32 | or otherwise         | 或其他             | huò qí tā          | o de otra manera   | ou não            
 33 | otherwise known      | 否则已知            | fǒu zé yǐ zhī      | conocido de otra m | também conhecido  
 34 | meanwhile at home    | 同时在家            | tóng shí zài jiā   | mientras tanto en  | enquanto isso em c
 35 | in the meanwhile     | 同时              | tóng shí           | mientras tanto     | enquanto isso     
 36 | and then             | 然后              | rán hòu            | y luego            | e então           
 37 | back then            | 那时              | nà shí             | en aquel entonces  | naquela época     
 38 | and moreover         | 而且              | ér qiě             | y además           | e além disso      
 39 | moreover important   | 而且重要            | ér qiě zhòng yào   | además importante  | além disso importa
 40 | and furthermore      | 而且              | ér qiě             | y además           | e além disso      
 41 | furthermore necessar | 此外还需要           | cǐ wài hái xū yào  | además necesario   | além disso necessá
 42 | but nevertheless     | 但尽管如此           | dàn jǐn guǎn rú cǐ | pero sin embargo   | mas mesmo assim   
 43 | nevertheless true    | 尽管如此            | jǐn guǎn rú cǐ     | sin embargo es cie | no entanto, é verd
 44 | indeed it is         | 确实是             | què shí shì        | de hecho lo es     | na verdade é      
 45 | yes indeed           | 确实是的            | què shí shì de     | si, de hecho       | sim, de fato      
 46 | and likewise         | 同样              | tóng yàng          | y de la misma mane | e da mesma forma  
 47 | likewise true        | 同样正确            | tóng yàng zhèng qu | igualmente cierto  | da mesma forma é v
 48 | and similarly        | 类似地             | lèi sì dì          | y de manera simila | e da mesma forma  
 49 | similarly priced     | 同等价格            | tóng děng jià gé   | precio similar     | preço semelhante  
 50 | and consequently     | 因此              | yīn cǐ             | y en consecuencia  | e consequentemente
 51 | consequently failed  | 结果失败了           | jié guǒ shī bài le | en consecuencia fa | consequentemente f
 52 | hence the name       | 因此得名            | yīn cǐ dé míng     | de ahí el nombre   | daí o nome        
 53 | hence the delay      | 因此延迟            | yīn cǐ yán chí     | de ahí el retraso  | daí o atraso      
 54 | and thus             | 因此              | yīn cǐ             | y por tanto        | e assim           
 55 | thus concluding      | 由此得出结论          | yóu cǐ dé chū jié  | concluyendo así    | concluindo assim  
 56 | act accordingly      | 采取相应行动          | cǎi qǔ xiāng yìng  | actuar en consecue | agir em conformida
 57 | plan accordingly     | 相应地计划           | xiāng yìng dì jì h | planificar en cons | planeje adequadame
 58 | and additionally     | 另外              | lìng wài           | y además           | e adicionalmente  
 59 | additionally needed  | 还需要             | hái xū yào         | adicionalmente nec | adicionalmente nec
 60 | regardless of        | 不管              | bù guǎn            | independientemente | independentemente 
 61 | regardless continue  | 不管继续            | bù guǎn jì xù      | independientemente | independentemente 
