PACK 83: Airport & Flying
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | airport              | 机场              | jī chǎng           | aeropuerto         | aeroporto         
  3 | flight               | 航班              | háng bān           | vuelo              | vôo               
  4 | plane                | 飞机              | fēi jī             | avión              | avião             
  5 | airline              | 航空公司            | háng kōng gōng sī  | aerolínea          | companhia aérea   
  6 | terminal             | 终端              | zhōng duān         | terminales         | terminal          
  7 | boarding             | 登机              | dēng jī            | embarque           | embarque          
  8 | gate                 | 门               | mén                | puerta             | portão            
  9 | runway               | 跑道              | pǎo dào            | pista              | pista             
 10 | luggage              | 行李              | xíng lǐ            | equipaje           | bagagem           
 11 | baggage              | 行李              | xíng lǐ            | equipaje           | bagagem           
 12 | passport             | 护照              | hù zhào            | pasaporte          | passaporte        
 13 | customs              | 海关              | hǎi guān           | aduanas            | costumes          
 14 | security             | 安全              | ān quán            | seguridad          | segurança         
 15 | departure            | 出发              | chū fā             | salida             | partida           
 16 | arrival              | 到达              | dào dá             | llegada            | chegada           
 17 | delay                | 延迟              | yán chí            | retraso            | atraso            
 18 | cancel               | 取消              | qǔ xiāo            | cancelar           | cancelar          
 19 | turbulence           | 湍流              | tuān liú           | turbulencia        | turbulência       
 20 | seatbelt             | 安全带             | ān quán dài        | cinturón de seguri | cinto de segurança
 21 | overhead             | 开销              | kāi xiāo           | gastos generales   | sobrecarga        
 22 | international airpor | 国际机场            | guó jì jī chǎng    | aeropuerto interna | aeroporto internac
 23 | airport terminal     | 机场航站楼           | jī chǎng háng zhàn | terminal del aerop | terminal do aeropo
 24 | book flight          | 预订航班            | yù dìng háng bān   | reservar vuelo     | reservar voo      
 25 | flight number        | 航班号             | háng bān hào       | número de vuelo    | número do voo     
 26 | board plane          | 板飞机             | bǎn fēi jī         | avión a bordo      | avião a bordo     
 27 | plane ticket         | 机票              | jī piào            | billete de avión   | passagem de avião 
 28 | major airline        | 主要航空公司          | zhǔ yào háng kōng  | importante aerolín | grande companhia a
 29 | airline ticket       | 机票              | jī piào            | billete de avión   | passagem aérea    
 30 | terminal building    | 航站楼             | háng zhàn lóu      | edificio terminal  | edifício do termin
 31 | terminal gate        | 航站楼门            | háng zhàn lóu mén  | puerta terminal    | portão do terminal
 32 | boarding pass        | 登机牌             | dēng jī pái        | tarjeta de embarqu | cartão de embarque
 33 | boarding time        | 登机时间            | dēng jī shí jiān   | hora de embarque   | horário de embarqu
 34 | departure gate       | 登机口             | dēng jī kǒu        | puerta de embarque | portão de embarque
 35 | gate number          | 登机口号码           | dēng jī kǒu hào mǎ | número de puerta   | número do portão  
 36 | airport runway       | 机场跑道            | jī chǎng pǎo dào   | pista del aeropuer | pista do aeroporto
 37 | runway light         | 跑道灯             | pǎo dào dēng       | luz de pista       | luz da pista      
 38 | carry-on luggage     | 随身行李            | suí shēn xíng lǐ   | equipaje de mano   | bagagem de mão    
 39 | luggage claim        | 行李领取            | xíng lǐ lǐng qǔ    | reclamo de equipaj | retirada de bagage
 40 | baggage claim        | 行李领取            | xíng lǐ lǐng qǔ    | recogida de equipa | retirada de bagage
 41 | baggage check        | 行李托运            | xíng lǐ tuō yùn    | control de equipaj | verificação de bag
 42 | valid passport       | 有效护照            | yǒu xiào hù zhào   | pasaporte válido   | passaporte válido 
 43 | passport control     | 护照检查            | hù zhào jiǎn chá   | control de pasapor | controle de passap
 44 | go through customs   | 过海关             | guò hǎi guān       | pasar por la aduan | passar pela alfând
 45 | customs declaration  | 报关              | bào guān           | declaración de adu | declaração aduanei
 46 | airport security     | 机场安检            | jī chǎng ān jiǎn   | seguridad aeroport | segurança aeroport
 47 | security check       | 安全检查            | ān quán jiǎn chá   | control de segurid | verificação de seg
 48 | departure time       | 出发时间            | chū fā shí jiān    | hora de salida     | hora de partida   
 49 | departure lounge     | 出发休息室           | chū fā xiū xī shì  | sala de embarque   | sala de embarque  
 50 | arrival time         | 到达时间            | dào dá shí jiān    | hora de llegada    | hora de chegada   
 51 | arrival gate         | 到达口             | dào dá kǒu         | puerta de llegada  | portão de chegada 
 52 | flight delay         | 航班延误            | háng bān yán wù    | retraso del vuelo  | atraso de voo     
 53 | delay notice         | 延迟通知            | yán chí tōng zhī   | aviso de retraso   | aviso de atraso   
 54 | cancel flight        | 取消航班            | qǔ xiāo háng bān   | cancelar vuelo     | cancelar voo      
 55 | flight cancel        | 航班取消            | háng bān qǔ xiāo   | cancelación de vue | voo cancelado     
 56 | experience turbulenc | 经历动荡            | jīng lì dòng dàng  | experimentar turbu | vivenciar turbulên
 57 | slight turbulence    | 轻微湍流            | qīng wēi tuān liú  | ligera turbulencia | ligeira turbulênci
 58 | fasten seatbelt      | 系好安全带           | jì hǎo ān quán dài | abrocharse el cint | apertar cinto de s
 59 | seatbelt sign        | 安全带标志           | ān quán dài biāo z | señal de cinturón  | sinal de cinto de 
 60 | overhead bin         | 舱顶行李箱           | cāng dǐng xíng lǐ  | compartimento supe | compartimento supe
 61 | overhead compartment | 头顶行李舱           | tóu dǐng xíng lǐ c | compartimento supe | compartimento supe
