PACK 84: Hotel
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | hotel                | 酒店              | jiǔ diàn           | hoteles            | hotéis            
  3 | motel                | 汽车旅馆            | qì chē lǚ guǎn     | motel              | motel             
  4 | hostel               | 宿舍              | sù shè             | albergue           | albergue          
  5 | resort               | 度假村             | dù jià cūn         | complejo           | recurso           
  6 | reception            | 接待处             | jiē dài chù        | recepción          | recepção          
  7 | lobby                | 大堂              | dà táng            | vestíbulo          | lobby             
  8 | front desk           | 前台              | qián tái           | recepción          | recepção          
  9 | room service         | 客房服务            | kè fáng fú wù      | servicio de habita | serviço de quarto 
 10 | housekeeping         | 客房服务            | kè fáng fú wù      | limpieza           | limpeza           
 11 | concierge            | 礼宾服务            | lǐ bīn fú wù       | conserje           | porteiro          
 12 | suite                | 套房              | tào fáng           | suite              | suíte             
 13 | single room          | 单人间             | dān rén jiān       | habitación individ | quarto individual 
 14 | double room          | 双人间             | shuāng rén jiān    | habitación doble   | quarto duplo      
 15 | vacancy              | 空缺              | kòng quē           | vacante            | vaga              
 16 | amenity              | 便利设施            | biàn lì shè shī    | amenidad           | comodidade        
 17 | checkout             | 结帐              | jié zhàng          | pagar              | finalização da com
 18 | key card             | 钥匙卡             | yào shi kǎ         | tarjeta llave      | cartão-chave      
 19 | minibar              | 迷你吧             | mí nǐ ba           | minibar            | frigobar          
 20 | bellhop              | 服务生             | fú wù shēng        | botones            | carregador        
 21 | tip                  | 提示              | tí shì             | consejo            | dica              
 22 | luxury hotel         | 豪华酒店            | háo huá jiǔ diàn   | hotel de lujo      | hotel de luxo     
 23 | hotel room           | 酒店房间            | jiǔ diàn fáng jiān | habitación de hote | quarto de hotel   
 24 | cheap motel          | 便宜的汽车旅馆         | pián yi de qì chē  | motel barato       | motel barato      
 25 | motel room           | 汽车旅馆房间          | qì chē lǚ guǎn fán | habitación de mote | quarto de motel   
 26 | youth hostel         | 青年旅舍            | qīng nián lǚ shè   | albergue juvenil   | albergue da juvent
 27 | hostel stay          | 住宿旅馆            | zhù sù lǚ guǎn     | estancia en alberg | estadia em albergu
 28 | beach resort         | 海滩度假村           | hǎi tān dù jià cūn | complejo de playa  | estância balnear  
 29 | resort spa           | 度假村水疗中心         | dù jià cūn shuǐ li | spa del complejo   | spa resort        
 30 | hotel reception      | 酒店接待            | jiǔ diàn jiē dài   | recepción del hote | recepção do hotel 
 31 | reception area       | 接待区             | jiē dài qū         | zona de recepción  | área de recepção  
 32 | hotel lobby          | 酒店大堂            | jiǔ diàn dà táng   | vestíbulo del hote | lobby do hotel    
 33 | lobby bar            | 大堂酒吧            | dà táng jiǔ bā     | bar del vestíbulo  | lobby bar         
 34 | front desk clerk     | 前台服务员           | qián tái fú wù yuá | recepcionista      | recepcionista     
 35 | check in at front de | 在前台办理入住         | zài qián tái bàn l | registrarse en la  | check-in na recepç
 36 | order room service   | 订购客房服务          | dìng gòu kè fáng f | solicitar servicio | solicitar serviço 
 37 | room service menu    | 客房服务菜单          | kè fáng fú wù cài  | menú del servicio  | cardápio de serviç
 38 | daily housekeeping   | 每日客房清洁          | měi rì kè fáng qīn | limpieza diaria    | limpeza diária    
 39 | housekeeping service | 家政服务            | jiā zhèng fú wù    | servicio de limpie | serviço de limpeza
 40 | hotel concierge      | 酒店礼宾部           | jiǔ diàn lǐ bīn bù | conserje del hotel | portaria do hotel 
 41 | ask concierge        | 询问礼宾部           | xún wèn lǐ bīn bù  | pregunte al conser | pergunte ao concie
 42 | presidential suite   | 总统套房            | zǒng tǒng tào fáng | suite presidencial | suíte presidencial
 43 | suite upgrade        | 套房升级            | tào fáng shēng jí  | actualización de s | atualização de suí
 44 | book single room     | 预订单人间           | yù dìng dān rén ji | reservar habitació | reservar quarto in
 45 | single room rate     | 单间价格            | dān jiān jià gé    | tarifa de habitaci | tarifa de quarto i
 46 | book double room     | 预订双人间           | yù dìng shuāng rén | reservar habitació | reservar quarto du
 47 | double room rate     | 双人房价格           | shuāng rén fáng ji | tarifa habitación  | tarifa de quarto d
 48 | no vacancy           | 没有空缺            | méi yǒu kòng quē   | no hay vacantes    | sem vaga          
 49 | vacancy available    | 空缺职位            | kòng quē zhí wèi   | vacante disponible | vaga disponível   
 50 | hotel amenity        | 酒店设施            | jiǔ diàn shè shī   | amenidad del hotel | comodidade do hote
 51 | amenity fee          | 便利设施费           | biàn lì shè shī fè | tarifa de servicio | taxa de comodidade
 52 | late checkout        | 延迟退房            | yán chí tuì fáng   | salida tardía      | check-out tardio  
 53 | checkout time        | 结帐时间            | jié zhàng shí jiān | hora de salida     | horário de checkou
 54 | hotel key card       | 酒店钥匙卡           | jiǔ diàn yào shi k | tarjeta llave del  | cartão-chave do ho
 55 | key card access      | 钥匙卡访问           | yào shi kǎ fǎng wè | acceso con tarjeta | acesso com cartão-
 56 | empty minibar        | 空迷你吧            | kōng mí nǐ ba      | minibar vacío      | frigobar vazio    
 57 | minibar prices       | 迷你吧价格           | mí nǐ ba jià gé    | precios del miniba | preços do frigobar
 58 | hotel bellhop        | 酒店服务生           | jiǔ diàn fú wù shē | botones del hotel  | carregador do hote
 59 | bellhop service      | 行李员服务           | xíng lǐ yuán fú wù | servicio de botone | serviço de carrega
 60 | leave a tip          | 留下小费            | liú xià xiǎo fèi   | deja una propina   | deixe uma dica    
 61 | tip generously       | 慷慨地给小费          | kāng kǎi dì gěi xi | propina generosame | gorjeta generosame
