PACK 85: Work & Office
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | company              | 公司              | gōng sī            | empresa            | empresa           
  3 | business             | 业务              | yè wù              | negocio            | negócio           
  4 | department           | 部门              | bù mén             | departamento       | departamento      
  5 | employer             | 雇主              | gù zhǔ             | empleador          | empregador        
  6 | colleague            | 同事              | tóng shì           | colega             | colega            
  7 | meeting              | 会议              | huì yì             | reunión            | reunião           
  8 | presentation         | 演示              | yǎn shì            | presentación       | apresentação      
  9 | report               | 报告              | bào gào            | informe            | relatório         
 10 | deadline             | 截止日期            | jié zhǐ rì qī      | fecha límite       | prazo             
 11 | project              | 项目              | xiàng mù           | proyecto           | projeto           
 12 | task                 | 任务              | rèn wù             | tarea              | tarefa            
 13 | schedule             | 时间表             | shí jiān biǎo      | horario            | cronograma        
 14 | promotion            | 促销              | cù xiāo            | promoción          | promoção          
 15 | salary               | 工资              | gōng zī            | salario            | salário           
 16 | interview            | 采访              | cǎi fǎng           | entrevista         | entrevista        
 17 | resume               | 简历              | jiǎn lì            | currículum         | currículo         
 18 | career               | 职业生涯            | zhí yè shēng yá    | carrera            | carreira          
 19 | title                | 标题              | biāo tí            | título             | título            
 20 | responsibilities     | 职责              | zhí zé             | responsabilidades  | responsabilidades 
 21 | office               | 办公室             | bàn gōng shì       | oficina            | escritório        
 22 | big company          | 大公司             | dà gōng sī         | gran empresa       | grande empresa    
 23 | company policy       | 公司政策            | gōng sī zhèng cè   | política de la emp | política da empres
 24 | start a business     | 创业              | chuàng yè          | iniciar un negocio | começar um negócio
 25 | business meeting     | 商务会议            | shāng wù huì yì    | reunión de negocio | reunião de negócio
 26 | sales department     | 销售部             | xiāo shòu bù       | departamento de ve | departamento de ve
 27 | department head      | 部门主管            | bù mén zhǔ guǎn    | jefe de departamen | chefe de departame
 28 | current employer     | 现任雇主            | xiàn rèn gù zhǔ    | empleador actual   | empregador atual  
 29 | employer benefits    | 雇主福利            | gù zhǔ fú lì       | beneficios para el | benefícios patrona
 30 | work colleague       | 工作同事            | gōng zuò tóng shì  | colega de trabajo  | colega de trabalho
 31 | colleague friend     | 同事朋友            | tóng shì péng yǒu  | amigo colega       | colega amigo      
 32 | team meeting         | 团队会议            | tuán duì huì yì    | reunión de equipo  | reunião de equipe 
 33 | meeting room         | 会议室             | huì yì shì         | sala de reuniones  | sala de reuniões  
 34 | give presentation    | 进行演示            | jìn xíng yǎn shì   | dar presentación   | fazer apresentação
 35 | presentation slides  | 演示幻灯片           | yǎn shì huàn dēng  | diapositivas de pr | slides de apresent
 36 | write report         | 写报告             | xiě bào gào        | escribir informe   | escrever relatório
 37 | progress report      | 进度报告            | jìn dù bào gào     | informe de progres | relatório de progr
 38 | meet deadline        | 满足截止日期          | mǎn zú jié zhǐ rì  | cumplir con el pla | cumprir prazo     
 39 | deadline approaching | 截止日期临近          | jié zhǐ rì qī lín  | Se acerca la fecha | prazo se aproximan
 40 | new project          | 新项目             | xīn xiàng mù       | nuevo proyecto     | novo projeto      
 41 | project manager      | 项目经理            | xiàng mù jīng lǐ   | director de proyec | gerente de projeto
 42 | complete task        | 完成任务            | wán chéng rèn wù   | completar tarea    | completar tarefa  
 43 | task list            | 任务列表            | rèn wù liè biǎo    | lista de tareas    | lista de tarefas  
 44 | work schedule        | 工作安排            | gōng zuò ān pái    | horario de trabajo | horário de trabalh
 45 | schedule meeting     | 安排会议            | ān pái huì yì      | programar reunión  | agendar reunião   
 46 | job promotion        | 职位晋升            | zhí wèi jìn shēng  | promoción laboral  | promoção de empreg
 47 | promotion opportunit | 晋升机会            | jìn shēng jī huì   | oportunidad de asc | oportunidade de pr
 48 | monthly salary       | 月薪              | yuè xīn            | salario mensual    | salário mensal    
 49 | salary raise         | 加薪              | jiā xīn            | aumento salarial   | aumento salarial  
 50 | job interview        | 求职面试            | qiú zhí miàn shì   | entrevista de trab | entrevista de empr
 51 | interview questions  | 面试问题            | miàn shì wèn tí    | preguntas de la en | perguntas da entre
 52 | update resume        | 更新简历            | gēng xīn jiǎn lì   | actualizar currícu | atualizar currícul
 53 | resume template      | 简历模板            | jiǎn lì mú bǎn     | plantilla de currí | modelo de currícul
 54 | career path          | 职业道路            | zhí yè dào lù      | trayectoria profes | plano de carreira 
 55 | career change        | 职业转变            | zhí yè zhuǎn biàn  | cambio de carrera  | mudança de carreir
 56 | job title            | 职位名称            | zhí wèi míng chēng | título del trabajo | cargo             
 57 | title change         | 标题更改            | biāo tí gēng gǎi   | cambio de título   | mudança de título 
 58 | job responsibilities | 工作职责            | gōng zuò zhí zé    | responsabilidades  | responsabilidades 
 59 | responsibilities inc | 职责包括            | zhí zé bāo kuò     | responsabilidades  | as responsabilidad
 60 | home office          | 家庭办公室           | jiā tíng bàn gōng  | oficina en casa    | escritório em casa
 61 | office work          | 办公室工作           | bàn gōng shì gōng  | trabajo de oficina | trabalho de escrit
