PACK 91: Life Events
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | birth                | 出生              | chū shēng          | nacimiento         | nascimento        
  3 | childhood            | 童年              | tóng nián          | infancia           | infância          
  4 | teenager             | 青少年             | qīng shào nián     | adolescente        | adolescente       
  5 | adult                | 成人              | chéng rén          | adulto             | adulto            
  6 | elderly              | 老人              | lǎo rén            | ancianos           | idosos            
  7 | birthday             | 生日              | shēng rì           | cumpleaños         | aniversário       
  8 | graduation           | 毕业              | bì yè              | graduación         | formatura         
  9 | engagement           | 订婚              | dìng hūn           | compromiso         | engajamento       
 10 | marriage             | 婚姻              | hūn yīn            | matrimonio         | casamento         
 11 | pregnancy            | 怀孕              | huái yùn           | embarazo           | gravidez          
 12 | funeral              | 葬礼              | zàng lǐ            | entierro           | funeral           
 13 | retirement           | 退休              | tuì xiū            | jubilación         | aposentadoria     
 14 | celebration          | 庆典              | qìng diǎn          | celebración        | celebração        
 15 | ceremony             | 仪式              | yí shì             | ceremonia          | cerimônia         
 16 | tradition            | 传统              | chuán tǒng         | tradición          | tradição          
 17 | festival             | 节日              | jié rì             | fiesta             | festival          
 18 | milestone            | 里程碑             | lǐ chéng bēi       | hito               | marco             
 19 | achievement          | 成就              | chéng jiù          | logro              | conquista         
 20 | legacy               | 遗产              | yí chǎn            | legado             | legado            
 21 | occasion             | 场合              | chǎng hé           | ocasión            | ocasião           
 22 | give birth           | 生下              | shēng xià          | dar a luz          | dar à luz         
 23 | birth certificate    | 出生证明            | chū shēng zhèng mí | certificado de nac | certidão de nascim
 24 | happy childhood      | 快乐的童年           | kuài lè de tóng ni | infancia feliz     | infância feliz    
 25 | childhood memories   | 童年回忆            | tóng nián huí yì   | recuerdos de la in | memórias de infânc
 26 | typical teenager     | 典型的青少年          | diǎn xíng de qīng  | adolescente típico | típico adolescente
 27 | teenager years       | 少年时代            | shào nián shí dài  | años de adolescenc | adolescência      
 28 | young adult          | 年轻成人            | nián qīng chéng ré | adulto joven       | adulto jovem      
 29 | adult life           | 成人生活            | chéng rén shēng hu | vida adulta        | vida adulta       
 30 | elderly care         | 老年护理            | lǎo nián hù lǐ     | cuidado de persona | cuidados a idosos 
 31 | elderly person       | 老人              | lǎo rén            | persona mayor      | pessoa idosa      
 32 | happy birthday       | 生日快乐            | shēng rì kuài lè   | feliz cumpleaños   | feliz aniversário 
 33 | birthday party       | 生日聚会            | shēng rì jù huì    | fiesta de cumpleañ | festa de aniversár
 34 | college graduation   | 大学毕业            | dà xué bì yè       | graduación univers | formatura da facul
 35 | graduation ceremony  | 毕业典礼            | bì yè diǎn lǐ      | ceremonia de gradu | cerimônia de forma
 36 | surprise engagement  | 惊喜订婚            | jīng xǐ dìng hūn   | compromiso sorpres | noivado surpresa  
 37 | engagement ring      | 订婚戒指            | dìng hūn jiè zhǐ   | anillo de compromi | anel de noivado   
 38 | happy marriage       | 婚姻幸福            | hūn yīn xìng fú    | feliz matrimonio   | casamento feliz   
 39 | marriage certificate | 结婚证             | jié hūn zhèng      | certificado de mat | certidão de casame
 40 | early pregnancy      | 怀孕初期            | huái yùn chū qī    | embarazo temprano  | gravidez precoce  
 41 | pregnancy test       | 妊娠测试            | rèn shēn cè shì    | prueba de embarazo | teste de gravidez 
 42 | attend funeral       | 参加葬礼            | cān jiā zàng lǐ    | asistir al funeral | comparecer ao fune
 43 | funeral service      | 殡葬服务            | bìn zàng fú wù     | servicio funerario | serviço funerário 
 44 | early retirement     | 提前退休            | tí qián tuì xiū    | jubilación anticip | reforma antecipada
 45 | retirement plan      | 退休计划            | tuì xiū jì huà     | plan de jubilación | plano de aposentad
 46 | big celebration      | 盛大庆典            | shèng dà qìng diǎn | gran celebración   | grande comemoração
 47 | celebration party    | 庆典晚会            | qìng diǎn wǎn huì  | fiesta de celebrac | festa de comemoraç
 48 | traditional ceremony | 传统仪式            | chuán tǒng yí shì  | ceremonia tradicio | cerimônia tradicio
 49 | wedding ceremony     | 婚礼              | hūn lǐ             | ceremonia de boda  | cerimônia de casam
 50 | family tradition     | 家庭传统            | jiā tíng chuán tǒn | tradición familiar | tradição familiar 
 51 | tradition of         | 传统的             | chuán tǒng de      | tradición de       | tradição de       
 52 | music festival       | 的传统音乐节          | de chuán tǒng yīn  | festival de música | festival de música
 53 | film festival        | 电影节             | diàn yǐng jié      | festival de cine   | festival de cinema
 54 | important milestone  | 重要的里程碑          | zhòng yào de lǐ ch | hito importante    | marco importante  
 55 | milestone birthday   | 里程碑式的生日         | lǐ chéng bēi shì d | cumpleaños importa | aniversário marcan
 56 | great achievement    | 伟大成就            | wěi dà chéng jiù   | gran logro         | grande conquista  
 57 | achievement award    | 成就奖             | chéng jiù jiǎng    | premio al logro    | prêmio de conquist
 58 | lasting legacy       | 持久的遗产           | chí jiǔ de yí chǎn | legado duradero    | legado duradouro  
 59 | leave a legacy       | 留下遗产            | liú xià yí chǎn    | dejar un legado    | deixe um legado   
 60 | special occasion     | 特殊场合            | tè shū chǎng hé    | ocasión especial   | ocasião especial  
 61 | occasion for         | 场合              | chǎng hé           | ocasión para       | ocasião para      
