PACK 95: Cooking Methods
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | bake                 | 烘烤              | hōng kǎo           | hornear            | assar             
  3 | fry                  | 炒               | chǎo               | freír              | fritar            
  4 | boil                 | 煮沸              | zhǔ fèi            | hervir             | ferver            
  5 | grill                | 烧烤              | shāo kǎo           | parrilla           | grelha            
  6 | roast                | 烤               | kǎo                | asado              | assado            
  7 | steam                | 蒸汽              | zhēng qì           | vapor              | vapor             
  8 | sauté                | 炒               | chǎo               | saltear            | refogue           
  9 | simmer               | 煨               | wēi                | cocinar a fuego le | ferver            
 10 | broil                | 烤               | kǎo                | asar               | grelhar           
 11 | barbecue             | 烧烤              | shāo kǎo           | barbacoa           | churrasco         
 12 | reheat               | 再加热             | zài jiā rè         | recalentar         | reaquecer         
 13 | defrost              | 除霜              | chú shuāng         | descongelar        | descongelar       
 14 | marinate             | 腌制              | yān zhì            | marinar            | marinar           
 15 | blanch               | 焯水              | chāo shuǐ          | blanquear          | empalidecer       
 16 | stir                 | 搅拌              | jiǎo bàn           | revolver           | mexa              
 17 | chop                 | 砍               | kǎn                | picar              | cortar            
 18 | slice                | 切片              | qiē piàn           | rebanada           | fatia             
 19 | braise               | 焖               | mèn                | estofado           | refogar           
 20 | poach                | 偷猎              | tōu liè            | caza furtiva       | caça furtiva      
 21 | caramelize           | 焦糖化             | jiāo táng huà      | caramelizar        | caramelizar       
 22 | bake cookies         | 烤饼干             | kǎo bǐng gān       | hornear galletas   | assar biscoitos   
 23 | bake a cake          | 烤蛋糕             | kǎo dàn gāo        | hornear un pastel  | fazer um bolo     
 24 | fry chicken          | 炸鸡              | zhà jī             | freír pollo        | frango frito      
 25 | fry an egg           | 煎鸡蛋             | jiān jī dàn        | freír un huevo     | fritar um ovo     
 26 | boil water           | 烧开水             | shāo kāi shuǐ      | hervir agua        | ferver água       
 27 | boil eggs            | 煮鸡蛋             | zhǔ jī dàn         | hervir huevos      | ferver ovos       
 28 | grill steak          | 烤牛排             | kǎo niú pái        | bistec a la parril | bife grelhado     
 29 | grill vegetables     | 烧烤蔬菜            | shāo kǎo shū cài   | verduras a la parr | grelhar legumes   
 30 | roast chicken        | 烤鸡              | kǎo jī             | pollo asado        | frango assado     
 31 | roast beef           | 烤牛肉             | kǎo niú ròu        | carne asada        | rosbife           
 32 | steam vegetables     | 蒸蔬菜             | zhēng shū cài      | verduras al vapor  | legumes a vapor   
 33 | steam fish           | 蒸鱼              | zhēng yú           | pescado al vapor   | peixe a vapor     
 34 | sauté onions         | 炒洋葱             | chǎo yáng cōng     | saltear cebollas   | refogar cebola    
 35 | sauté mushrooms      | 炒蘑菇             | chǎo mó gū         | saltear champiñone | saltear cogumelos 
 36 | let simmer           | 慢炖              | màn dùn            | dejar hervir a fue | deixe ferver      
 37 | simmer slowly        | 慢火慢炖            | màn huǒ màn dùn    | cocine a fuego len | cozinhe lentamente
 38 | broil fish           | 烤鱼              | kǎo yú             | asar pescado       | grelhar peixe     
 39 | broil steak          | 烤牛排             | kǎo niú pái        | bistec a la parril | bife grelhado     
 40 | barbecue ribs        | 烧烤排骨            | shāo kǎo pái gǔ    | costillas a la bar | costela de churras
 41 | barbecue party       | 烧烤派对            | shāo kǎo pài duì   | fiesta de barbacoa | festa de churrasco
 42 | reheat food          | 重新加热食物          | chóng xīn jiā rè s | recalentar la comi | reaquecer alimento
 43 | reheat leftovers     | 重新加热剩菜          | chóng xīn jiā rè s | recalentar las sob | reaquecer sobras  
 44 | defrost meat         | 解冻肉             | jiě dòng ròu       | descongelar carne  | descongelar carne 
 45 | defrost frozen       | 解冻冷冻            | jiě dòng lěng dòng | descongelar congel | descongelar congel
 46 | marinate chicken     | 腌鸡肉             | yān jī ròu         | marinar pollo      | frango marinado   
 47 | marinate overnight   | 腌过夜             | yān guò yè         | marinar durante la | marinar durante a 
 48 | blanch vegetables    | 焯蔬菜             | chāo shū cài       | blanquear verduras | escaldar legumes  
 49 | blanch spinach       | 焯菠菜             | chāo bō cài        | blanquear espinaca | escalde espinafre 
 50 | stir constantly      | 不断搅拌            | bù duàn jiǎo bàn   | revuelva constante | mexa constantement
 51 | stir well            | 搅拌均匀            | jiǎo bàn jūn yún   | revuelva bien      | mexa bem          
 52 | chop onions          | 切洋葱             | qiè yáng cōng      | picar cebollas     | picar cebola      
 53 | chop vegetables      | 切蔬菜             | qiè shū cài        | picar verduras     | picar legumes     
 54 | slice bread          | 切片面包            | qiē piàn miàn bāo  | rebanada de pan    | fatia de pão      
 55 | slice thin           | 切成薄片            | qiè chéng báo piàn | rebanada fina      | fatia fina        
 56 | braise beef          | 红烧牛肉            | hóng shāo niú ròu  | estofado de terner | carne refogada    
 57 | braise slowly        | 慢炖              | màn dùn            | estofar lentamente | refogue lentamente
 58 | poach eggs           | 荷包蛋             | hé bāo dàn         | huevos escalfados  | ovos escalfados   
 59 | poach chicken        | 水煮鸡             | shuǐ zhǔ jī        | pollo escalfado    | escaldar frango   
 60 | caramelize onions    | 焦糖洋葱            | jiāo táng yáng cōn | caramelizar ceboll | caramelizar cebola
 61 | caramelize sugar     | 焦糖              | jiāo táng          | caramelizar el azú | caramelizar açúcar
