PACK 97: Restaurant
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | cafe                 | 咖啡馆             | kā fēi guǎn        | cafetería          | café              
  3 | diner                | 晚餐              | wǎn cān            | cena               | jantar            
  4 | menu                 | 菜单              | cài dān            | menú               | cardápio          
  5 | reservation          | 预订              | yù dìng            | reserva            | reserva           
  6 | waitress             | 女服务员            | nǚ fú wù yuán      | camarera           | garçonete         
  7 | server               | 服务器             | fú wù qì           | servidor           | servidor          
  8 | appetizer            | 开胃菜             | kāi wèi cài        | aperitivo          | aperitivo         
  9 | main course          | 主菜              | zhǔ cài            | plato principal    | prato principal   
 10 | takeout              | 外卖              | wài mài            | comida para llevar | comida para viagem
 11 | delivery             | 交货              | jiāo huò           | entrega            | entrega           
 12 | buffet               | 自助餐             | zì zhù cān         | bufé               | bufê              
 13 | specialty            | 专业              | zhuān yè           | especialidad       | especialidade     
 14 | vegetarian           | 素食              | sù shí             | vegetariano        | vegetariano       
 15 | vegan                | 素食主义者           | sù shí zhǔ yì zhě  | vegano             | vegano            
 16 | tapas                | 小吃              | xiǎo chī           | tapas              | tapas             
 17 | entree               | 主菜              | zhǔ cài            | entrante           | entrada           
 18 | cuisine              | 美食              | měi shí            | cocina             | culinária         
 19 | gratuity             | 小费              | xiǎo fèi           | propina            | gratuidade        
 20 | sommelier            | 侍酒师             | shì jiǔ shī        | sumiller           | sommelier         
 21 | maître d'            | 领班              | lǐng bān           | maître             | maître d'         
 22 | street cafe          | 街边咖啡馆           | jiē biān kā fēi gu | café callejero     | café de rua       
 23 | cafe latte           | 拿铁咖啡            | ná tiě kā fēi      | café con leche     | café com leite    
 24 | local diner          | 当地餐馆            | dāng dì cān guǎn   | restaurante local  | lanchonete local  
 25 | diner food           | 晚餐食物            | wǎn cān shí wù     | comida del comedor | comida de jantar  
 26 | read menu            | 阅读菜单            | yuè dú cài dān     | leer menú          | ler cardápio      
 27 | menu item            | 菜单项             | cài dān xiàng      | elemento del menú  | item de menu      
 28 | make reservation     | 预订              | yù dìng            | hacer reserva      | fazer reserva     
 29 | reservation for two  | 两人预订            | liǎng rén yù dìng  | reserva para dos   | reserva para dois 
 30 | friendly waitress    | 友好的女服务员         | yǒu hǎo de nǚ fú w | camarera amable    | garçonete simpátic
 31 | waitress came        | 女服务员来了          | nǚ fú wù yuán lái  | vino la camarera   | garçonete veio    
 32 | our server           | 我们的服务器          | wǒ men de fú wù qì | nuestro servidor   | nosso servidor    
 33 | server brought       | 服务器带来           | fú wù qì dài lái   | servidor traído    | servidor trazido  
 34 | order appetizer      | 点开胃菜            | diǎn kāi wèi cài   | pedir aperitivo    | pedir aperitivo   
 35 | appetizer menu       | 开胃菜菜单           | kāi wèi cài cài dā | menú de aperitivos | cardápio de aperit
 36 | main course dish     | 主菜              | zhǔ cài            | plato principal    | prato principal   
 37 | main course order    | 主菜顺序            | zhǔ cài shùn xù    | orden del plato pr | ordem do prato pri
 38 | order takeout        | 订外卖             | dìng wài mài       | pedir comida para  | pedir comida para 
 39 | takeout container    | 外卖容器            | wài mài róng qì    | contenedor de comi | recipiente para vi
 40 | food delivery        | 食品配送            | shí pǐn pèi sòng   | entrega de comida  | entrega de comida 
 41 | delivery driver      | 送货司机            | sòng huò sī jī     | conductor de repar | motorista de entre
 42 | breakfast buffet     | 自助早餐            | zì zhù zǎo cān     | desayuno buffet    | buffet de café da 
 43 | buffet style         | 自助餐风格           | zì zhù cān fēng gé | estilo buffet      | estilo buffet     
 44 | house specialty      | 房屋特产            | fáng wū tè chǎn    | especialidad de la | especialidade da c
 45 | specialty dish       | 特色菜             | tè sè cài          | plato especial     | prato especial    
 46 | vegetarian option    | 素食选择            | sù shí xuǎn zé     | opción vegetariana | opção vegetariana 
 47 | vegetarian menu      | 素食菜单            | sù shí cài dān     | menú vegetariano   | cardápio vegetaria
 48 | vegan friendly       | 素食友好            | sù shí yǒu hǎo     | apto para veganos  | vegano amigável   
 49 | vegan food           | 素食食品            | sù shí shí pǐn     | comida vegana      | comida vegana     
 50 | spanish tapas        | 西班牙小吃           | xī bān yá xiǎo chī | tapas españolas    | tapas espanholas  
 51 | tapas bar            | 小吃吧             | xiǎo chī ba        | bar de tapas       | bar de tapas      
 52 | main entree          | 主菜              | zhǔ cài            | plato principal    | entrada principal 
 53 | entree choice        | 主菜选择            | zhǔ cài xuǎn zé    | elección de plato  | escolha de entrada
 54 | italian cuisine      | 意大利美食           | yì dà lì měi shí   | cocina italiana    | cozinha italiana  
 55 | cuisine type         | 菜系类型            | cài xì lèi xíng    | tipo de cocina     | tipo de cozinha   
 56 | add gratuity         | 添加小费            | tiān jiā xiǎo fèi  | añadir propina     | adicionar gorjeta 
 57 | gratuity included    | 包含小费            | bāo hán xiǎo fèi   | propina incluida   | gratificação inclu
 58 | ask sommelier        | 询问侍酒师           | xún wèn shì jiǔ sh | pregunta al sumill | pergunte ao sommel
 59 | sommelier recommend  | 侍酒师推荐           | shì jiǔ shī tuī ji | Sumiller recomenda | sommelier recomend
 60 | ask maître d'        | 询问领班            | xún wèn lǐng bān   | pregúntale al maît | pergunte ao maître
 61 | maître d' seated us  | 领班为我们安排座位       | lǐng bān wèi wǒ me | maître d'nos sentó | maître d' nos sent
