PACK 106: Common Idioms 1
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | piece of cake        | 小菜一碟            | xiǎo cài yī dié    | pan comido         | pedaço de bolo    
  3 | break the ice        | 打破僵局            | dǎ pò jiāng jú     | romper el hielo    | quebrar o gelo    
  4 | hit the nail on the  | 一语中的            | yī yǔ zhòng dì     | da en el clavo     | acertou em cheio  
  5 | under the weather    | 天气不好            | tiān qì bù hǎo     | bajo el clima      | indisposto        
  6 | beat around the bush | 拐弯抹角            | guǎi wān mò jiǎo   | andar por las rama | rodeios           
  7 | call it a day        | 今天就到此为止         | jīn tiān jiù dào c | llámalo un día     | encerrar o dia    
  8 | out of hand          | 失控              | shī kòng           | fuera de control   | fora de controle  
  9 | in the same boat     | 在同一条船上          | zài tóng yī tiáo c | en el mismo barco  | no mesmo barco    
 10 | miss the boat        | 错过了船            | cuò guò le chuán   | perder el barco    | perca o barco     
 11 | spill the beans      | 泄露秘密            | xiè lòu mì mì      | derramar los frijo | derrame o feijão  
 12 | last straw           | 最后一根稻草          | zuì hòu yī gēn dào | el colmo           | última gota       
 13 | once in a blue moon  | 千载难逢            | qiān zǎi nán féng  | una vez en una lun | uma vez na lua azu
 14 | on the same page     | 在同一页            | zài tóng yī yè     | en la misma página | na mesma página   
 15 | break a leg          | 摔断腿             | shuāi duàn tuǐ     | romperse una piern | quebrar uma perna 
 16 | cost an arm and a le | 花费了一条胳膊和一条腿     | huā fèi le yī tiáo | cuesta un brazo y  | custou um braço e 
 17 | it was a piece of ca | 这是小菜一碟          | zhè shì xiǎo cài y | fue pan comido     | foi moleza        
 18 | this is a piece of c | 这是小菜一碟          | zhè shì xiǎo cài y | esto es pan comido | isso é moleza     
 19 | let's break the ice  | 让我们打破僵局         | ràng wǒ men dǎ pò  | rompamos el hielo  | vamos quebrar o ge
 20 | trying to break the  | 试图打破僵局          | shì tú dǎ pò jiāng | tratando de romper | tentando quebrar o
 21 | you hit the nail on  | 你说得一中要害         | nǐ shuō dé yī zhōn | diste en el clavo  | você acertou em ch
 22 | hit the nail on the  | 一语中的            | yī yǔ zhòng dì     | da en el clavo exa | acertou em cheio n
 23 | I feel under the wea | 我感觉不舒服          | wǒ gǎn jué bù shū  | Me siento mal      | Me sinto indispost
 24 | feeling under the we | 感觉不舒服           | gǎn jué bù shū fú  | sentirse mal       | sentindo-se indisp
 25 | you beat around the  | 你拐弯抹角太多了        | nǐ guǎi wān mò jiǎ | te andas con rodeo | você fez rodeios d
 26 | don't beat around th | 不要拐弯抹角          | bú yào guǎi wān mò | no te andes con ro | não faça rodeios  
 27 | let's call it a day  | 让我们今天就到此为止吧     | ràng wǒ men jīn ti | terminemos el día  | vamos encerrar o d
 28 | time to call it a da | 是时候到此为止了        | shì shí hòu dào cǐ | es hora de termina | hora de encerrar o
 29 | things got out of ha | 事情失去了控制         | shì qíng shī qù le | las cosas se salie | as coisas saíram d
 30 | situation out of han | 局势失控            | jú shì shī kòng    | situación fuera de | situação fora de c
 31 | we're in the same bo | 我们在同一条船上        | wǒ men zài tóng yī | estamos en el mism | estamos no mesmo b
 32 | all in the same boat | 都在同一条船上         | dōu zài tóng yī ti | todos en el mismo  | todos no mesmo bar
 33 | don't miss the boat  | 不要错过船           | bú yào cuò guò chu | no pierdas el barc | não perca o barco 
 34 | we miss the boat oft | 我们经常错过船         | wǒ men jīng cháng  | perdemos el tren a | muitas vezes perde
 35 | don't spill the bean | 不要泄露秘密          | bú yào xiè lòu mì  | no derrames la sop | não derrame o feij
 36 | you spill the beans  | 你很容易泄露秘密        | nǐ hěn róng yì xiè | derramas los frijo | você derrama o fei
 37 | that was the last st | 那是最后一根稻草        | nà shì zuì hòu yī  | esa fue la gota qu | essa foi a gota d'
 38 | the last straw for m | 压垮我的最后一根稻草      | yā kuǎ wǒ de zuì h | el colmo para mí   | a gota d'água para
 39 | once in a blue moon  | 千载难逢            | qiān zǎi nán féng  | sucede una vez en  | uma vez na lua azu
 40 | see him once in a bl | 难得见到他一次         | nán dé jiàn dào tā | verlo una vez en u | vejo ele uma vez n
 41 | let's get on the sam | 让我们达成共识         | ràng wǒ men dá ché | estemos en la mism | vamos entrar na me
 42 | we're on the same pa | 我们意见一致          | wǒ men yì jiàn yí  | estamos en la mism | estamos na mesma p
 43 | break a leg tonight  | 今晚摔断腿           | jīn wǎn shuāi duàn | rómpete una pierna | quebre uma perna e
 44 | they say break a leg | 他们说摔断腿          | tā men shuō shuāi  | dicen romperse una | dizem que quebre u
 45 | that will cost an ar | 这将花费一条胳膊和一条腿    | zhè jiāng huā fèi  | eso costará un ojo | isso vai custar um
 46 | it cost an arm and a | 花了一条胳膊和一条腿      | huā le yī tiáo gē  | costó un brazo y u | custou um braço e 
