PACK 112: Collocations - Other
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | pay attention        | 注意              | zhù yì             | presta atención    | preste atenção    
  3 | keep in mind         | 牢记              | láo jì             | ten en cuenta      | tenha em mente    
  4 | come to a conclusion | 得出结论            | dé chū jié lùn     | llegar a una concl | chegar a uma concl
  5 | catch a cold         | 感冒了             | gǎn mào le         | resfriarse         | pegar um resfriado
  6 | catch fire           | 着火              | zháo huǒ           | incendiarse        | pegar fogo        
  7 | miss the point       | 错过重点            | cuò guò zhòng diǎn | no entendí el punt | não entendi       
  8 | break the rules      | 违反规则            | wéi fǎn guī zé     | romper las reglas  | quebrar as regras 
  9 | break a promise      | 违背承诺            | wéi bèi chéng nuò  | romper una promesa | quebrar uma promes
 10 | break the law        | 触犯法律            | chù fàn fǎ lǜ      | violar la ley      | infringir a lei   
 11 | break a habit        | 打破习惯            | dǎ pò xí guàn      | romper un hábito   | quebrar um hábito 
 12 | save time            | 节省时间            | jié shěng shí jiān | ahorrar tiempo     | economize tempo   
 13 | save money           | 省钱              | shěng qián         | ahorrar dinero     | economizar dinheir
 14 | waste time           | 浪费时间            | làng fèi shí jiān  | perder el tiempo   | perder tempo      
 15 | spend time           | 花时间             | huā shí jiān       | pasar tiempo       | passar tempo      
 16 | kill time            | 消磨时间            | xiāo mó shí jiān   | matar el tiempo    | matar o tempo     
 17 | tell the truth       | 说实话             | shuō shí huà       | di la verdad       | diga a verdade    
 18 | tell a lie           | 说谎              | shuō huǎng         | decir una mentira  | contar uma mentira
 19 | tell a story         | 讲一个故事           | jiǎng yí gè gù shì | contar una histori | contar uma históri
 20 | tell the difference  | 说出区别            | shuō chū qū bié    | notar la diferenci | diga a diferença  
 21 | tell a joke          | 讲个笑话            | jiǎng gè xiào huà  | contar un chiste   | conte uma piada   
 22 | pay attention to     | 关注              | guān zhù           | presta atención a  | preste atenção em 
 23 | please pay attention | 请关注             | qǐng guān zhù      | por favor presta a | por favor preste a
 24 | keep in mind that    | 请记住             | qǐng jì zhù        | ten en cuenta que  | tenha em mente que
 25 | you should keep in m | 你应该记住           | nǐ yīng gāi jì zhù | debes tener en cue | você deve ter em m
 26 | come to a conclusion | 得出关于            | dé chū guān yú     | llegar a una concl | chegar a uma concl
 27 | finally come to a co | 的结论终于得出结论       | de jié lùn zhōng y | finalmente llegue  | finalmente cheguei
 28 | catch a cold easily  | 容易感冒            | róng yì gǎn mào    | resfriarse fácilme | pegar um resfriado
 29 | I might catch a cold | 我可能会感冒          | wǒ kě néng huì gǎn | Podría resfriarme  | Posso pegar um res
 30 | catch fire quickly   | 迅速着火            | xùn sù zháo huǒ    | incendiarse rápida | pegar fogo rapidam
 31 | building catch fire  | 建筑物着火           | jiàn zhù wù zháo h | edificio se incend | prédio pegou fogo 
 32 | miss the point entir | 完全没有抓住重点        | wán quán méi yǒu z | No entendí el punt | não entendi comple
 33 | you miss the point   | 你错过了重点          | nǐ cuò guò le zhòn | no entiendes el pu | você não entendeu 
 34 | break the rules ofte | 经常违反规则          | jīng cháng wéi fǎn | rompe las reglas a | quebre as regras c
 35 | don't break the rule | 不要违反规则          | bú yào wéi fǎn guī | no rompas las regl | não quebre as regr
 36 | break a promise neve | 绝不食言            | jué bù shí yán     | nunca rompas una p | quebre uma promess
 37 | never break a promis | 永不食言            | yǒng bù shí yán    | nunca rompas una p | nunca quebre uma p
 38 | break the law someti | 有时会触犯法律         | yǒu shí huì chù fà | a veces infringe l | infringir a lei às
 39 | don't break the law  | 不要触犯法律          | bú yào chù fàn fǎ  | no infrinjas la le | não infrinja a lei
 40 | break a habit today  | 今天改掉一个习惯        | jīn tiān gǎi diào  | rompe un hábito ho | quebre um hábito h
 41 | hard to break a habi | 很难改掉习惯          | hěn nán gǎi diào x | difícil romper un  | difícil quebrar um
