PACK 113: Business Basics
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | trade                | 贸易              | mào yì             | comercio           | comércio          
  3 | import               | 导入              | dǎo rù             | importar           | importar          
  4 | export               | 出口              | chū kǒu            | exportar           | exportar          
  5 | market               | 市场              | shì chǎng          | mercado            | mercado           
  6 | competition          | 竞争              | jìng zhēng         | competencia        | competição        
  7 | profit               | 利润              | lì rùn             | beneficio          | lucro             
  8 | loss                 | 损失              | sǔn shī            | pérdida            | perda             
  9 | revenue              | 收入              | shōu rù            | ingresos           | receita           
 10 | investment           | 投资              | tóu zī             | inversión          | investimento      
 11 | investor             | 投资者             | tóu zī zhě         | inversor           | investidor        
 12 | corporation          | 公司              | gōng sī            | corporación        | corporação        
 13 | enterprise           | 企业              | qǐ yè              | empresa            | empresa           
 14 | industry             | 行业              | háng yè            | industria          | indústria         
 15 | sector               | 部门              | bù mén             | sector             | setor             
 16 | consumer             | 消费者             | xiāo fèi zhě       | consumidor         | consumidor        
 17 | merchant             | 商人              | shāng rén          | comerciante        | comerciante       
 18 | wholesale            | 批发              | pī fā              | venta al por mayor | atacado           
 19 | supply               | 供应              | gōng yìng          | suministro         | fornecimento      
 20 | demand               | 需求              | xū qiú             | demanda            | demanda           
 21 | commerce             | 商业              | shāng yè           | comercio           | comércio          
 22 | free trade           | 自由贸易            | zì yóu mào yì      | libre comercio     | livre comércio    
 23 | trade agreement      | 贸易协定            | mào yì xié dìng    | acuerdo comercial  | acordo comercial  
 24 | import goods         | 进口货物            | jìn kǒu huò wù     | importar bienes    | importar mercadori
 25 | import tax           | 进口税             | jìn kǒu shuì       | impuesto de import | imposto de importa
 26 | export products      | 出口产品            | chū kǒu chǎn pǐn   | productos de expor | exportar produtos 
 27 | export business      | 出口业务            | chū kǒu yè wù      | negocio de exporta | negócio de exporta
 28 | market research      | 市场研究            | shì chǎng yán jiū  | investigación de m | pesquisa de mercad
 29 | market share         | 市场份额            | shì chǎng fèn é    | cuota de mercado   | participação de me
 30 | tough competition    | 激烈的竞争           | jī liè de jìng zhē | dura competencia   | concorrência acirr
 31 | competition between  | 之间的竞争           | zhī jiān de jìng z | competencia entre  | competição entre  
 32 | make profit          | 之间的竞争赚取利润       | zhī jiān de jìng z | obtener ganancias  | ter lucro         
 33 | profit margin        | 利润率             | lì rùn lǜ          | margen de benefici | margem de lucro   
 34 | financial loss       | 经济损失            | jīng jì sǔn shī    | pérdida financiera | perda financeira  
 35 | loss of revenue      | 收入损失            | shōu rù sǔn shī    | pérdida de ingreso | perda de receitas 
 36 | annual revenue       | 年收入             | nián shōu rù       | ingresos anuales   | receita anual     
 37 | revenue growth       | 收入增长            | shōu rù zēng zhǎng | crecimiento de los | crescimento da rec
 38 | foreign investment   | 外商投资            | wài shāng tóu zī   | inversión extranje | investimento estra
 39 | investment opportuni | 投资机会            | tóu zī jī huì      | oportunidad de inv | oportunidade de in
 40 | angel investor       | 天使投资人           | tiān shǐ tóu zī ré | inversor ángel     | investidor anjo   
 41 | investor meeting     | 投资者会议           | tóu zī zhě huì yì  | reunión de inverso | reunião de investi
 42 | large corporation    | 大公司             | dà gōng sī         | gran corporación   | grande corporação 
 43 | corporation tax      | 公司税             | gōng sī shuì       | impuesto de socied | imposto sobre as s
 44 | new enterprise       | 新企业             | xīn qǐ yè          | nueva empresa      | novo empreendiment
 45 | enterprise solution  | 企业解决方案          | qǐ yè jiě jué fāng | solución empresari | solução empresaria
 46 | tech industry        | 科技行业            | kē jì háng yè      | industria tecnológ | indústria de tecno
 47 | industry leader      | 行业领导者           | háng yè lǐng dǎo z | líder de la indust | líder do setor    
 48 | private sector       | 私营部门            | sī yíng bù mén     | sector privado     | setor privado     
 49 | public sector        | 公共部门            | gōng gòng bù mén   | sector público     | setor público     
 50 | average consumer     | 普通消费者           | pǔ tōng xiāo fèi z | consumidor medio   | consumidor médio  
 51 | consumer demand      | 消费者需求           | xiāo fèi zhě xū qi | demanda de los con | demanda do consumi
 52 | local merchant       | 当地商人            | dāng dì shāng rén  | comerciante local  | comerciante local 
 53 | merchant account     | 商家帐户            | shāng jiā zhàng hù | cuenta mercantil   | conta de comercian
 54 | wholesale price      | 批发价             | pī fā jià          | precio mayorista   | preço de atacado  
 55 | wholesale market     | 批发市场            | pī fā shì chǎng    | mercado mayorista  | mercado atacadista
 56 | supply chain         | 供应链             | gōng yìng liàn     | cadena de suminist | cadeia de abasteci
 57 | supply and demand    | 供应与需求           | gōng yìng yǔ xū qi | oferta y demanda   | oferta e procura  
 58 | high demand          | 高需求             | gāo xū qiú         | alta demanda       | alta demanda      
 59 | demand for           | 需求              | xū qiú             | demanda de         | demanda por       
 60 | e-commerce business  | 电子商务业务          | diàn zi shāng wù y | negocio de comerci | negócio de comérci
 61 | commerce platform    | 商务平台            | shāng wù píng tái  | plataforma de come | plataforma de comé
