PACK 117: Biology Basics
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | cell                 | 细胞              | xì bāo             | celda              | célula            
  3 | DNA                  | 脱氧核糖核酸          | tuō yǎng hé táng h | ADN                | ADN               
  4 | gene                 | 基因              | jī yīn             | gen                | gene              
  5 | evolution            | 进化              | jìn huà            | evolución          | evolução          
  6 | species              | 物种              | wù zhǒng           | especies           | espécies          
  7 | organism             | 有机体             | yǒu jī tǐ          | organismo          | organismo         
  8 | bacteria             | 细菌              | xì jūn             | bacterias          | bactérias         
  9 | virus                | 病毒              | bìng dú            | virus              | vírus             
 10 | immune system        | 免疫系统            | miǎn yì xì tǒng    | sistema inmunológi | sistema imunológic
 11 | protein              | 蛋白质             | dàn bái zhì        | proteína           | proteína          
 12 | tissue               | 组织              | zǔ zhī             | tejido             | tecido            
 13 | organ                | 器官              | qì guān            | órgano             | órgão             
 14 | reproduce            | 繁殖              | fán zhí            | reproducir         | reproduzir        
 15 | adapt                | 适应              | shì yìng           | adaptarse          | adaptar           
 16 | biodiversity         | 生物多样性           | shēng wù duō yàng  | biodiversidad      | biodiversidade    
 17 | extinct              | 灭绝              | miè jué            | extinto            | extinto           
 18 | mutation             | 突变              | tū biàn            | mutación           | mutação           
 19 | food chain           | 食物链             | shí wù liàn        | cadena alimentaria | cadeia alimentar  
 20 | habitat              | 栖息地             | qī xī dì           | hábitat            | habitat           
 21 | chromosome           | 染色体             | rǎn sè tǐ          | cromosoma          | cromossomo        
 22 | blood cell           | 血细胞             | xuè xì bāo         | glóbulo            | célula sanguínea  
 23 | cell division        | 细胞分裂            | xì bāo fēn liè     | división celular   | divisão celular   
 24 | DNA test             | DNA测试           | DNA cè shì         | Prueba de ADN      | Teste de ADN      
 25 | DNA sequence         | DNA序列           | DNA xù liè         | Secuencia de ADN   | Sequência de DNA  
 26 | gene therapy         | 基因治疗            | jī yīn zhì liáo    | terapia génica     | terapia genética  
 27 | gene expression      | 基因表达            | jī yīn biǎo dá     | expresión genética | expressão genética
 28 | human evolution      | 人类进化            | rén lèi jìn huà    | evolución humana   | evolução humana   
 29 | evolution theory     | 进化论             | jìn huà lùn        | teoría de la evolu | teoria da evolução
 30 | endangered species   | 濒危物种            | bīn wēi wù zhǒng   | especies en peligr | espécies ameaçadas
 31 | species diversity    | 物种多样性           | wù zhǒng duō yàng  | diversidad de espe | diversidade de esp
 32 | living organism      | 生物体             | shēng wù tǐ        | organismo vivo     | organismo vivo    
 33 | organism growth      | 有机体生长           | yǒu jī tǐ shēng zh | crecimiento del or | crescimento do org
 34 | harmful bacteria     | 有害细菌            | yǒu hài xì jūn     | bacterias dañinas  | bactérias nocivas 
 35 | bacteria infection   | 细菌感染            | xì jūn gǎn rǎn     | infección bacteria | infecção bacterian
 36 | flu virus            | 流感病毒            | liú gǎn bìng dú    | virus de la gripe  | vírus da gripe    
 37 | virus spread         | 病毒传播            | bìng dú chuán bō   | propagación del vi | propagação do víru
 38 | strong immune system | 强大的免疫系统         | qiáng dà de miǎn y | sistema inmunológi | sistema imunológic
 39 | immune system respon | 免疫系统反应          | miǎn yì xì tǒng fǎ | respuesta del sist | resposta do sistem
 40 | protein synthesis    | 蛋白质合成           | dàn bái zhì hé ché | síntesis de proteí | síntese de proteín
 41 | protein structure    | 蛋白质结构           | dàn bái zhì jié gò | estructura proteic | estrutura da prote
 42 | muscle tissue        | 肌肉组织            | jī ròu zǔ zhī      | tejido muscular    | tecido muscular   
 43 | tissue sample        | 组织样本            | zǔ zhī yàng běn    | muestra de tejido  | amostra de tecido 
 44 | vital organ          | 重要器官            | zhòng yào qì guān  | órgano vital       | órgão vital       
 45 | organ transplant     | 器官移植            | qì guān yí zhí     | trasplante de órga | transplante de órg
 46 | reproduce quickly    | 快速繁殖            | kuài sù fán zhí    | reproducirse rápid | reproduzir rapidam
 47 | reproduce offspring  | 繁衍后代            | fán yǎn hòu dài    | reproducir descend | reproduzir descend
 48 | adapt to             | 适应              | shì yìng           | adaptarse a        | adaptar-se a      
 49 | adapt easily         | 轻松适应            | qīng sōng shì yìng | adaptarse fácilmen | adapte-se facilmen
 50 | preserve biodiversit | 保护生物多样性         | bǎo hù shēng wù du | preservar la biodi | preservar a biodiv
 51 | biodiversity loss    | 生物多样性丧失         | shēng wù duō yàng  | pérdida de biodive | perda de biodivers
 52 | become extinct       | 灭绝              | miè jué            | extinguirse        | extinguir-se      
 53 | extinct species      | 灭绝的物种           | miè jué de wù zhǒn | especies extintas  | espécies extintas 
 54 | genetic mutation     | 基因突变            | jī yīn tū biàn     | mutación genética  | mutação genética  
 55 | mutation rate        | 突变率             | tū biàn lǜ         | tasa de mutación   | taxa de mutação   
 56 | food chain disruptio | 食物链中断           | shí wù liàn zhōng  | alteración de la c | perturbação da cad
 57 | top of food chain    | 食物链顶端           | shí wù liàn dǐng d | cima de la cadena  | topo da cadeia ali
 58 | natural habitat      | 自然栖息地           | zì rán qī xī dì    | hábitat natural    | habitat natural   
 59 | habitat destruction  | 栖息地破坏           | qī xī dì pò huài   | destrucción del há | destruição de habi
 60 | human chromosome     | 人类染色体           | rén lèi rǎn sè tǐ  | cromosoma humano   | cromossomo humano 
 61 | chromosome pair      | 染色体对            | rǎn sè tǐ duì      | par de cromosomas  | par de cromossomos
