PACK 119: Health & Wellness
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | health               | 健康              | jiàn kāng          | salud              | saúde             
  3 | wellness             | 健康              | jiàn kāng          | bienestar          | bem-estar         
  4 | symptom              | 症状              | zhèng zhuàng       | síntoma            | sintoma           
  5 | diagnosis            | 诊断              | zhěn duàn          | diagnóstico        | diagnóstico       
  6 | therapy              | 治疗              | zhì liáo           | terapia            | terapia           
  7 | surgery              | 手术              | shǒu shù           | cirugía            | cirurgia          
  8 | treatment            | 治疗              | zhì liáo           | tratamiento        | tratamento        
  9 | chronic              | 慢性              | màn xìng           | crónica            | crônica           
 10 | acute                | 急性              | jí xìng            | agudo              | agudo             
 11 | illness              | 疾病              | jí bìng            | enfermedad         | doença            
 12 | disease              | 疾病              | jí bìng            | enfermedad         | doença            
 13 | recovery             | 恢复              | huī fù             | recuperación       | recuperação       
 14 | immune               | 免疫              | miǎn yì            | inmune             | imune             
 15 | infection            | 感染              | gǎn rǎn            | infección          | infecção          
 16 | medication           | 药物              | yào wù             | medicación         | medicação         
 17 | dosage               | 剂量              | jì liàng           | dosis              | dosagem           
 18 | allergic             | 过敏              | guò mǐn            | alérgico           | alérgico          
 19 | condition            | 条件              | tiáo jiàn          | condición          | condição          
 20 | prevention           | 预防              | yù fáng            | prevención         | prevenção         
 21 | rehabilitation       | 康复              | kāng fù            | rehabilitación     | reabilitação      
 22 | good health          | 身体健康            | shēn tǐ jiàn kāng  | buena salud        | boa saúde         
 23 | health benefits      | 健康益处            | jiàn kāng yì chù   | beneficios para la | benefícios para a 
 24 | wellness program     | 健康计划            | jiàn kāng jì huà   | programa de bienes | programa de bem-es
 25 | wellness check       | 健康检查            | jiàn kāng jiǎn chá | control de bienest | verificação de bem
 26 | common symptom       | 常见症状            | cháng jiàn zhèng z | síntoma común      | sintoma comum     
 27 | symptom of           | 的症状             | de zhèng zhuàng    | síntoma de         | sintoma de        
 28 | early diagnosis      | 早期诊断            | zǎo qī zhěn duàn   | diagnóstico precoz | diagnóstico precoc
 29 | diagnosis confirmed  | 确诊              | què zhěn           | diagnóstico confir | diagnóstico confir
 30 | physical therapy     | 物理治疗            | wù lǐ zhì liáo     | fisioterapia       | fisioterapia      
 31 | therapy session      | 治疗疗程            | zhì liáo liáo chén | sesión de terapia  | sessão de terapia 
 32 | undergo surgery      | 接受手术            | jiē shòu shǒu shù  | someterse a una ci | submeter-se a uma 
 33 | surgery recovery     | 手术恢复            | shǒu shù huī fù    | recuperación de la | recuperação cirúrg
 34 | medical treatment    | 医疗              | yī liáo            | tratamiento médico | tratamento médico 
 35 | treatment plan       | 治疗计划            | zhì liáo jì huà    | plan de tratamient | plano de tratament
 36 | chronic pain         | 慢性疼痛            | màn xìng téng tòng | dolor crónico      | dor crônica       
 37 | chronic condition    | 慢性病             | màn xìng bìng      | condición crónica  | condição crônica  
 38 | acute pain           | 急性疼痛            | jí xìng téng tòng  | dolor agudo        | dor aguda         
 39 | acute illness        | 急性疾病            | jí xìng jí bìng    | enfermedad aguda   | doença aguda      
 40 | serious illness      | 重病              | zhòng bìng         | enfermedad grave   | doença grave      
 41 | recover from illness | 病愈              | bìng yù            | recuperarse de una | recuperar de uma d
 42 | heart disease        | 心脏病             | xīn zàng bìng      | enfermedad cardíac | doença cardíaca   
 43 | disease prevention   | 疾病预防            | jí bìng yù fáng    | prevención de enfe | prevenção de doenç
 44 | full recovery        | 完全恢复            | wán quán huī fù    | recuperación compl | recuperação total 
 45 | recovery time        | 恢复时间            | huī fù shí jiān    | tiempo de recupera | tempo de recuperaç
 46 | immune response      | 免疫反应            | miǎn yì fǎn yìng   | respuesta inmune   | resposta imunológi
 47 | immune to            | 免疫              | miǎn yì            | inmune a           | imune a           
 48 | bacterial infection  | 细菌感染            | xì jūn gǎn rǎn     | infección bacteria | infecção bacterian
 49 | infection spread     | 感染传播            | gǎn rǎn chuán bō   | propagación de la  | propagação da infe
 50 | take medication      | 吃药              | chī yào            | tomar medicamentos | tomar remédio     
 51 | medication side effe | 药物副作用           | yào wù fù zuò yòng | efectos secundario | efeitos colaterais
 52 | recommended dosage   | 推荐剂量            | tuī jiàn jì liàng  | dosis recomendada  | dosagem recomendad
 53 | dosage instructions  | 剂量说明            | jì liàng shuō míng | instrucciones de d | instruções de dosa
 54 | allergic reaction    | 过敏反应            | guò mǐn fǎn yìng   | reacción alérgica  | reação alérgica   
 55 | allergic to          | 对某物过敏           | duì mǒu wù guò mǐn | alérgico a         | alérgico a        
 56 | medical condition    | 医疗状况            | yī liáo zhuàng kuà | condición médica   | condição médica   
 57 | condition worsened   | 病情恶化            | bìng qíng è huà    | la condición empeo | condição piorou   
 58 | crime prevention     | 预防犯罪            | yù fáng fàn zuì    | prevención del del | prevenção da crimi
 59 | prevention is key    | 预防是关键           | yù fáng shì guān j | la prevención es c | a prevenção é fund
 60 | physical rehabilitat | 身体康复            | shēn tǐ kāng fù    | rehabilitación fís | reabilitação físic
 61 | rehabilitation cente | 康复中心            | kāng fù zhōng xīn  | centro de rehabili | centro de reabilit
