PACK 121: Technology Advanced
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | artificial intellige | 人工智能            | rén gōng zhì néng  | inteligencia artif | inteligência artif
  3 | algorithm            | 算法              | suàn fǎ            | algoritmo          | algoritmo         
  4 | automation           | 自动化             | zì dòng huà        | automatización     | automação         
  5 | robot                | 机器人             | jī qì rén          | robots             | robô              
  6 | robotics             | 机器人技术           | jī qì rén jì shù   | robótica           | robótica          
  7 | cloud computing      | 云计算             | yún jì suàn        | computación en la  | computação em nuve
  8 | virtual reality      | 虚拟现实            | xū nǐ xiàn shí     | realidad virtual   | realidade virtual 
  9 | machine learning     | 机器学习            | jī qì xué xí       | aprendizaje automá | aprendizado de máq
 10 | blockchain           | 区块链             | qū kuài liàn       | cadena de bloques  | blockchain        
 11 | cryptocurrency       | 加密货币            | jiā mì huò bì      | criptomoneda       | criptomoeda       
 12 | encryption           | 加密              | jiā mì             | cifrado            | criptografia      
 13 | cybersecurity        | 网络安全            | wǎng luò ān quán   | ciberseguridad     | cibersegurança    
 14 | drone                | 无人机             | wú rén jī          | dron               | drone             
 15 | sensor               | 传感器             | chuán gǎn qì       | sensor             | sensor            
 16 | big data             | 大数据             | dà shù jù          | grandes datos      | grandes dados     
 17 | neural network       | 神经网络            | shén jīng wǎng luò | red neuronal       | rede neural       
 18 | startup              | 启动              | qǐ dòng            | inicio             | inicialização     
 19 | database             | 数据库             | shù jù kù          | base de datos      | banco de dados    
 20 | interface            | 接口              | jiē kǒu            | interfaz           | interface         
 21 | platform             | 平台              | píng tái           | plataforma         | plataforma        
 22 | artificial intellige | 人工智能研究          | rén gōng zhì néng  | investigación de i | investigação em in
 23 | use artificial intel | 使用人工智能          | shǐ yòng rén gōng  | utilizar inteligen | usar inteligência 
 24 | search algorithm     | 搜索算法            | sōu suǒ suàn fǎ    | algoritmo de búsqu | algoritmo de busca
 25 | algorithm design     | 算法设计            | suàn fǎ shè jì     | diseño de algoritm | projeto de algorit
 26 | home automation      | 家庭自动化           | jiā tíng zì dòng h | domótica           | automação residenc
 27 | automation system    | 自动化系统           | zì dòng huà xì tǒn | sistema de automat | sistema de automaç
 28 | industrial robot     | 工业机器人           | gōng yè jī qì rén  | robots industriale | robô industrial   
 29 | robot arm            | 机器人手臂           | jī qì rén shǒu bì  | brazo robótico     | braço robótico    
 30 | study robotics       | 研究机器人技术         | yán jiū jī qì rén  | estudiar robótica  | estudar robótica  
 31 | robotics engineering | 机器人工程           | jī qì rén gōng ché | ingeniería robótic | engenharia robótic
 32 | cloud computing serv | 云计算服务           | yún jì suàn fú wù  | servicios de compu | serviços de comput
 33 | use cloud computing  | 使用云计算           | shǐ yòng yún jì su | utilizar la comput | usar computação em
 34 | virtual reality head | 虚拟现实耳机          | xū nǐ xiàn shí ěr  | casco de realidad  | fone de ouvido de 
 35 | virtual reality expe | 虚拟现实体验          | xū nǐ xiàn shí tǐ  | experiencia de rea | experiência de rea
 36 | machine learning mod | 机器学习模型          | jī qì xué xí mó xí | modelo de aprendiz | modelo de aprendiz
 37 | machine learning alg | 机器学习算法          | jī qì xué xí suàn  | algoritmo de apren | algoritmo de apren
 38 | blockchain technolog | 区块链技术           | qū kuài liàn jì sh | tecnología blockch | tecnologia blockch
 39 | blockchain network   | 区块链网络           | qū kuài liàn wǎng  | red blockchain     | rede blockchain   
 40 | buy cryptocurrency   | 购买加密货币          | gòu mǎi jiā mì huò | comprar criptomone | comprar criptomoed
 41 | cryptocurrency marke | 加密货币市场          | jiā mì huò bì shì  | mercado de criptom | mercado de criptom
 42 | data encryption      | 数据加密            | shù jù jiā mì      | cifrado de datos   | criptografia de da
 43 | encryption key       | 加密密钥            | jiā mì mì yào      | clave de cifrado   | chave de criptogra
 44 | cybersecurity threat | 网络安全威胁          | wǎng luò ān quán w | amenaza a la ciber | ameaça à cibersegu
 45 | cybersecurity expert | 网络安全专家          | wǎng luò ān quán z | experto en ciberse | especialista em se
 46 | delivery drone       | 送货无人机           | sòng huò wú rén jī | dron de reparto    | drone de entrega  
 47 | drone footage        | 无人机镜头           | wú rén jī jìng tóu | imágenes de drones | filmagem de drone 
 48 | motion sensor        | 运动传感器           | yùn dòng chuán gǎn | sensor de movimien | sensor de moviment
 49 | sensor data          | 传感器数据           | chuán gǎn qì shù j | datos del sensor   | dados do sensor   
 50 | big data analytics   | 大数据分析           | dà shù jù fēn xī   | análisis de big da | análise de big dat
 51 | analyze big data     | 分析大数据           | fēn xī dà shù jù   | analizar big data  | analisar big data 
 52 | neural network train | 神经网络训练          | shén jīng wǎng luò | entrenamiento de r | treinamento de red
 53 | neural network model | 神经网络模型          | shén jīng wǎng luò | modelo de red neur | modelo de rede neu
 54 | tech startup         | 科技初创公司          | kē jì chū chuàng g | startup tecnológic | startup de tecnolo
 55 | startup company      | 创业公司            | chuàng yè gōng sī  | empresa de nueva c | empresa iniciante 
 56 | access database      | 访问数据库           | fǎng wèn shù jù kù | acceder a la base  | acessar banco de d
 57 | database management  | 数据库管理           | shù jù kù guǎn lǐ  | gestión de bases d | gerenciamento de b
 58 | user interface       | 用户界面            | yòng hù jiè miàn   | interfaz de usuari | interface do usuár
 59 | interface design     | 界面设计            | jiè miàn shè jì    | diseño de interfaz | design de interfac
 60 | online platform      | 线上平台            | xiàn shàng píng tá | plataforma en líne | plataforma on-line
 61 | platform update      | 平台更新            | píng tái gēng xīn  | actualización de l | atualização da pla
