PACK 129: Literature
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | literary             | 文学              | wén xué            | literario          | literário         
  3 | narrative            | 叙述              | xù shù             | narrativa          | narrativa         
  4 | theme                | 主题              | zhǔ tí             | tema               | tema              
  5 | symbol               | 符号              | fú hào             | símbolo            | símbolo           
  6 | metaphor             | 比喻              | bǐ yù              | metáfora           | metáfora          
  7 | simile               | 明喻              | míng yù            | símil              | comparação        
  8 | protagonist          | 主角              | zhǔ jué            | protagonista       | protagonista      
  9 | antagonist           | 对手              | duì shǒu           | antagonista        | antagonista       
 10 | setting              | 设置              | shè zhì            | ajuste             | configuração      
 11 | dialogue             | 对话              | duì huà            | diálogo            | diálogo           
 12 | tone                 | 语气              | yǔ qì              | tono               | tom               
 13 | style                | 风格              | fēng gé            | estilo             | estilo            
 14 | poetry               | 诗               | shī                | poesía             | poesia            
 15 | prose                | 散文              | sǎn wén            | prosa              | prosa             
 16 | imagery              | 图像              | tú xiàng           | imágenes           | imagens           
 17 | allegory             | 寓言              | yù yán             | alegoría           | alegoria          
 18 | irony                | 讽刺              | fěng cì            | ironía             | ironia            
 19 | satire               | 讽刺              | fěng cì            | sátira             | sátira            
 20 | verse                | 诗句              | shī jù             | verso              | verso             
 21 | stanza               | 节               | jié                | estrofa            | estrofe           
 22 | literary analysis    | 文学分析            | wén xué fēn xī     | análisis literario | análise literária 
 23 | literary work        | 文学作品            | wén xué zuò pǐn    | obra literaria     | obra literária    
 24 | first-person narrati | 第一人称叙述          | dì yī rén chēng xù | narrativa en prime | narrativa em prime
 25 | narrative structure  | 叙事结构            | xù shì jié gòu     | estructura narrati | estrutura narrativ
 26 | central theme        | 中心主题            | zhōng xīn zhǔ tí   | tema central       | tema central      
 27 | theme of             | 的主题             | de zhǔ tí          | tema de            | tema de           
 28 | powerful symbol      | 强大的象征           | qiáng dà de xiàng  | símbolo poderoso   | símbolo poderoso  
 29 | symbol of            | 的符号             | de fú hào          | símbolo de         | símbolo de        
 30 | use metaphor         | 使用隐喻            | shǐ yòng yǐn yù    | usar metáfora      | usar metáfora     
 31 | metaphor for         | 的隐喻             | de yǐn yù          | metáfora de        | metáfora para     
 32 | use simile           | 使用明喻            | shǐ yòng míng yù   | usar símil         | usar comparação   
 33 | simile comparing     | 比喻比较            | bǐ yù bǐ jiào      | comparación de sím | comparação compara
 34 | main protagonist     | 主要主角            | zhǔ yào zhǔ jué    | protagonista princ | protagonista princ
 35 | protagonist of       | 的主角             | de zhǔ jué         | protagonista de    | protagonista de   
 36 | main antagonist      | 主要反派            | zhǔ yào fǎn pài    | antagonista princi | antagonista princi
 37 | antagonist in        | 中的对手            | zhōng de duì shǒu  | antagonista en     | antagonista em    
 38 | story setting        | 故事设定            | gù shì shè dìng    | ambientación de la | cenário da históri
 39 | setting of           | 的设置             | de shè zhì         | configuración de   | configuração de   
 40 | write dialogue       | 写对话             | xiě duì huà        | escribir diálogo   | escrever diálogo  
 41 | dialogue between     | 之间的对话           | zhī jiān de duì hu | diálogo entre      | diálogo entre     
 42 | serious tone         | 严肃的语气           | yán sù de yǔ qì    | tono serio         | tom sério         
 43 | tone of voice        | 语气              | yǔ qì              | tono de voz        | tom de voz        
 44 | writing style        | 写作风格            | xiě zuò fēng gé    | estilo de escritur | estilo de escrita 
 45 | style guide          | 风格指南            | fēng gé zhǐ nán    | guía de estilo     | guia de estilo    
 46 | write poetry         | 写诗              | xiě shī            | escribir poesía    | escrever poesia   
 47 | poetry collection    | 诗集              | shī jí             | colección de poesí | coleção de poesia 
 48 | prose writing        | 散文写作            | sǎn wén xiě zuò    | escritura en prosa | escrita em prosa  
 49 | prose style          | 散文风格            | sǎn wén fēng gé    | estilo de prosa    | estilo prosa      
 50 | vivid imagery        | 生动形象            | shēng dòng xíng xi | imágenes vívidas   | imagens vívidas   
 51 | imagery in           | 中的图像            | zhōng de tú xiàng  | imágenes en        | imagens em        
 52 | political allegory   | 政治寓言            | zhèng zhì yù yán   | alegoría política  | alegoria política 
 53 | allegory of          | 的寓言             | de yù yán          | alegoría de        | alegoria de       
 54 | dramatic irony       | 戏剧性的讽刺          | xì jù xìng de fěng | ironía dramática   | ironia dramática  
 55 | irony in             | 中的讽刺            | zhōng de fěng cì   | ironía en          | ironia em         
 56 | political satire     | 政治讽刺            | zhèng zhì fěng cì  | sátira política    | sátira política   
 57 | satire on            | 对某物的讽刺          | duì mǒu wù de fěng | sátira sobre       | sátira em         
 58 | poetic verse         | 诗句              | shī jù             | verso poético      | verso poético     
 59 | verse form           | 诗句形式            | shī jù xíng shì    | forma de verso     | forma de verso    
 60 | final stanza         | 最后一节            | zuì hòu yī jié     | estrofa final      | estrofe final     
 61 | stanza of            | 的节              | de jié             | estrofa de         | estrofe de        
