PACK 134: Formal Vocabulary 4
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | criteria             | 标准              | biāo zhǔn          | criterios          | critérios         
  3 | crucial              | 至关重要            | zhì guān zhòng yào | crucial            | crucial           
  4 | derive               | 导出              | dǎo chū            | derivar            | derivar           
  5 | detect               | 检测              | jiǎn cè            | detectar           | detectar          
  6 | devote               | 奉献              | fèng xiàn          | dedicar            | dedicar           
  7 | distinct             | 独特              | dú tè              | distinto           | distinto          
  8 | domain               | 域名              | yù míng            | dominio            | domínio           
  9 | redact               | 编辑              | biān jí            | redactar           | redigir           
 10 | duration             | 持续时间            | chí xù shí jiān    | duración           | duração           
 11 | eliminate            | 消除              | xiāo chú           | eliminar           | eliminar          
 12 | emerge               | 出现              | chū xiàn           | emerger            | surgir            
 13 | enable               | 启用              | qǐ yòng            | habilitar          | habilitar         
 14 | encounter            | 遭遇              | zāo yù             | encuentro          | encontro          
 15 | enormous             | 巨大              | jù dà              | enorme             | enorme            
 16 | ensure               | 确保              | què bǎo            | asegurar           | garantir          
 17 | entity               | 实体              | shí tǐ             | entidad            | entidade          
 18 | equivalent           | 等价              | děng jià           | equivalente        | equivalente       
 19 | evolve               | 进化              | jìn huà            | evolucionar        | evoluir           
 20 | exceed               | 超过              | chāo guò           | exceder            | exceder           
 21 | exclude              | 排除              | pái chú            | excluir            | excluir           
 22 | selection criteria   | 选择标准            | xuǎn zé biāo zhǔn  | criterios de selec | critérios de seleç
 23 | criteria for         | 的标准             | de biāo zhǔn       | criterios para     | critérios para    
 24 | crucial step         | 关键一步            | guān jiàn yī bù    | paso crucial       | etapa crucial     
 25 | crucial role         | 至关重要的作用         | zhì guān zhòng yào | papel crucial      | papel crucial     
 26 | derive from          | 源自              | yuán zì            | derivar de         | deriva de         
 27 | derive meaning       | 衍生意义            | yǎn shēng yì yì    | derivar significad | derivar significad
 28 | detect problems      | 检测问题            | jiǎn cè wèn tí     | detectar problemas | detectar problemas
 29 | detect early         | 及早发现            | jí zǎo fā xiàn     | detectar temprano  | detectar precoceme
 30 | devote time          | 投入时间            | tóu rù shí jiān    | dedicar tiempo     | dedicar tempo     
 31 | devote resources     | 投入资源            | tóu rù zī yuán     | dedicar recursos   | dedicar recursos  
 32 | distinct difference  | 明显差异            | míng xiǎn chā yì   | diferencia clara   | diferença distinta
 33 | distinct from        | 与某物不同           | yǔ mǒu wù bù tóng  | distinto de        | distinto de       
 34 | public domain        | 公共领域            | gōng gòng lǐng yù  | dominio público    | domínio público   
 35 | domain expertise     | 领域专业知识          | lǐng yù zhuān yè z | experiencia en el  | especialização no 
 36 | redact information   | 编辑信息            | biān jí xìn xī     | redactar informaci | redigir informaçõe
 37 | redact names         | 编辑姓名            | biān jí xìng míng  | redactar nombres   | redigir nomes     
 38 | project duration     | 项目工期            | xiàng mù gōng qī   | duración del proye | duração do projeto
 39 | duration of          | 的持续时间           | de chí xù shí jiān | duración de        | duração de        
 40 | eliminate waste      | 消除浪费            | xiāo chú làng fèi  | eliminar residuos  | eliminar desperdíc
 41 | eliminate risk       | 消除风险            | xiāo chú fēng xiǎn | eliminar el riesgo | eliminar riscos   
 42 | emerge from          | 从某处中出现          | cóng mǒu chù zhōng | emerger de         | emerge de         
 43 | emerge as            | 出现为             | chū xiàn wèi       | emerger como       | emerge como       
 44 | enable access        | 启用访问            | qǐ yòng fǎng wèn   | habilitar el acces | ativar o acesso   
 45 | enable users         | 启用用户            | qǐ yòng yòng hù    | habilitar usuarios | habilitar usuários
 46 | encounter problems   | 遇到问题            | yù dào wèn tí      | encontrar problema | encontrar problema
 47 | encounter difficulti | 遇到困难            | yù dào kùn nán     | encontrar dificult | encontram dificuld
 48 | enormous amount      | 数量巨大            | shù liàng jù dà    | enorme cantidad    | quantidade enorme 
 49 | enormous pressure    | 巨大的压力           | jù dà de yā lì     | enorme presión     | pressão enorme    
 50 | ensure quality       | 保证质量            | bǎo zhèng zhì liàn | garantizar la cali | garantir a qualida
 51 | ensure safety        | 确保安全            | què bǎo ān quán    | garantizar la segu | garantir a seguran
 52 | legal entity         | 法人实体            | fǎ rén shí tǐ      | entidad jurídica   | pessoa jurídica   
 53 | business entity      | 商业实体            | shāng yè shí tǐ    | entidad comercial  | entidade empresari
 54 | roughly equivalent   | 大致相当            | dà zhì xiāng dāng  | aproximadamente eq | aproximadamente eq
 55 | equivalent to        | 相当于             | xiāng dāng yú      | equivalente a      | equivalente a     
 56 | evolve over time     | 随着时间的推移而演变      | suí zhe shí jiān d | evolucionar con el | evolui com o tempo
 57 | evolve into          | 演变成             | yǎn biàn chéng     | evolucionar hacia  | evoluir para      
 58 | exceed expectations  | 超出预期            | chāo chū yù qī     | superar las expect | superar as expecta
 59 | exceed limit         | 超出限制            | chāo chū xiàn zhì  | exceder el límite  | exceder o limite  
 60 | exclude from         | 从某处中排除          | cóng mǒu chù zhōng | excluir de         | excluir de        
 61 | exclude possibility  | 排除可能性           | pái chú kě néng xì | excluir posibilida | excluir possibilid
