PACK 138: Everyday Legal
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | agreement            | 协议              | xié yì             | acuerdo            | acordo            
  3 | advice               | 建议              | jiàn yì            | consejo            | conselhos         
  4 | testimony            | 见证              | jiàn zhèng         | testimonio         | testemunho        
  5 | evidence             | 证据              | zhèng jù           | evidencia          | evidências        
  6 | dispute              | 争议              | zhēng yì           | disputa            | disputa           
  7 | allegation           | 指控              | zhǐ kòng           | alegación          | alegação          
  8 | negligence           | 疏忽              | shū hū             | negligencia        | negligência       
  9 | jury                 | 陪审团             | péi shěn tuán      | jurado             | júri              
 10 | adjudication         | 裁决              | cái jué            | adjudicación       | julgamento        
 11 | plaintiff            | 原告              | yuán gào           | demandante         | demandante        
 12 | defendant            | 被告              | bèi gào            | demandado          | réu               
 13 | prosecution          | 起诉              | qǐ sù              | procesamiento      | acusação          
 14 | appeal               | 上诉              | shàng sù           | apelación          | recurso           
 15 | acquittal            | 无罪释放            | wú zuì shì fàng    | absolución         | absolvição        
 16 | injunction           | 禁令              | jìn lìng           | orden judicial     | liminar           
 17 | deposition           | 沉积              | chén jī            | deposición         | deposição         
 18 | litigation           | 诉讼              | sù sòng            | litigio            | litígio           
 19 | arbitration          | 仲裁              | zhòng cái          | arbitraje          | arbitragem        
 20 | tort                 | 侵权              | qīn quán           | agravio            | ato ilícito       
 21 | indictment           | 起诉书             | qǐ sù shū          | acusación          | acusação          
 22 | legal agreement      | 法律协议            | fǎ lǜ xié yì       | acuerdo legal      | acordo jurídico   
 23 | agreement between    | 之间的协议           | zhī jiān de xié yì | acuerdo entre      | acordo entre      
 24 | legal advice         | 法律咨询            | fǎ lǜ zī xún       | asesoramiento jurí | assessoria jurídic
 25 | seek advice          | 寻求建议            | xún qiú jiàn yì    | buscar consejo     | procure aconselham
 26 | give testimony       | 作证              | zuò zhèng          | dar testimonio     | dar testemunho    
 27 | testimony from       | 来自某人的证词         | lái zì mǒu rén de  | testimonio de      | depoimento de     
 28 | present evidence     | 出示证据            | chū shì zhèng jù   | presentar pruebas  | apresentar provas 
 29 | evidence of          | 的证据             | de zhèng jù        | evidencia de       | evidência de      
 30 | legal dispute        | 法律纠纷            | fǎ lǜ jiū fēn      | disputa legal      | disputa judicial  
 31 | dispute resolution   | 争议解决            | zhēng yì jiě jué   | resolución de disp | resolução de litíg
 32 | serious allegation   | 严重指控            | yán zhòng zhǐ kòng | acusación grave    | alegação grave    
 33 | allegation of        | 的指控             | de zhǐ kòng        | alegación de       | alegação de       
 34 | criminal negligence  | 刑事过失            | xíng shì guò shī   | negligencia crimin | negligência crimin
 35 | negligence claim     | 疏忽索赔            | shū hū suǒ péi     | demanda por neglig | alegação de neglig
 36 | jury trial           | 陪审团审判           | péi shěn tuán shěn | juicio con jurado  | julgamento com júr
 37 | jury verdict         | 陪审团裁决           | péi shěn tuán cái  | veredicto del jura | Veredicto do júri 
 38 | final adjudication   | 最终裁决            | zuì zhōng cái jué  | sentencia final    | julgamento final  
 39 | adjudication process | 裁决过程            | cái jué guò chéng  | proceso de adjudic | processo de adjudi
 40 | original plaintiff   | 原告              | yuán gào           | demandante origina | autor original    
 41 | plaintiff claims     | 原告索赔            | yuán gào suǒ péi   | reclamaciones del  | reivindicações do 
 42 | criminal defendant   | 刑事被告人           | xíng shì bèi gào r | acusado penal      | réu criminal      
 43 | defendant argued     | 被告辩称            | bèi gào biàn chēng | el acusado argumen | réu argumentou    
 44 | criminal prosecution | 刑事起诉            | xíng shì qǐ sù     | procesamiento pena | processo criminal 
 45 | prosecution witness  | 检方证人            | jiǎn fāng zhèng ré | testigo de cargo   | testemunha de acus
 46 | file appeal          | 提出上诉            | tí chū shàng sù    | presentar recurso  | interpor recurso  
 47 | appeal process       | 上诉程序            | shàng sù chéng xù  | proceso de apelaci | processo de recurs
 48 | jury acquittal       | 陪审团无罪释放         | péi shěn tuán wú z | absolución del jur | absolvição do júri
 49 | acquittal of         | 的无罪释放           | de wú zuì shì fàng | absolución de      | absolvição de     
 50 | court injunction     | 法院禁令            | fǎ yuàn jìn lìng   | orden judicial     | liminar           
 51 | injunction against   | 针对某人的禁令         | zhēn duì mǒu rén d | orden judicial con | liminar contra    
 52 | legal deposition     | 法律作证            | fǎ lǜ zuò zhèng    | deposición legal   | depoimento judicia
 53 | deposition testimony | 证词作证            | zhèng cí zuò zhèng | testimonio de depo | depoimento de depo
 54 | ongoing litigation   | 正在进行的诉讼         | zhèng zài jìn xíng | litigio en curso   | litígio em curso  
 55 | litigation costs     | 诉讼费用            | sù sòng fèi yòng   | costas del litigio | custos de litígio 
 56 | binding arbitration  | 具有约束力的仲裁        | jù yǒu yuē shù lì  | arbitraje vinculan | arbitragem vincula
 57 | arbitration clause   | 仲裁条款            | zhòng cái tiáo kuǎ | cláusula de arbitr | cláusula compromis
 58 | civil tort           | 民事侵权            | mín shì qīn quán   | agravio civil      | delito civil      
 59 | tort law             | 侵权法             | qīn quán fǎ        | ley de daños       | direito civil     
 60 | criminal indictment  | 刑事起诉书           | xíng shì qǐ sù shū | acusación penal    | acusação criminal 
 61 | indictment against   | 起诉书             | qǐ sù shū          | acusación contra   | acusação contra   
