PACK 139: Everyday Medical
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | clinic               | 诊所              | zhěn suǒ           | clínica            | clínica           
  3 | insurance            | 保险              | bǎo xiǎn           | seguro             | seguro            
  4 | ambulance            | 救护车             | jiù hù chē         | ambulancia         | ambulância        
  5 | checkup              | 检查              | jiǎn chá           | chequeo            | check-up          
  6 | blood                | 血               | xuè                | sangre             | sangue            
  7 | injection            | 注射              | zhù shè            | inyección          | injeção           
  8 | allergy              | 过敏              | guò mǐn            | alergia            | alergia           
  9 | triage               | 分类              | fēn lèi            | triaje             | triagem           
 10 | referral             | 推荐              | tuī jiàn           | referencia         | encaminhamento    
 11 | specialist           | 专家              | zhuān jiā          | especialista       | especialista      
 12 | scan                 | 扫描              | sǎo miáo           | escanear           | digitalizar       
 13 | x-ray                | X射线             | X shè xiàn         | radiografía        | raio-x            
 14 | vaccine              | 疫苗              | yì miáo            | vacuna             | vacina            
 15 | antidote             | 解药              | jiě yào            | antídoto           | antídoto          
 16 | side effect          | 副作用             | fù zuò yòng        | efecto secundario  | efeito colateral  
 17 | remission            | 缓解              | huǎn jiě           | remisión           | remissão          
 18 | contagious           | 具有传染性           | jù yǒu chuán rǎn x | contagioso         | contagioso        
 19 | outpatient           | 门诊              | mén zhěn           | ambulatorio        | ambulatorial      
 20 | inpatient            | 住院              | zhù yuàn           | paciente hospitali | paciente internado
 21 | prognosis            | 预后              | yù hòu             | pronóstico         | prognóstico       
 22 | medical clinic       | 医疗诊所            | yī liáo zhěn suǒ   | clínica médica     | clínica médica    
 23 | clinic visit         | 门诊              | mén zhěn           | visita a la clínic | visita clínica    
 24 | health insurance     | 健康保险            | jiàn kāng bǎo xiǎn | seguro médico      | seguro saúde      
 25 | insurance coverage   | 保险范围            | bǎo xiǎn fàn wéi   | cobertura de segur | cobertura de segur
 26 | call ambulance       | 叫救护车            | jiào jiù hù chē    | llamar a una ambul | chamar ambulância 
 27 | ambulance arrived    | 救护车到达           | jiù hù chē dào dá  | llegó la ambulanci | ambulância chegou 
 28 | annual checkup       | 年度体检            | nián dù tǐ jiǎn    | chequeo anual      | check-up anual    
 29 | routine checkup      | 例行检查            | lì xíng jiǎn chá   | chequeo de rutina  | exame de rotina   
 30 | blood test           | 验血              | yàn xuè            | análisis de sangre | exame de sangue   
 31 | blood pressure       | 血压              | xuè yā             | presión arterial   | pressão arterial  
 32 | get injection        | 获得注射            | huò dé zhù shè     | recibir inyección  | tomar injeção     
 33 | injection site       | 注射部位            | zhù shè bù wèi     | lugar de inyección | local da injeção  
 34 | food allergy         | 食物过敏            | shí wù guò mǐn     | alergia alimentari | alergia alimentar 
 35 | allergy symptoms     | 过敏症状            | guò mǐn zhèng zhuà | síntomas de alergi | sintomas de alergi
 36 | emergency triage     | 紧急分诊            | jǐn jí fēn zhěn    | triaje de emergenc | triagem de emergên
 37 | triage nurse         | 分诊护士            | fēn zhěn hù shì    | enfermera de triaj | enfermeira de tria
 38 | doctor referral      | 医生转介            | yī shēng zhuǎn jiè | derivación médica  | encaminhamento méd
 39 | referral to          | 转介至             | zhuǎn jiè zhì      | remisión a         | encaminhamento par
 40 | medical specialist   | 医学专家            | yī xué zhuān jiā   | especialista médic | médico especialist
 41 | specialist appointme | 专家预约            | zhuān jiā yù yuē   | cita con un especi | consulta especiali
 42 | CT scan              | CT扫描            | CT sǎo miáo        | Tomografía computa | Tomografia computa
 43 | body scan            | 身体扫描            | shēn tǐ sǎo miáo   | escaneo corporal   | varredura corporal
 44 | chest x-ray          | 胸部X光检查          | xiōng bù X guāng j | radiografía de tór | radiografia de tór
 45 | x-ray results        | X射线结果           | X shè xiàn jié guǒ | resultados de radi | resultados de raio
 46 | flu vaccine          | 流感疫苗            | liú gǎn yì miáo    | vacuna contra la g | vacina contra grip
 47 | vaccine shot         | 疫苗注射            | yì miáo zhù shè    | inyección de vacun | injeção de vacina 
 48 | poison antidote      | 毒药解药            | dú yào jiě yào     | antídoto contra el | antídoto venenoso 
 49 | antidote for         | 的解药             | de jiě yào         | antídoto para      | antídoto para     
 50 | side effect of       | 的副作用            | de fù zuò yòng     | efecto secundario  | efeito colateral d
 51 | common side effect   | 常见副作用           | cháng jiàn fù zuò  | efecto secundario  | efeito colateral c
 52 | cancer remission     | 癌症缓解            | ái zhèng huǎn jiě  | remisión del cánce | remissão do câncer
 53 | in remission         | 缓解中             | huǎn jiě zhōng     | en remisión        | em remissão       
 54 | highly contagious    | 传染性极强           | chuán rǎn xìng jí  | altamente contagio | altamente contagio
 55 | contagious disease   | 传染病             | chuán rǎn bìng     | enfermedad contagi | doença contagiosa 
 56 | outpatient surgery   | 门诊手术            | mén zhěn shǒu shù  | cirugía ambulatori | cirurgia ambulator
 57 | outpatient clinic    | 门诊              | mén zhěn           | clínica ambulatori | ambulatório       
 58 | inpatient care       | 住院护理            | zhù yuàn hù lǐ     | atención hospitala | atendimento hospit
 59 | inpatient treatment  | 住院治疗            | zhù yuàn zhì liáo  | tratamiento hospit | tratamento hospita
 60 | good prognosis       | 预后良好            | yù hòu liáng hǎo   | buen pronóstico    | bom prognóstico   
 61 | prognosis is         | 预后是             | yù hòu shì         | el pronóstico es   | prognóstico é     
