PACK 146: Negotiation
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | negotiate            | 洽谈              | qià tán            | negociar           | negociar          
  3 | bargain              | 讨价还价            | tǎo jià huán jià   | ganga              | pechincha         
  4 | compromise           | 妥协              | tuǒ xié            | compromiso         | compromisso       
  5 | concession           | 让步              | ràng bù            | concesión          | concessão         
  6 | ultimatum            | 最后通牒            | zuì hòu tōng dié   | ultimátum          | ultimato          
  7 | counteroffer         | 还价              | huán jià           | contraoferta       | contraoferta      
  8 | mediate              | 调解              | tiáo jiě           | mediar             | mediar            
  9 | arbitrate            | 仲裁              | zhòng cái          | arbitrar           | arbitrar          
 10 | resolve              | 解决              | jiě jué            | resolver           | resolver          
 11 | settle               | 解决              | jiě jué            | resolver           | resolver          
 12 | deadlock             | 僵局              | jiāng jú           | punto muerto       | impasse           
 13 | impasse              | 僵局              | jiāng jú           | punto muerto       | impasse           
 14 | stalemate            | 僵局              | jiāng jú           | punto muerto       | impasse           
 15 | stakeholder          | 利益相关者           | lì yì xiāng guān z | parte interesada   | parte interessada 
 16 | leverage             | 杠杆              | gàng gǎn           | apalancamiento     | alavancagem       
 17 | reciprocal           | 倒数              | dào shǔ            | recíproco          | recíproco         
 18 | terms                | 条款              | tiáo kuǎn          | términos           | termos            
 19 | conditions           | 条件              | tiáo jiàn          | condiciones        | condições         
 20 | ratify               | 批准              | pī zhǔn            | ratificar          | ratificar         
 21 | conciliate           | 调解              | tiáo jiě           | conciliar          | conciliar         
 22 | negotiate deal       | 洽谈交易            | qià tán jiāo yì    | negociar un acuerd | negociar acordo   
 23 | negotiate terms      | 谈判条款            | tán pàn tiáo kuǎn  | negociar términos  | negociar termos   
 24 | bargain for          | 讨价还价            | tǎo jià huán jià   | ganga por          | pechincha para    
 25 | bargain with         | 与某人讨价还价         | yǔ mǒu rén tǎo jià | negociar con       | negociar com      
 26 | reach compromise     | 达成妥协            | dá chéng tuǒ xié   | llegar a un acuerd | chegar a um compro
 27 | compromise on        | 妥协              | tuǒ xié            | compromiso sobre   | compromisso em    
 28 | make concession      | 做出让步            | zuò chū ràng bù    | hacer concesiones  | fazer concessão   
 29 | concession to        | 让步              | ràng bù            | concesión a        | concessão a       
 30 | issue ultimatum      | 发出最后通牒          | fā chū zuì hòu tōn | emitir ultimátum   | emitir ultimato   
 31 | ultimatum to         | 最后通牒            | zuì hòu tōng dié   | ultimátum a        | ultimato para     
 32 | make counteroffer    | 还价              | huán jià           | hacer contraoferta | fazer contrapropos
 33 | counteroffer of      | 的还盘             | de hái pán         | contraoferta de    | contraoferta de   
 34 | mediate dispute      | 调解纠纷            | tiáo jiě jiū fēn   | mediar en la dispu | mediar disputa    
 35 | mediate between      | 在双方之间调解         | zài shuāng fāng zh | mediar entre       | mediar entre      
 36 | arbitrate conflict   | 仲裁冲突            | zhòng cái chōng tū | arbitrar conflicto | arbitrar conflito 
 37 | arbitrate dispute    | 仲裁争议            | zhòng cái zhēng yì | arbitrar disputa   | arbitrar disputa  
 38 | resolve conflict     | 解决冲突            | jiě jué chōng tū   | resolver conflicto | resolver conflitos
 39 | resolve issue        | 解决问题            | jiě jué wèn tí     | resolver el proble | resolver problema 
 40 | settle dispute       | 解决争端            | jiě jué zhēng duān | resolver disputa   | resolver disputa  
 41 | settle on            | 决定              | jué dìng           | decidirse por      | resolver          
 42 | reach deadlock       | 陷入僵局            | xiàn rù jiāng jú   | llegar a un punto  | chegar ao impasse 
 43 | deadlock over        | 在某事上陷入僵局        | zài mǒu shì shàng  | punto muerto termi | impasse encerrado 
 44 | reach impasse        | 陷入僵局            | xiàn rù jiāng jú   | llegar a un punto  | chegar ao impasse 
 45 | impasse in           | 陷入僵局            | xiàn rù jiāng jú   | punto muerto en    | impasse em        
 46 | political stalemate  | 政治僵局            | zhèng zhì jiāng jú | estancamiento polí | impasse político  
 47 | stalemate between    | 之间的僵局           | zhī jiān de jiāng  | punto muerto entre | impasse entre     
 48 | key stakeholder      | 主要利益相关者         | zhǔ yào lì yì xiān | actor clave        | principais partes 
 49 | stakeholder meeting  | 利益相关者会议         | lì yì xiāng guān z | reunión de partes  | reunião das partes
 50 | use leverage         | 使用杠杆            | shǐ yòng gàng gǎn  | utilizar apalancam | usar alavancagem  
 51 | leverage over        | 杠杆              | gàng gǎn           | apalancamiento sob | alavancagem sobre 
 52 | reciprocal agreement | 互惠协议            | hù huì xié yì      | acuerdo recíproco  | acordo recíproco  
 53 | reciprocal relations | 互惠关系            | hù huì guān xì     | relación recíproca | relacionamento rec
 54 | terms of             | 的条款             | de tiáo kuǎn       | términos de        | termos de         
 55 | terms and            | 条款和             | tiáo kuǎn hé       | términos y         | termos e          
 56 | conditions apply     | 适用条件            | shì yòng tiáo jiàn | se aplican condici | aplicam-se condiçõ
 57 | conditions for       | 的条件             | de tiáo jiàn       | condiciones para   | condições para    
 58 | ratify agreement     | 批准协议            | pī zhǔn xié yì     | ratificar el acuer | ratificar acordo  
 59 | ratify treaty        | 批准条约            | pī zhǔn tiáo yuē   | ratificar el trata | ratificar o tratad
 60 | conciliate parties   | 调解各方            | tiáo jiě gè fāng   | conciliar partes   | conciliar as parte
 61 | conciliate between   | 之间进行调解          | zhī jiān jìn xíng  | conciliar entre    | conciliar entre   
