PACK 153: Formal Connectors
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | nonetheless          | 尽管如此            | jǐn guǎn rú cǐ     | no obstante        | mesmo assim       
  3 | thence               | 从此              | cóng cǐ            | desde allí         | daí               
  4 | whence               | 从哪里来            | cóng nǎ lǐ lái     | de donde           | de onde           
  5 | ergo                 | 因此              | yīn cǐ             | entonces           | logo              
  6 | ipso facto           | 事实上             | shì shí shàng      | ipso facto         | ipso facto        
  7 | subsequently         | 随后              | suí hòu            | posteriormente     | posteriormente    
  8 | notwithstanding      | 尽管              | jǐn guǎn           | no obstante        | não obstante      
  9 | whereby              | 由此              | yóu cǐ             | por lo que         | pelo qual         
 10 | wherein              | 其中              | qí zhōng           | donde              | em que            
 11 | albeit               | 尽管              | jǐn guǎn           | aunque             | embora            
 12 | hitherto             | 迄今为止            | qì jīn wéi zhǐ     | hasta ahora        | até agora         
 13 | henceforth           | 今后              | jīn hòu            | en adelante        | doravante         
 14 | thereupon            | 于是              | yú shì             | acto seguido       | então             
 15 | wherefore            | 为什么             | wèi shén me        | por lo tanto       | portanto          
 16 | insofar              | 到目前为止           | dào mù qián wéi zh | en la medida       | na medida em que  
 17 | inasmuch             | 因为              | yīn wèi            | en la medida       | na medida em que  
 18 | forthwith            | 立即              | lì jí              | inmediatamente     | imediatamente     
 19 | heretofore           | 迄今为止            | qì jīn wéi zhǐ     | hasta ahora        | até agora         
 20 | thereby              | 从而              | cóng ér            | por lo tanto       | assim             
 21 | herein               | 此处              | cǐ chù             | aquí               | aqui              
 22 | but nonetheless      | 但尽管如此           | dàn jǐn guǎn rú cǐ | pero aun así       | mas mesmo assim   
 23 | nonetheless importan | 尽管如此重要          | jǐn guǎn rú cǐ zhò | no obstante import | ainda assim import
 24 | from thence          | 从那里             | cóng nà lǐ         | desde allí         | de lá             
 25 | thence forward       | 从此向前            | cóng cǐ xiàng qián | de ahí adelante    | daí em diante     
 26 | from whence          | 从哪里来            | cóng nǎ lǐ lái     | de donde           | de onde           
 27 | whence came          | 从哪里来            | cóng nǎ lǐ lái     | de donde vino      | de onde veio      
 28 | ergo therefore       | 因此              | yīn cǐ             | ergo por lo tanto  | logo, portanto    
 29 | ergo the             | 因此              | yīn cǐ             | ergo el            | logo o            
 30 | ipso facto means     | 事实上意味着          | shì shí shàng yì w | ipso facto signifi | ipso facto signifi
 31 | ipso facto invalid   | 事实上无效           | shì shí shàng wú x | ipso facto inválid | ipso facto inválid
 32 | subsequently discove | 后来发现            | hòu lái fā xiàn    | posteriormente des | posteriormente des
 33 | subsequently to      | 随后              | suí hòu            | posteriormente a   | posteriormente par
 34 | notwithstanding the  | 尽管              | jǐn guǎn           | sin perjuicio de l | não obstante o    
 35 | notwithstanding that | 尽管如此            | jǐn guǎn rú cǐ     | sin perjuicio de q | apesar disso      
 36 | whereby the          | 由此              | yóu cǐ             | por lo que el      | em que o          
 37 | process whereby      | 某过程             | mǒu guò chéng      | proceso mediante e | processo pelo qual
 38 | wherein the          | 的过程其中           | de guò chéng qí zh | donde el           | em que            
 39 | wherein lies         | 其中有             | qí zhōng yǒu       | donde se encuentra | onde está         
 40 | albeit difficult     | 虽然困难            | suī rán kùn nán    | aunque difícil     | embora difícil    
 41 | albeit slowly        | 虽然很慢            | suī rán hěn màn    | aunque lentamente  | embora lentamente 
 42 | hitherto unknown     | 迄今为止未知的         | qì jīn wéi zhǐ wèi | hasta ahora descon | até então desconhe
 43 | hitherto unseen      | 迄今未见            | qì jīn wèi jiàn    | hasta ahora invisi | até então invisíve
 44 | henceforth shall     | 今后将             | jīn hòu jiāng      | de ahora en adelan | doravante deverá  
 45 | from henceforth      | 从今以后            | cóng jīn yǐ hòu    | de ahora en adelan | de agora em diante
 46 | thereupon the        | 于是              | yú shì             | entonces el        | então o           
 47 | thereupon decided    | 于是决定            | yú shì jué dìng    | entonces decidió   | então decidiu     
 48 | wherefore art        | 为什么艺术           | wèi shén me yì shù | por lo tanto arte  | portanto arte     
 49 | wherefore the        | 因此              | yīn cǐ             | por lo tanto el    | portanto o        
 50 | insofar as           | 只要              | zhǐ yào            | en la medida en qu | na medida em que  
 51 | insofar possible     | 只要可能            | zhǐ yào kě néng    | en la medida de lo | na medida do possí
 52 | inasmuch as          | 因为              | yīn wèi            | en la medida en qu | na medida em que  
 53 | inasmuch that        | 因为              | yīn wèi            | en la medida que   | na medida em que  
 54 | forthwith dismissed  | 立即解雇            | lì jí jiě gù       | despedido inmediat | imediatamente demi
 55 | respond forthwith    | 立即回复            | lì jí huí fù       | responder inmediat | responda imediatam
 56 | heretofore mentioned | 前面提到过           | qián miàn tí dào g | mencionado hasta a | até agora menciona
 57 | heretofore unknown   | 迄今为止未知          | qì jīn wéi zhǐ wèi | hasta ahora descon | até então desconhe
 58 | thereby reducing     | 从而减少            | cóng ér jiǎn shǎo  | reduciendo así     | reduzindo assim   
 59 | thereby increasing   | 从而增加            | cóng ér zēng jiā   | aumentando así     | aumentando assim  
 60 | herein referred      | 本文提及            | běn wén tí jí      | aquí referido      | aqui referido     
 61 | herein lies          | 这就是谎言           | zhè jiù shì huǎng  | aquí yace          | aqui está         
