PACK 157: Response Patterns
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | response             | 回应              | huí yìng           | respuesta          | resposta          
  3 | reply                | 回复              | huí fù             | responder          | responder         
  4 | rejoinder            | 反驳              | fǎn bó             | dúplica            | tréplica          
  5 | acknowledgment       | 致谢              | zhì xiè            | reconocimiento     | agradecimento     
  6 | confirm              | 确认              | què rèn            | confirmar          | confirmar         
  7 | deny                 | 否认              | fǒu rèn            | negar              | negar             
  8 | accept               | 接受              | jiē shòu           | aceptar            | aceitar           
  9 | nod                  | 点头              | diǎn tóu           | asentir            | aceno com a cabeça
 10 | signal               | 信号              | xìn hào            | señal              | sinal             
 11 | gesture              | 手势              | shǒu shì           | gesto              | gesto             
 12 | signify              | 表示              | biǎo shì           | significar         | significa         
 13 | express              | 快递              | kuài dì            | expresar           | expresso          
 14 | impart               | 传授              | chuán shòu         | impartir           | transmitir        
 15 | communicate          | 沟通              | gōu tōng           | comunicar          | comunicar         
 16 | declare              | 声明              | shēng míng         | declarar           | declarar          
 17 | react                | 反应              | fǎn yìng           | reaccionar         | reagir            
 18 | respond              | 回应              | huí yìng           | responder          | responder         
 19 | retort               | 反驳              | fǎn bó             | replicar           | retrucar          
 20 | answer               | 回答              | huí dá             | respuesta          | responder         
 21 | voice                | 声音              | shēng yīn          | voz                | voz               
 22 | quick response       | 快速响应            | kuài sù xiǎng yìng | respuesta rápida   | resposta rápida   
 23 | response to          | 回应              | huí yìng           | respuesta a        | resposta a        
 24 | reply to             | 回复              | huí fù             | responder a        | responder a       
 25 | reply back           | 回复              | huí fù             | responder          | responder de volta
 26 | witty rejoinder      | 机智反驳            | jī zhì fǎn bó      | ingeniosa réplica  | réplica espirituos
 27 | rejoinder to         | 反驳              | fǎn bó             | dúplica a          | tréplica para     
 28 | acknowledgment of    | 确认              | què rèn            | reconocimiento de  | reconhecimento de 
 29 | send acknowledgment  | 发送确认            | fā sòng què rèn    | enviar acuse de re | enviar confirmação
 30 | confirm booking      | 确认预订            | què rèn yù dìng    | confirmar reserva  | confirmar reserva 
 31 | confirm order        | 确认订单            | què rèn dìng dān   | confirmar pedido   | confirmar pedido  
 32 | deny access          | 拒绝访问            | jù jué fǎng wèn    | denegar el acceso  | negar acesso      
 33 | deny request         | 拒绝请求            | jù jué qǐng qiú    | rechazar solicitud | negar pedido      
 34 | accept offer         | 接受报价            | jiē shòu bào jià   | aceptar oferta     | aceitar oferta    
 35 | accept invitation    | 接受邀请            | jiē shòu yāo qǐng  | aceptar invitación | aceitar convite   
 36 | nod head             | 点头              | diǎn tóu           | asentir con la cab | acena com a cabeça
 37 | nod in agreement     | 点头同意            | diǎn tóu tóng yì   | asiente con la cab | aceno de acordo   
 38 | send signal          | 发送信号            | fā sòng xìn hào    | enviar señal       | enviar sinal      
 39 | signal for           | 某事的信号           | mǒu shì de xìn hào | señal para         | sinal para        
 40 | hand gesture         | 的信号手势           | de xìn hào shǒu sh | gesto con la mano  | gesto com a mão   
 41 | gesture toward       | 向               | xiàng              | gesto hacia        | gesto em direção  
 42 | signify agreement    | 做手势表示同意         | zuò shǒu shì biǎo  | significa acuerdo  | significa acordo  
 43 | signify importance   | 表示重要性           | biǎo shì zhòng yào | significa importan | significar importâ
 44 | express feelings     | 表达感受            | biǎo dá gǎn shòu   | expresar sentimien | expressar sentimen
 45 | express concern      | 表达关切            | biǎo dá guān qiè   | expresar preocupac | manifestar preocup
 46 | impart knowledge     | 传授知识            | chuán shòu zhī shí | impartir conocimie | transmitir conheci
 47 | impart wisdom        | 传授智慧            | chuán shòu zhì huì | impartir sabiduría | transmitir sabedor
 48 | communicate clearly  | 清晰沟通            | qīng xī gōu tōng   | comunicar claramen | comunicar claramen
 49 | communicate with     | 与               | yǔ                 | comunicarse con    | comunicar com     
 50 | declare winner       | 沟通宣布获胜者         | gōu tōng xuān bù h | declarar ganador   | declarar vencedor 
 51 | declare independence | 宣布独立            | xuān bù dú lì      | declarar la indepe | declarar independê
 52 | react to             | 对               | duì                | reaccionar a       | reagir a          
 53 | react quickly        | 作出反应反应快         | zuò chū fǎn yìng f | reaccionar rápidam | reagir rapidamente
 54 | respond to           | 回应              | huí yìng           | responder a        | responder a       
 55 | respond immediately  | 立即回复            | lì jí huí fù       | responder inmediat | responda imediatam
 56 | quick retort         | 快速反驳            | kuài sù fǎn bó     | respuesta rápida   | resposta rápida   
 57 | retort with          | 用               | yòng               | responder con      | responder com     
 58 | answer question      | 反驳回答问题          | fǎn bó huí dá wèn  | responder pregunta | responder à pergun
 59 | answer to            | 回答              | huí dá             | responder a        | responda a        
 60 | voice opinion        | 声音意见            | shēng yīn yì jiàn  | opinión de voz     | opinião de voz    
 61 | voice concern        | 声音关心            | shēng yīn guān xīn | preocupación de vo | preocupação com a 
