PACK 159: Agreement & Disagreement
================================================================================

Row | English | Chinese | Pinyin | Spanish | Portuguese
--------------------------------------------------------------------------------
  2 | compatible           | 兼容              | jiān róng          | compatibles        | compatível        
  3 | acquiesce            | 默许              | mò xǔ              | consentir          | aquiescer         
  4 | endorse              | 赞同              | zàn tóng           | respaldar          | endossar          
  5 | contradict           | 矛盾              | máo dùn            | contradecir        | contradiz         
  6 | reject               | 拒绝              | jù jué             | rechazar           | rejeitar          
  7 | refuse               | 拒绝              | jù jué             | rechazar           | recusar           
  8 | capitulate           | 投降              | tóu xiáng          | capitular          | capitular         
  9 | unite                | 团结              | tuán jié           | unir               | unir              
 10 | divide               | 除               | chú                | dividir            | dividir           
 11 | harmony              | 和谐              | hé xié             | armonía            | harmonia          
 12 | accord               | 一致              | yí zhì             | acuerdo            | acordo            
 13 | discord              | 不和谐             | bù hé xié          | discordia          | discórdia         
 14 | common               | 共同              | gòng tóng          | común              | comum             
 15 | concur               | 同意              | tóng yì            | de acuerdo         | concordo          
 16 | differ               | 不同              | bù tóng            | difieren           | diferem           
 17 | align                | 对齐              | duì qí             | alinear            | alinhar           
 18 | clash                | 冲突              | chōng tū           | choque             | confronto         
 19 | approve              | 批准              | pī zhǔn            | aprobar            | aprovar           
 20 | dissent              | 异议              | yì yì              | disidencia         | dissidência       
 21 | assent               | 同意              | tóng yì            | consentimiento     | consentimento     
 22 | fully compatible     | 完全兼容            | wán quán jiān róng | totalmente compati | totalmente compatí
 23 | compatible with      | 与               | yǔ                 | compatible con     | compatível com    
 24 | acquiesce to         | 兼容默许            | jiān róng mò xǔ    | aceptar            | concordar com     
 25 | reluctantly acquiesc | 勉强默许            | miǎn qiǎng mò xǔ   | aceptar de mala ga | aquiesce relutante
 26 | endorse product      | 认可产品            | rèn kě chǎn pǐn    | respaldar el produ | endossa o produto 
 27 | endorse candidate    | 支持候选人           | zhī chí hòu xuǎn r | respaldar al candi | endossa candidato 
 28 | contradict yourself  | 自相矛盾            | zì xiāng máo dùn   | contradecirte      | contradiga-se     
 29 | contradict statement | 与陈述相矛盾          | yǔ chén shù xiāng  | declaración contra | contradiz a afirma
 30 | reject offer         | 拒绝报价            | jù jué bào jià     | rechazar oferta    | rejeitar oferta   
 31 | reject proposal      | 拒绝提案            | jù jué tí àn       | rechazar propuesta | rejeitar proposta 
 32 | refuse to            | 拒绝              | jù jué             | negarse a          | recusar           
 33 | refuse request       | 拒绝请求            | jù jué qǐng qiú    | rechazar solicitud | recusar pedido    
 34 | capitulate to        | 屈服于             | qū fú yú           | capitular ante     | capitular para    
 35 | finally capitulate   | 终于投降            | zhōng yú tóu xiáng | capitular finalmen | finalmente capitul
 36 | unite together       | 团结起来            | tuán jié qǐ lái    | unirnos            | unir-se           
 37 | unite behind         | 团结起来            | tuán jié qǐ lái    | unirnos detrás     | uni-vos atrás     
 38 | divide evenly        | 均分              | jūn fēn            | dividir en partes  | dividir uniformeme
 39 | divide between       | 除               | chú                | dividir entre      | dividir entre     
 40 | in harmony           | 之间和谐            | zhī jiān hé xié    | en armonía         | em harmonia       
 41 | harmony with         | 与               | yǔ                 | armonía con        | harmonia com      
 42 | in accord            | 和谐相处一致          | hé xié xiāng chǔ y | de acuerdo         | de acordo         
 43 | accord with          | 符合              | fú hé              | de acuerdo con     | de acordo com     
 44 | create discord       | 制造不和            | zhì zào bù hé      | crear discordia    | criar discórdia   
 45 | discord between      | 双方之间的不和         | shuāng fāng zhī ji | discordia entre    | discórdia entre   
 46 | common ground        | 之间的不和谐共同点       | zhī jiān de bù hé  | terreno común      | pontos em comum   
 47 | common interest      | 共同利益            | gòng tóng lì yì    | interés común      | interesse comum   
 48 | concur with          | 同意              | tóng yì            | de acuerdo con     | concordo com      
 49 | I concur             | 我同意             | wǒ tóng yì         | Estoy de acuerdo   | Eu concordo       
 50 | differ from          | 不同于             | bù tóng yú         | difieren de        | diferem de        
 51 | beg to differ        | 不敢苟同            | bù gǎn gǒu tóng    | No estoy de acuerd | discordo          
 52 | align with           | 与               | yǔ                 | alinearse con      | alinhar com       
 53 | align interests      | 对齐协调利益          | duì qí xié tiáo lì | alinear intereses  | alinhar interesses
 54 | clash with           | 与               | yǔ                 | chocar con         | colidir com       
 55 | personality clash    | 发生冲突性格冲突        | fā shēng chōng tū  | choque de personal | choque de personal
 56 | approve of           | 赞同              | zàn tóng           | aprobar            | aprovar           
 57 | approve request      | 批准请求            | pī zhǔn qǐng qiú   | aprobar solicitud  | aprovar solicitaçã
 58 | voice dissent        | 声音异议            | shēng yīn yì yì    | expresar desacuerd | dissidência de voz
 59 | dissent from         | 反对              | fǎn duì            | desacuerdo con     | dissidência de    
 60 | give assent          | 同意              | tóng yì            | dar su consentimie | dar consentimento 
 61 | assent to            | 同意              | tóng yì            | asentimiento a     | consentimento para
