====================================================================================================
COMPREHENSIVE ENGLISH WORDPACK TRANSLATION QUALITY EVALUATION
Manual detailed evaluation of all 160 packs
====================================================================================================

Evaluated 20/160 packs...
Evaluated 40/160 packs...
Evaluated 60/160 packs...
Evaluated 80/160 packs...
Evaluated 100/160 packs...
Evaluated 120/160 packs...
Evaluated 140/160 packs...
Evaluated 160/160 packs...

====================================================================================================
PER-PACK SCORES TABLE (ALL 160 PACKS - NO SKIPPING)
====================================================================================================

| Pack | Title | Score | Issues |
|------|-------|-------|--------|
|   1 | Greetings & Basics                                 | 10/10 | None |
|   2 | Numbers 1-20                                       | 10/10 | None |
|   3 | Numbers & Counting                                 | 10/10 | None |
|   4 | Articles & Determiners                             |  5/10 | 1 issue(s) |
|   5 | Quantifiers                                        | 10/10 | None |
|   6 | Contractions                                       | 10/10 | None |
|   7 | Contractions 2                                     | 10/10 | None |
|   8 | Common Expressions                                 | 10/10 | None |
|   9 | Colors                                             | 10/10 | None |
|  10 | Days & Time                                        | 10/10 | None |
|  11 | Months & Seasons                                   | 10/10 | None |
|  12 | Family                                             |  7/10 | 1 issue(s) |
|  13 | Body Parts                                         | 10/10 | None |
|  14 | Personal Pronouns                                  | 10/10 | None |
|  15 | Possessives & Relatives                            | 10/10 | None |
|  16 | Question Words                                     | 10/10 | None |
|  17 | Modal Verbs                                        |  6/10 | 2 issue(s) |
|  18 | Essential Verbs: Be & Have                         | 10/10 | None |
|  19 | Essential Verbs: Go & Come                         |  6/10 | 3 issue(s) |
|  20 | Essential Verbs: Common Actions                    | 10/10 | None |
|  21 | Essential Verbs: Daily Actions                     | 10/10 | None |
|  22 | Essential Verbs: Communication                     | 10/10 | None |
|  23 | Irregular Verbs 1                                  | 10/10 | None |
|  24 | Irregular Verbs 2                                  | 10/10 | None |
|  25 | Irregular Verbs 3                                  | 10/10 | None |
|  26 | Irregular Verbs 4                                  | 10/10 | None |
|  27 | Essential Adjectives 1                             | 10/10 | None |
|  28 | Essential Adjectives 2                             | 10/10 | None |
|  29 | Basic Emotions                                     | 10/10 | None |
|  30 | Common Animals                                     | 10/10 | None |
|  31 | Home & Rooms                                       | 10/10 | None |
|  32 | Food Basics                                        | 10/10 | None |
|  33 | Drinks & Meals                                     | 10/10 | None |
|  34 | Clothing                                           | 10/10 | None |
|  35 | Weather                                            | 10/10 | None |
|  36 | Prepositions of Place                              | 10/10 | None |
|  37 | Prepositions of Time & Other                       | 10/10 | None |
|  38 | Time Expressions                                   | 10/10 | None |
|  39 | Negatives & Limits                                 | 10/10 | None |
|  40 | Basic Transportation                               | 10/10 | None |
|  41 | Common Nouns                                       | 10/10 | None |
|  42 | More Common Nouns                                  | 10/10 | None |
|  43 | Places in Town                                     | 10/10 | None |
|  44 | Casual & Informal English                          | 10/10 | None |
|  45 | Filler Words & Reactions                           | 10/10 | None |
|  46 | Directions                                         | 10/10 | None |
|  47 | More Transportation                                | 10/10 | None |
|  48 | Furniture                                          | 10/10 | None |
|  49 | Kitchen Items                                      | 10/10 | None |
|  50 | Bathroom Items                                     | 10/10 | None |
|  51 | Household Chores                                   | 10/10 | None |
|  52 | More Food                                          | 10/10 | None |
|  53 | Fruits                                             | 10/10 | None |
|  54 | Vegetables                                         | 10/10 | None |
|  55 | More Clothing                                      | 10/10 | None |
|  56 | Jobs 1                                             | 10/10 | None |
|  57 | Jobs 2                                             | 10/10 | None |
|  58 | More Animals                                       | 10/10 | None |
|  59 | Nature                                             | 10/10 | None |
|  60 | Geography                                          | 10/10 | None |
|  61 | School & Education                                 | 10/10 | None |
|  62 | Sports                                             | 10/10 | None |
|  63 | More Sports                                        | 10/10 | None |
|  64 | Entertainment                                      | 10/10 | None |
|  65 | More Emotions                                      | 10/10 | None |
|  66 | Personality                                        | 10/10 | None |
|  67 | Physical Appearance                                | 10/10 | None |
|  68 | Shopping                                           | 10/10 | None |
|  69 | Money & Banking                                    | 10/10 | None |
|  70 | Health                                             | 10/10 | None |
|  71 | Technology                                         | 10/10 | None |
|  72 | Verbs of Motion                                    | 10/10 | None |
|  73 | Verbs of Change                                    | 10/10 | None |
|  74 | Communication Verbs                                | 10/10 | None |
|  75 | Mental Verbs                                       | 10/10 | None |
|  76 | Adverbs of Manner                                  | 10/10 | None |
|  77 | Adverbs of Degree                                  | 10/10 | None |
|  78 | Conjunctions                                       | 10/10 | None |
|  79 | Connectors                                         | 10/10 | None |
|  80 | Phrasal Verbs 1                                    | 10/10 | None |
|  81 | Phrasal Verbs 2                                    | 10/10 | None |
|  82 | Travel                                             | 10/10 | None |
|  83 | Airport & Flying                                   | 10/10 | None |
|  84 | Hotel                                              | 10/10 | None |
|  85 | Work & Office                                      | 10/10 | None |
|  86 | Workplace Actions                                  | 10/10 | None |
|  87 | Business Communication                             | 10/10 | None |
|  88 | Internet & Social Media                            | 10/10 | None |
|  89 | Relationships                                      | 10/10 | None |
|  90 | Social Interactions                                | 10/10 | None |
|  91 | Life Events                                        | 10/10 | None |
|  92 | Housing                                            | 10/10 | None |
|  93 | News & Media                                       | 10/10 | None |
|  94 | Environment                                        | 10/10 | None |
|  95 | Cooking Methods                                    | 10/10 | None |
|  96 | Food Preparation                                   | 10/10 | None |
|  97 | Restaurant                                         | 10/10 | None |
|  98 | Movies & TV                                        | 10/10 | None |
|  99 | Books & Reading                                    | 10/10 | None |
| 100 | Music & Art                                        | 10/10 | None |
| 101 | Basic Law & Rules                                  | 10/10 | None |
| 102 | Government & Citizenship                           | 10/10 | None |
| 103 | Opinions & Arguments                               | 10/10 | None |
| 104 | Problems & Solutions                               | 10/10 | None |
| 105 | Describing Trends                                  | 10/10 | None |
| 106 | Common Idioms 1                                    | 10/10 | None |
| 107 | Common Idioms 2                                    | 10/10 | None |
| 108 | Phrasal Verbs 3                                    | 10/10 | None |
| 109 | Phrasal Verbs 4                                    | 10/10 | None |
| 110 | Collocations - Make & Do                           | 10/10 | None |
| 111 | Collocations - Have & Take                         | 10/10 | None |
| 112 | Collocations - Other                               | 10/10 | None |
| 113 | Business Basics                                    | 10/10 | None |
| 114 | Finance Basics                                     | 10/10 | None |
| 115 | Marketing & Sales                                  | 10/10 | None |
