Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
spanish,101,Law & Legal,4,chinese,判断,法官,Wrong sense - 判断 means 'to judge/judgment' but need 法官 for 'judge (person)'
spanish,101,Law & Legal,4,pinyin,pàn duàn,fǎ guān,Pinyin matches wrong Chinese
spanish,101,Law & Legal,5,chinese,判断,法官,Wrong sense - need 法官 for 'judge (person)' not judgment verb
spanish,101,Law & Legal,5,pinyin,pàn duàn,fǎ guān,Pinyin matches wrong Chinese
spanish,101,Law & Legal,6,chinese,判断,审判,Wrong sense - 判断 is 'judgment/to judge' but juicio is 'trial' = 审判
spanish,101,Law & Legal,6,pinyin,pàn duàn,shěn pàn,Pinyin matches wrong Chinese
spanish,101,Law & Legal,8,chinese,切,法院,Wrong word - 切 means 'cut' not 'court' - need 法院 for court
spanish,101,Law & Legal,8,pinyin,qiè,fǎ yuàn,Pinyin matches wrong Chinese
spanish,101,Law & Legal,13,chinese,很好,罚款,Wrong word - 很好 means 'very good' not 'fine (penalty)' - need 罚款
spanish,101,Law & Legal,13,pinyin,hěn hǎo,fá kuǎn,Pinyin matches wrong Chinese
spanish,101,Law & Legal,14,chinese,句子,判决,Wrong sense - 句子 is 'sentence (grammar)' not legal sentence - need 判决
spanish,101,Law & Legal,14,pinyin,jù zi,pàn jué,Pinyin matches wrong Chinese
spanish,101,Law & Legal,18,chinese,测试,证据,Wrong sense - 测试 is 'test/exam' but prueba in legal context is 'evidence' = 证据
spanish,101,Law & Legal,18,pinyin,cè shì,zhèng jù,Pinyin matches wrong Chinese
spanish,101,Law & Legal,20,chinese,需求,诉讼,Wrong sense - 需求 is 'demand/need (requirement)' but demanda in legal context is 'lawsuit' = 诉讼
spanish,101,Law & Legal,20,pinyin,xū qiú,sù sòng,Pinyin matches wrong Chinese
spanish,102,Remembering (recordar),11,chinese,内存,记忆,Wrong sense - 内存 is RAM/computer memory but need 记忆 for human memory
spanish,102,Remembering (recordar),11,pinyin,nèi cún,jì yì,Pinyin matches wrong Chinese
spanish,107,Environment & Nature,10,chinese,油,石油,Too generic - 油 is cooking oil but petróleo is petroleum = 石油
spanish,107,Environment & Nature,10,pinyin,yóu,shí yóu,Pinyin matches wrong Chinese
spanish,107,Environment & Nature,14,chinese,风,风能,Too generic - 风 just means 'wind' but eólica is 'wind (energy)' = 风能
spanish,107,Environment & Nature,14,pinyin,fēng,fēng néng,Pinyin matches wrong Chinese
spanish,109,Improving (mejorar),3,english,improvements,you improve,Wrong part of speech - mejoras is verb 'you improve' not noun 'improvements'
spanish,110,Media & News,3,chinese,半径,收音机,Wrong word - 半径 means 'radius (geometry)' not radio - need 收音机 or 广播
spanish,110,Media & News,3,pinyin,bàn jìng,shōu yīn jī,Pinyin matches wrong Chinese
spanish,110,Media & News,8,chinese,报告,报道,Wrong sense - 报告 is 'report (statement/document)' but reportaje is news report = 报道
spanish,110,Media & News,8,pinyin,bào gào,bào dào,Pinyin matches wrong Chinese
spanish,110,Media & News,13,chinese,程序,节目,Wrong sense - 程序 is 'computer program' but need 节目 for TV/radio program
spanish,110,Media & News,13,pinyin,chéng xù,jié mù,Pinyin matches wrong Chinese
spanish,110,Media & News,15,chinese,站,电台,Too generic - 站 is just 'station' but emisora is radio/TV station = 电台
spanish,110,Media & News,15,pinyin,zhàn,diàn tái,Pinyin matches wrong Chinese
spanish,110,Media & News,19,chinese,按,新闻界,Wrong word - 按 means 'press (button)' but prensa is journalism = 新闻界
spanish,110,Media & News,19,pinyin,àn,xīn wén jiè,Pinyin matches wrong Chinese
spanish,113,Geography,5,chinese,边框,边界,Wrong sense - 边框 is 'border/frame (of picture)' but need 边界 for country border
spanish,113,Geography,5,pinyin,biān kuāng,biān jiè,Pinyin matches wrong Chinese
spanish,113,Geography,6,chinese,资本,首都,Wrong sense - 资本 is 'capital (money/finance)' but need 首都 for capital city
spanish,113,Geography,6,pinyin,zī běn,shǒu dū,Pinyin matches wrong Chinese
spanish,113,Geography,9,chinese,状态,州,Wrong sense - 状态 is 'state/status (condition)' but estado in geography is state = 州
spanish,113,Geography,9,pinyin,zhuàng tài,zhōu,Pinyin matches wrong Chinese
spanish,113,Geography,16,chinese,普通,平原,Wrong word - 普通 means 'plain/ordinary/common' not geographic plain - need 平原
spanish,113,Geography,16,pinyin,pǔ tōng,píng yuán,Pinyin matches wrong Chinese
spanish,113,Geography,21,chinese,杆,极,Wrong word - 杆 means 'pole/stick' but geographic pole is 极
spanish,113,Geography,21,pinyin,gān,jí,Pinyin matches wrong Chinese
spanish,115,Staying & Meeting (quedar),10,chinese,遇见,聚会,Wrong sense - 遇见 is 'meet by chance' but reunirse is planned meeting/gather = 聚会
spanish,115,Staying & Meeting (quedar),10,pinyin,yù jiàn,jù huì,Pinyin matches wrong Chinese
spanish,116,Art & Culture,4,chinese,盒子,画,Wrong word - 盒子 means 'box' but cuadro is painting = 画 or 油画
spanish,116,Art & Culture,4,pinyin,hé zi,huà,Pinyin matches wrong Chinese
spanish,116,Art & Culture,8,chinese,工作,作品,Wrong sense - 工作 is 'work/job' but obra in art context is 'work of art' = 作品
spanish,116,Art & Culture,8,pinyin,gōng zuò,zuò pǐn,Pinyin matches wrong Chinese
spanish,118,Happening (pasar),3,chinese,葡萄干,你经过,Wrong word - 葡萄干 is 'raisins (food)' but pasas is verb 'you pass' = 你经过
spanish,118,Happening (pasar),3,pinyin,pú táo gān,nǐ jīng guò,Pinyin matches wrong Chinese
spanish,119,Religion & Faith,10,chinese,治愈,神父,Wrong word - 治愈 means 'cure/heal' but cura is Catholic priest = 神父
spanish,119,Religion & Faith,10,pinyin,zhì yù,shén fù,Pinyin matches wrong Chinese
spanish,119,Religion & Faith,12,chinese,磁铁,伊玛目,Wrong word - 磁铁 means 'magnet' but imán is Islamic imam = 伊玛目
spanish,119,Religion & Faith,12,pinyin,cí tiě,yī mǎ mù,Pinyin matches wrong Chinese
spanish,119,Religion & Faith,15,chinese,句子,祈祷,Wrong sense - 句子 is 'sentence (grammar)' but oración in religion is 'prayer' = 祈祷
spanish,119,Religion & Faith,15,pinyin,jù zi,qí dǎo,Pinyin matches wrong Chinese
spanish,121,Using (usar),9,chinese,实用程序,用途,Too technical - 实用程序 is 'utility program (software)' but need 用途 or 实用性 for general utility
spanish,121,Using (usar),9,pinyin,shí yòng chéng xù,yòng tú,Pinyin matches wrong Chinese
spanish,122,Tools & Building,7,chinese,关键,钥匙,Wrong sense - 关键 means 'key/crucial' but llave in tools context is wrench = 扳手 or key = 钥匙
spanish,122,Tools & Building,7,pinyin,guān jiàn,yào shi,Pinyin matches wrench translation
spanish,122,Tools & Building,15,chinese,电线,铁丝,Wrong sense - 电线 is electric wire/cable but alambre is metal wire = 铁丝 or 金属丝
spanish,122,Tools & Building,15,pinyin,diàn xiàn,tiě sī,Pinyin matches wrong Chinese
spanish,123,Telling & Counting (contar),3,chinese,账户,你数,Wrong part of speech - 账户 is 'accounts (bank)' but cuentas is verb 'you count' = 你数
spanish,123,Telling & Counting (contar),3,pinyin,zhàng hù,nǐ shù,Pinyin matches wrong Chinese
spanish,123,Telling & Counting (contar),4,chinese,帐户,账目,Wrong part of speech - 帐户 is noun 'account' but cuenta is verb 'counts' or 'account' = 账目
