Pack_Number,Pack_Title,Difficulty_Act,Total_Issues,Pinyin_Errors,Bracket_Errors,Empty_Cells
1,Greetings & Goodbyes,Act I: Foundation,0,,,
2,Yes No & Agreement,Act I: Foundation,0,,,
3,Numbers 0-10,Act I: Foundation,0,,,
4,Asking Questions (qué cuándo dónde),Act I: Foundation,0,,,
5,Referring to People (yo tú él ella),Act I: Foundation,0,,,
6,Being Permanent (ser),Act I: Foundation,0,,,
7,Being Temporary (estar),Act I: Foundation,0,,,
8,Having & Age (tener),Act I: Foundation,0,,,
9,The & A Articles (el la un una),Act I: Foundation,0,,,
10,Connecting Words (y pero porque),Act I: Foundation,0,,,
11,Days of the Week,Act I: Foundation,0,,,
12,Months of the Year,Act I: Foundation,0,,,
13,Family Members,Act I: Foundation,0,,,
14,Body Parts,Act I: Foundation,0,,,
15,Colors,Act I: Foundation,0,,,
16,Describing Things (grande pequeño bueno),Act I: Foundation,0,,,
17,Basic Action Verbs,Act I: Foundation,0,,,
18,Common Foods,Act I: Foundation,0,,,
19,House Rooms,Act I: Foundation,0,,,
20,Making & Doing (hacer),Act I: Foundation,0,,,
21,Going Places (ir),Act I: Foundation,0,,,
22,Numbers 11-20,Act I: Foundation,0,,,
23,Extended Family,Act I: Foundation,0,,,
24,Emotions & Feelings,Act I: Foundation,0,,,
25,Time Words (hoy ayer mañana),Act I: Foundation,0,,,
26,Clothing,Act I: Foundation,0,,,
27,Daily Activities,Act I: Foundation,0,,,
28,City Places,Act I: Foundation,0,,,
29,Transportation,Act I: Foundation,0,,,
30,Numbers 21-100,Act I: Foundation,0,,,
31,Liking Things (gustar),Act II: Building Blocks,0,,,
32,Weather Talk,Act II: Building Blocks,0,,,
33,Can & Able (poder),Act II: Building Blocks,0,,,
34,Want & Desire (querer),Act II: Building Blocks,0,,,
35,School Supplies,Act II: Building Blocks,0,,,
36,Office & Work,Act II: Building Blocks,0,,,
37,Animals,Act II: Building Blocks,0,,,
38,Thinking (pensar),Act II: Building Blocks,0,,,
39,Feeling (sentir),Act II: Building Blocks,0,,,
40,Meals & Food Details,Act II: Building Blocks,0,,,
41,Drinks & Beverages,Act II: Building Blocks,0,,,
42,Vegetables,Act II: Building Blocks,0,,,
43,Fruits,Act II: Building Blocks,0,,,
44,Need & Necessity (necesitar),Act II: Building Blocks,0,,,
45,Looking For (buscar),Act II: Building Blocks,0,,,
46,Telling Time,Act II: Building Blocks,0,,,
47,Directions & Position,Act II: Building Blocks,0,,,
48,Prepositions (en con sin para),Act II: Building Blocks,0,,,
49,Comparing Things,Act II: Building Blocks,0,,,
50,Physical Actions,Act II: Building Blocks,0,,,
51,Names & Calling (llamar),Act II: Building Blocks,0,,,
52,Giving (dar),Act II: Building Blocks,0,,,
53,Seeing & Watching (ver),Act II: Building Blocks,0,,,
54,Restaurant Vocabulary,Act II: Building Blocks,0,,,
55,Shopping & Buying,Act II: Building Blocks,0,,,
56,Beginning (empezar),Act II: Building Blocks,0,,,
57,Continuing (seguir),Act II: Building Blocks,0,,,
58,Furniture & Objects,Act II: Building Blocks,0,,,
59,Bathroom Items,Act II: Building Blocks,0,,,
60,Health & Medical,Act II: Building Blocks,0,,,
61,Knowing Facts (saber),Act III: Daily Life,0,,,
62,Knowing People/Places (conocer),Act III: Daily Life,0,,,
63,Technology & Internet,Act III: Daily Life,0,,,
64,Asking For Things (pedir),Act III: Daily Life,0,,,
65,Asking Questions (preguntar),Act III: Daily Life,0,,,
66,Nature & Outdoors,Act III: Daily Life,0,,,
67,Sleeping (dormir),Act III: Daily Life,0,,,
68,Playing (jugar),Act III: Daily Life,0,,,
69,Sports,Act III: Daily Life,0,,,
70,Hobbies & Interests,Act III: Daily Life,0,,,
71,Leaving (salir),Act III: Daily Life,0,,,
72,Returning (volver),Act III: Daily Life,0,,,
73,Music & Songs,Act III: Daily Life,0,,,
74,Wearing & Carrying (llevar),Act III: Daily Life,0,,,
75,Bringing (traer),Act III: Daily Life,0,,,
76,School & Education,Act III: Daily Life,0,,,
77,Deep Emotions,Act III: Daily Life,0,,,
78,Saying & Telling (decir),Act III: Daily Life,0,,,
79,Putting & Placing (poner),Act III: Daily Life,0,,,
80,Travel & Tourism,Act III: Daily Life,0,,,
81,Banking & Money,Act III: Daily Life,0,,,
82,Finding (encontrar),Act III: Daily Life,0,,,
83,Waiting & Hoping (esperar),Act III: Daily Life,0,,,
84,Business Terms,Act III: Daily Life,0,,,
85,Believing (creer),Act III: Daily Life,0,,,
86,Living (vivir),Act III: Daily Life,0,,,
87,Cooking Verbs,Act III: Daily Life,0,,,
88,Physical Appearance,Act III: Daily Life,0,,,
89,Receiving (recibir),Act III: Daily Life,0,,,
90,Sending (enviar),Act III: Daily Life,0,,,
91,Personal Qualities,Act III: Daily Life,0,,,
92,Opening (abrir),Act III: Daily Life,0,,,
93,Closing (cerrar),Act III: Daily Life,0,,,
94,Internet & Web,Act III: Daily Life,0,,,
95,Relationships,Act III: Daily Life,0,,,
96,Reading (leer),Act III: Daily Life,0,,,
97,Writing (escribir),Act III: Daily Life,0,,,
98,Government & Politics,Act III: Daily Life,0,,,
99,Showing (mostrar),Act III: Daily Life,0,,,
100,Explaining (explicar),Act III: Daily Life,0,,,
