Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
spanish,143,Space & Universe,8,chinese,船,飞船,Wrong word - "船" means boat/ship not spacecraft
spanish,143,Space & Universe,33,chinese,船,飞船,Wrong word - "船" means boat/ship not spacecraft
spanish,143,Space & Universe,34,chinese,一艘船,一艘飞船,Wrong word - should be spacecraft not boat
spanish,144,Offering,4,chinese,优惠,提供,Wrong word - "优惠" is commercial discount not general offer
spanish,144,Offering,7,chinese,报价,提供,Wrong word - "报价" means price quote not general offer
spanish,144,Offering,8,chinese,报价,提供,Wrong word - "报价" means price quote not to offer
spanish,144,Offering,9,chinese,报价,提议,Wrong word - "报价" means price quote not offer (noun)
spanish,144,Offering,26,chinese,报价,提议,Wrong word - "报价" means price quote not the offer
spanish,144,Offering,27,chinese,报价,提议,Wrong word - "报价" means price quote not an offer
spanish,146,Chemistry Terms,3,chinese,化学,化学家,Wrong word - "化学" means chemistry not chemist (person)
spanish,146,Chemistry Terms,24,chinese,化学,化学品,Wrong word - "化学" alone means chemistry not chemical product
spanish,146,Chemistry Terms,44,chinese,我会解散,我会溶解,Wrong word - "解散" means disband (organization) not dissolve (chemically)
spanish,147,Moving,2,chinese,我动了,我移动,Wrong tense - "了" implies past tense but Spanish is present
spanish,147,Moving,3,chinese,你动了,你移动,Wrong tense - "了" implies past tense but Spanish is present
spanish,147,Moving,5,chinese,我们搬家,我们移动,Wrong word - "搬家" means move house/relocate too specific
spanish,147,Moving,6,chinese,你动了,你移动,Wrong tense - "了" implies past tense but Spanish is present
spanish,147,Moving,12,chinese,我动了,我移动,Wrong tense - "了" implies past tense but Spanish is present
spanish,147,Moving,14,chinese,你动了,你移动,Wrong tense - "了" implies past tense but Spanish is present
spanish,147,Moving,16,chinese,他动了,他移动,Wrong tense - "了" implies past tense but Spanish is present
spanish,147,Moving,18,chinese,我们搬家,我们移动,Wrong word - "搬家" means move house/relocate too specific
spanish,147,Moving,20,chinese,你动了,你移动,Wrong tense - "了" implies past tense but Spanish is present
spanish,147,Moving,24,chinese,我想搬家,我想移动,Wrong word - "搬家" means move house/relocate too specific
spanish,147,Moving,25,chinese,我要搬家,我要移动,Wrong word - "搬家" means move house/relocate too specific
spanish,148,Stopping,27,chinese,一站式,一个站,Wrong word - "一站式" means one-stop shop/service not a stop
spanish,149,Military Terms,4,chinese,官方,军官,Wrong word - "官方" means official not military officer
spanish,149,Military Terms,5,chinese,一般,将军,Wrong word - "一般" means generally/usually not military general
spanish,149,Military Terms,14,chinese,海洋,海军,Wrong word - "海洋" means ocean not navy
spanish,149,Military Terms,25,chinese,一般,将军,Wrong word - "一般" means generally/usually not the general
spanish,149,Military Terms,27,chinese,船长,上尉,Wrong context - "船长" means ship captain not military captain
spanish,149,Military Terms,28,chinese,船长,上尉,Wrong context - "船长" means ship captain not military captain
spanish,149,Military Terms,29,chinese,船长,上尉,Wrong context - "船长" means ship captain not military captain
spanish,149,Military Terms,30,chinese,船长,上尉,Wrong context - "船长" means ship captain not military captain
spanish,152,Literature & Books,9,chinese,字符,角色,Wrong word - "字符" means character (letter) not character (person in story)
spanish,152,Literature & Books,13,chinese,社论,出版社,Wrong word - "社论" means editorial (opinion piece) not publisher/editorial house
spanish,152,Literature & Books,19,chinese,性别,体裁,Wrong context - "性别" means gender not genre (literature)
spanish,152,Literature & Books,36,chinese,一个字符,一个角色,Wrong word - "字符" means character (letter) not character (person)
spanish,152,Literature & Books,49,chinese,这节经文,这节诗句,Wrong context - "经文" means scripture verse not poetry verse
spanish,152,Literature & Books,55,chinese,性别,体裁,Wrong context - "性别" means gender not genre (literature)
spanish,153,Developing,10,chinese,提前,进步,Wrong word - "提前" means in advance/ahead of time not advance (progress)
spanish,153,Developing,11,chinese,预览,进步,Wrong context - "预览" means preview (software) not advance (progress)
spanish,153,Developing,28,chinese,先进,进展,Wrong word - "先进" is adjective (advanced) not noun (the advance)
spanish,153,Developing,30,chinese,先进,进步,Wrong word - "先进" is adjective (advanced) not noun (the advance)
spanish,155,Construction,14,chinese,基金会,地基,Wrong word - "基金会" means foundation (charity) not foundation (building)
spanish,155,Construction,41,chinese,光束,梁,Wrong word - "光束" means light beam not structural beam
spanish,155,Construction,43,chinese,飞机,平面图,Wrong translation - plano means blueprint not airplane
spanish,155,Construction,44,chinese,一架飞机,一张平面图,Wrong translation - plano means blueprint not airplane
spanish,156,Directing,7,chinese,直接,指导,Wrong word - "直接" means direct (adjective) or directly (adverb) not direct (verb)
