Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
spanish,143,Space & Universe,8,pinyin,chuán,fēi chuán,Pinyin mismatch - Chinese is "飞船" (2 chars) not "船" (1 char)
spanish,143,Space & Universe,33,pinyin,chuán,fēi chuán,Pinyin mismatch - Chinese is "飞船" (2 chars) not "船" (1 char)
spanish,143,Space & Universe,34,pinyin,yì sōu chuán,yì sōu fēi chuán,Pinyin mismatch - Chinese is "一艘飞船" (4 chars) not "一艘船" (3 chars)
spanish,146,Chemistry Terms,3,pinyin,huà xué,huà xué jiā,Pinyin mismatch - Chinese is "化学家" (3 chars) not "化学" (2 chars)
spanish,146,Chemistry Terms,24,pinyin,huà xué,huà xué pǐn,Pinyin mismatch - Chinese is "化学品" (3 chars) not "化学" (2 chars)
spanish,152,Literature & Books,13,pinyin,shè lùn,chū bǎn shè,Pinyin mismatch - Chinese is "出版社" (3 chars) not "社论" (2 chars)
spanish,155,Construction,14,pinyin,jī jīn huì,dì jī,Pinyin mismatch - Chinese is "地基" (2 chars) not "基金会" (3 chars)
spanish,155,Construction,41,pinyin,guāng shù,liáng,Pinyin mismatch - Chinese is "梁" (1 char) not "光束" (2 chars)
spanish,155,Construction,43,pinyin,fēi jī,píng miàn tú,Pinyin mismatch - Chinese is "平面图" (3 chars) not "飞机" (2 chars)
spanish,155,Construction,44,pinyin,yī jià fēi jī,yì zhāng píng miàn tú,Pinyin mismatch - Chinese is "一张平面图" (5 chars) not "一架飞机" (4 chars)
spanish,158,Theater & Acting,46,pinyin,gāi xíng wéi,gāi mù,Pinyin mismatch - Chinese is "该幕" (2 chars) not "该行为" (3 chars)
spanish,158,Theater & Acting,47,pinyin,yí gè xíng wéi,yí mù,Pinyin mismatch - Chinese is "一幕" (2 chars) not "一个行为" (4 chars)
spanish,163,Winning & Earning,2,pinyin,wǒ yíng le,wǒ yíng,Pinyin mismatch - Chinese is "我赢" (2 chars) not "我赢了" (3 chars)
spanish,163,Winning & Earning,3,pinyin,nǐ yíng le,nǐ yíng,Pinyin mismatch - Chinese is "你赢" (2 chars) not "你赢了" (3 chars)
spanish,163,Winning & Earning,5,pinyin,wǒ men yíng le,wǒ men yíng,Pinyin mismatch - Chinese is "我们赢" (3 chars) not "我们赢了" (4 chars)
spanish,163,Winning & Earning,6,pinyin,nǐ yíng le,nǐ yíng,Pinyin mismatch - Chinese is "你赢" (2 chars) not "你赢了" (3 chars)
