Language,Pack_Number,Pack_Title,Row_Number,Column_Name,Old_Value,New_Value,Reason
spanish,183,Birthdays & Fulfilling,14,chinese,你满足,你履行,Inconsistent - should match row 3 (履行 = fulfill)
spanish,183,Birthdays & Fulfilling,14,pinyin,nǐ mǎn zú,nǐ lǚ xíng,Pinyin for you fulfill
spanish,183,Birthdays & Fulfilling,15,english,today your birthday,today is your birthday,Awkward phrasing - missing verb
spanish,183,Birthdays & Fulfilling,19,chinese,今天我们履行,我们今天过生日,Theme mismatch - about birthday not fulfilling
spanish,183,Birthdays & Fulfilling,19,pinyin,jīn tiān wǒ men lǚ xíng,wǒ men jīn tiān guò shēng rì,Pinyin for birthday
spanish,183,Birthdays & Fulfilling,24,chinese,我要满足,我要履行,Inconsistent - use 履行 (fulfill) not 满足 (satisfy)
spanish,183,Birthdays & Fulfilling,24,pinyin,wǒ yào mǎn zú,wǒ yào lǚ xíng,Pinyin for want to fulfill
spanish,184,Missing & Lacking,2,chinese,失踪,缺少,失踪 too specific (missing person) - need general lacking
spanish,184,Missing & Lacking,2,pinyin,shī zōng,quē shǎo,Pinyin for lacking
spanish,184,Missing & Lacking,3,chinese,犯规,你缺少,犯规 means foul (sports) - completely wrong
spanish,184,Missing & Lacking,3,pinyin,fàn guī,nǐ quē shǎo,Pinyin for you lack
spanish,184,Missing & Lacking,4,chinese,失踪,缺少,失踪 too specific (missing person) - need general lacking
spanish,184,Missing & Lacking,4,pinyin,shī zōng,quē shǎo,Pinyin for lacking
spanish,184,Missing & Lacking,7,chinese,失踪,缺少,失踪 too specific (missing person) - need general lacking
spanish,184,Missing & Lacking,7,pinyin,shī zōng,quē shǎo,Pinyin for lacking
spanish,184,Missing & Lacking,8,chinese,失踪,缺少,失踪 too specific (missing person) - need general lacking
spanish,184,Missing & Lacking,8,pinyin,shī zōng,quē shǎo,Pinyin for lacking
spanish,184,Missing & Lacking,11,chinese,我失踪了,我不在,失踪 too specific - use 不在 (absent)
spanish,184,Missing & Lacking,11,pinyin,wǒ shī zōng le,wǒ bù zài,Pinyin for I'm absent
spanish,184,Missing & Lacking,13,chinese,你失踪了,你不在,失踪 too specific - use 不在 (absent)
spanish,184,Missing & Lacking,13,pinyin,nǐ shī zōng le,nǐ bù zài,Pinyin for you're absent
spanish,184,Missing & Lacking,15,chinese,他失踪了,他不在,失踪 too specific - use 不在 (absent)
spanish,184,Missing & Lacking,15,pinyin,tā shī zōng le,tā bù zài,Pinyin for he's absent
spanish,184,Missing & Lacking,16,chinese,总是失踪,总是缺席,失踪 too specific - use 缺席 (absent)
spanish,184,Missing & Lacking,16,pinyin,zǒng shì shī zōng,zǒng shì quē xí,Pinyin for always missing
spanish,184,Missing & Lacking,17,chinese,我们失踪了,我们不在,失踪 too specific - use 不在 (absent)
spanish,184,Missing & Lacking,17,pinyin,wǒ men shī zōng le,wǒ men bù zài,Pinyin for we're absent
spanish,184,Missing & Lacking,18,chinese,我们永远不会失踪,我们从不缺席,失踪 too specific - use 缺席
spanish,184,Missing & Lacking,18,pinyin,wǒ men yǒng yuǎn bú huì shī zōng,wǒ men cóng bù quē xí,Pinyin for we never miss
