Pack_Number,Score,Issues
1,10.0,None
2,10.0,None
3,10.0,None
4,10.0,None
5,10.0,None
6,10.0,None
7,10.0,None
8,10.0,None
9,10.0,None
10,10.0,None
11,10.0,None
12,10.0,None
13,10.0,None
14,10.0,None
15,10.0,None
16,10.0,None
17,10.0,None
18,10.0,None
19,10.0,None
20,10.0,None
21,10.0,None
22,10.0,None
23,10.0,None
24,10.0,None
25,10.0,None
26,10.0,None
27,10.0,None
28,10.0,None
29,10.0,None
30,10.0,None
31,10.0,None
32,10.0,None
33,10.0,None
34,10.0,None
35,10.0,None
36,10.0,None
37,10.0,None
38,10.0,None
39,10.0,None
40,10.0,None
41,10.0,None
42,10.0,None
43,10.0,None
44,10.0,None
45,10.0,None
46,10.0,None
47,10.0,None
48,10.0,None
49,10.0,None
50,10.0,None
51,10.0,None
52,10.0,None
53,10.0,None
54,10.0,None
55,10.0,None
56,10.0,None
57,10.0,None
58,10.0,None
59,10.0,None
60,10.0,None
61,10.0,None
62,10.0,None
63,10.0,None
64,10.0,None
65,10.0,None
66,10.0,None
67,10.0,None
68,10.0,None
69,9.6,Row 56 pinyin: 1 chars but 2 syllables; Row 57 pinyin: 2 chars but 3 syllables
70,10.0,None
71,10.0,None
72,10.0,None
73,10.0,None
74,10.0,None
75,10.0,None
76,10.0,None
77,10.0,None
78,10.0,None
79,10.0,None
80,10.0,None
81,10.0,None
82,10.0,None
83,10.0,None
84,10.0,None
85,10.0,None
86,10.0,None
87,10.0,None
88,10.0,None
89,10.0,None
90,10.0,None
91,10.0,None
92,10.0,None
93,10.0,None
94,10.0,None
95,10.0,None
96,10.0,None
97,10.0,None
98,10.0,None
99,10.0,None
100,10.0,None
101,10.0,None
102,10.0,None
103,10.0,None
104,10.0,None
105,10.0,None
106,10.0,None
107,10.0,None
108,10.0,None
109,10.0,None
110,10.0,None
111,10.0,None
112,10.0,None
113,10.0,None
114,10.0,None
115,10.0,None
116,10.0,None
117,9.6,Row 24 pinyin: 2 chars but 3 syllables; Row 25 pinyin: 2 chars but 3 syllables
118,10.0,None
119,10.0,None
120,10.0,None
121,10.0,None
122,10.0,None
123,10.0,None
124,10.0,None
125,10.0,None
126,10.0,None
127,10.0,None
128,10.0,None
129,10.0,None
130,10.0,None
131,10.0,None
132,9.8,Row 30 pinyin: 4 chars but 5 syllables
133,10.0,None
134,10.0,None
135,10.0,None
136,10.0,None
137,10.0,None
138,10.0,None
139,9.2,Row 13 pinyin: 2 chars but 3 syllables; Row 42 pinyin: 2 chars but 3 syllables; Row 44 pinyin: 5 chars but 6 syllables; Row 45 pinyin: 4 chars but 5 syllables
140,10.0,None
141,10.0,None
142,9.0,Row 31 chinese: empty cell; Row 31 pinyin: empty cell
143,9.8,Row 55 pinyin: 4 chars but 5 syllables
144,10.0,None
145,10.0,None
146,10.0,None
147,10.0,None
148,10.0,None
149,7.0,Row 31 chinese: empty cell; Row 31 pinyin: empty cell; Row 33 chinese: empty cell; Row 33 pinyin: empty cell; Row 41 chinese: empty cell; Row 41 pinyin: empty cell
150,10.0,None
151,10.0,None
152,10.0,None
153,9.0,Row 37 chinese: empty cell; Row 37 pinyin: empty cell
154,10.0,None
155,10.0,None
156,10.0,None
157,9.0,Row 39 chinese: empty cell; Row 39 pinyin: empty cell
158,10.0,None
159,9.0,Row 45 chinese: empty cell; Row 45 pinyin: empty cell
160,10.0,None
